metric,value
zones_total,36
zones_triggered,20
zones_reached,4
hit_rate_among_triggered,0.2
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,13397
suppressions_active_open,8636
suppressions_active_triggered,4761
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,4
unique_reached_moves,1
duplicate_move_credits,3
raw_triggered_hit_rate,0.2
unique_move_adjusted_hit_rate,0.05
status_INVALIDATED,14
direction_LONG,16
status_RESOLVED_REACHED,4
direction_SHORT,20
status_RESOLVED_FAILED,16
status_NO_TRIGGER,2
