zone_id,status
BTC-USDT-SWAP-LONG-1772584858000-5,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772583941000-3,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772588463000-6,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772589606000-9,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772589121000-7,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772591636000-10,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772589296000-8,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772596380000-13,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772602176000-17,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772596014000-12,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772597735000-15,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772601616000-16,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772595707000-11,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772606412000-18,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772608667000-20,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772606902000-19,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772611621000-23,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772611599000-22,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772612635000-24,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772611107000-21,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772613179000-25,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772616258000-27,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772616423000-28,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772616143000-26,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772623278000-32,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772621703000-31,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772617742000-30,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772616656000-29,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772626585000-34,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772626670000-35,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772626743000-36,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772624824000-33,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772631907000-37,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772632793000-38,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772633530000-39,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772637425000-40,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772638974000-41,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772639088000-42,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772642212000-44,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772642290000-45,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772642329000-46,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772641162000-43,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772648681000-47,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772650765000-49,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772650789000-50,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772650521000-48,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772655497000-52,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772651819000-51,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772664633000-53,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772666739000-54,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772670368000-3,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772670314000-2,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772669164000-1,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772674125000-5,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772674326000-6,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772675238000-7,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772675664000-8,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772679264000-9,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772686945000-10,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772689407000-11,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772673503000-4,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772692402000-15,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772691308000-14,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772690822000-12,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772698247000-17,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772691247000-13,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772697409000-16,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772706691000-18,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772706721000-19,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772709083000-20,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772710207000-21,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772711263000-22,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772725319000-24,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772725364000-25,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772733604000-28,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772733612000-29,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772725116000-23,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772726417000-26,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772727700000-27,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772755231000-1,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772756173000-3,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772755356000-2,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772756699000-4,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772757101000-5,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772759770000-6,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772762906000-9,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772764396000-10,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772767072000-11,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772761567000-8,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772770545000-12,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772760332000-7,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772775022000-15,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772775639000-16,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772776333000-19,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772773475000-14,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772775732000-17,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772775754000-18,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772780826000-20,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772783534000-22,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772782005000-21,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772772339000-13,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772792968000-23,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772798800000-24,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772800868000-26,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772799229000-25,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772806967000-29,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772806000000-27,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772806627000-28,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772808809000-30,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772808921000-31,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772813847000-35,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772812900000-34,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772811186000-32,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772811246000-33,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772818299000-37,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772819110000-38,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772821141000-40,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772819528000-39,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772829513000-41,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772818252000-36,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772834507000-42,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772837456000-43,NOT_AVAILABLE
BTC-USDT-SWAP-LONG-1772842451000-1,NOT_AVAILABLE
BTC-USDT-SWAP-SHORT-1772843979000-3,NOT_AVAILABLE
