id,date,dir,regime_dir,vol,trend_aligned,true_mfe,strong_label,sim_outcome,reclaim,cv_confirm
BTCUSDT-SHORT-1779494198000-27,2026-05-22,SHORT,TREND_DOWN,NORMAL_VOL,1,1.728,MID,LOSS,1,0
BTCUSDT-LONG-1779494431000-1,2026-05-23,LONG,TREND_DOWN,LOW_VOL,0,2.556,STRONG_2_5,LOSS,0,1
BTCUSDT-LONG-1779496376000-2,2026-05-23,LONG,TREND_DOWN,LOW_VOL,0,2.774,STRONG_2_5,LOSS,0,0
BTCUSDT-LONG-1779496841000-3,2026-05-23,LONG,TREND_DOWN,LOW_VOL,0,2.911,STRONG_2_5,WIN,0,0
BTCUSDT-LONG-1779525537000-7,2026-05-23,LONG,TREND_DOWN,NORMAL_VOL,0,4.084,STRONG_3,WIN,0,0
BTCUSDT-LONG-1779531708000-8,2026-05-23,LONG,TREND_DOWN,NORMAL_VOL,0,3.646,STRONG_3,WIN,0,1
BTCUSDT-LONG-1779542022000-9,2026-05-23,LONG,TREND_DOWN,LOW_VOL,0,3.541,STRONG_3,WIN,0,0
BTCUSDT-LONG-1779522387000-4,2026-05-23,LONG,TREND_DOWN,NORMAL_VOL,0,3.127,STRONG_3,WIN,0,0
BTCUSDT-LONG-1779547725000-10,2026-05-23,LONG,RANGE,NORMAL_VOL,0,2.911,STRONG_2_5,WIN,0,1
BTCUSDT-LONG-1779549307000-11,2026-05-23,LONG,RANGE,NORMAL_VOL,0,2.681,STRONG_2_5,WIN,0,0
BTCUSDT-LONG-1779560787000-12,2026-05-23,LONG,RANGE,NORMAL_VOL,0,2.405,WEAK_WIN_2,WIN,0,0
BTCUSDT-LONG-1779567762000-13,2026-05-23,LONG,RANGE,NORMAL_VOL,0,2.095,WEAK_WIN_2,WIN,0,0
BTCUSDT-LONG-1779569432000-14,2026-05-23,LONG,RANGE,NORMAL_VOL,0,1.096,MID,TIMEOUT,0,0
BTCUSDT-LONG-1779569504000-15,2026-05-23,LONG,RANGE,NORMAL_VOL,0,1.049,MID,TIMEOUT,0,0
BTCUSDT-SHORT-1779573673000-18,2026-05-23,SHORT,RANGE,NORMAL_VOL,0,0.963,MID,TIMEOUT,1,0
BTCUSDT-SHORT-1779572854000-17,2026-05-23,SHORT,RANGE,NORMAL_VOL,0,0.939,MID,TIMEOUT,0,0
BTCUSDT-LONG-1779522735000-5,2026-05-23,LONG,TREND_DOWN,NORMAL_VOL,0,3.922,STRONG_3,WIN,0,0
BTCUSDT-LONG-1779522811000-6,2026-05-23,LONG,TREND_DOWN,NORMAL_VOL,0,3.908,STRONG_3,WIN,0,0
BTCUSDT-LONG-1779569722000-16,2026-05-23,LONG,RANGE,NORMAL_VOL,0,1.181,MID,TIMEOUT,0,0
BTCUSDT-SHORT-1779575764000-19,2026-05-23,SHORT,RANGE,NORMAL_VOL,0,0.529,MID,TIMEOUT,1,0
BTCUSDT-SHORT-1779583671000-2,2026-05-24,SHORT,RANGE,LOW_VOL,0,0.952,MID,TIMEOUT,0,0
BTCUSDT-SHORT-1779605511000-3,2026-05-24,SHORT,RANGE,LOW_VOL,0,1.193,MID,TIMEOUT,0,0
BTCUSDT-SHORT-1779580831000-1,2026-05-24,SHORT,RANGE,LOW_VOL,0,0.774,MID,TIMEOUT,0,1
BTCUSDT-SHORT-1779639657000-5,2026-05-24,SHORT,RANGE,NORMAL_VOL,0,0.659,MID,LOSS,0,1
BTCUSDT-SHORT-1779658938000-6,2026-05-24,SHORT,RANGE,NORMAL_VOL,0,0.172,MID,LOSS,0,0
BTCUSDT-SHORT-1779618423000-4,2026-05-24,SHORT,TREND_UP,NORMAL_VOL,0,1.464,MID,TIMEOUT,0,0
BTCUSDT-SHORT-1779660202000-7,2026-05-24,SHORT,RANGE,NORMAL_VOL,0,0.075,MID,LOSS,0,0
BTCUSDT-SHORT-1779667293000-1,2026-05-25,SHORT,RANGE,LOW_VOL,0,0.345,MID,TIMEOUT,0,0
BTCUSDT-SHORT-1779681883000-4,2026-05-25,SHORT,RANGE,LOW_VOL,0,0.723,MID,TIMEOUT,0,0
BTCUSDT-SHORT-1779721856000-7,2026-05-25,SHORT,RANGE,NORMAL_VOL,0,1.687,MID,TIMEOUT,0,0
BTCUSDT-SHORT-1779674777000-2,2026-05-25,SHORT,RANGE,LOW_VOL,0,1.057,MID,TIMEOUT,0,1
BTCUSDT-SHORT-1779674841000-3,2026-05-25,SHORT,RANGE,LOW_VOL,0,1.098,MID,TIMEOUT,0,1
BTCUSDT-SHORT-1779689347000-5,2026-05-25,SHORT,RANGE,NORMAL_VOL,0,1.201,MID,TIMEOUT,0,0
BTCUSDT-SHORT-1779701657000-6,2026-05-25,SHORT,RANGE,LOW_VOL,0,1.436,MID,TIMEOUT,0,0
BTCUSDT-LONG-1779753631000-1,2026-05-26,LONG,RANGE,LOW_VOL,0,1.068,MID,LOSS,0,1
BTCUSDT-LONG-1779766077000-8,2026-05-26,LONG,RANGE,NORMAL_VOL,0,2.019,WEAK_WIN_2,WIN,0,0
BTCUSDT-LONG-1779756245000-5,2026-05-26,LONG,RANGE,LOW_VOL,0,1.643,MID,LOSS,0,0
BTCUSDT-LONG-1779755920000-4,2026-05-26,LONG,RANGE,LOW_VOL,0,1.575,MID,LOSS,0,0
BTCUSDT-LONG-1779756719000-6,2026-05-26,LONG,RANGE,NORMAL_VOL,0,1.815,MID,TIMEOUT,0,0
BTCUSDT-LONG-1779755026000-3,2026-05-26,LONG,RANGE,LOW_VOL,0,1.272,MID,LOSS,0,0
