selector,kind,selected_n,alerts_per_day,good_n,wrong_n,precision_pct,recall_pct,wrong_rate_pct,h1_n,h2_n,h1_precision_pct,h2_precision_pct,long_n,short_n,long_precision_pct,short_precision_pct
S::dist_to_recent_swing_high_pct_ge_0.4616::top1,single+top1,29,1.0,3,0,10.34,2.44,0.0,14,15,7.14,13.33,9,20,11.11,10.0
S::dist_to_recent_swing_high_pct_ge_0.4616::top2,single+top2,58,2.0,5,3,8.62,4.07,5.17,28,30,7.14,10.0,21,37,14.29,5.41
S::dist_to_recent_swing_high_pct_le_0.4616,single,417,14.379,70,60,16.79,56.91,14.39,205,212,17.56,16.04,234,183,14.53,19.67
S::dist_to_recent_swing_high_pct_le_0.4616::top1,single+top1,29,1.0,10,1,34.48,8.13,3.45,14,15,35.71,33.33,17,12,35.29,33.33
S::dist_to_recent_swing_high_pct_le_0.4616::top2,single+top2,58,2.0,21,4,36.21,17.07,6.9,28,30,39.29,33.33,36,22,38.89,31.82
S::dist_to_recent_swing_high_pct_ge_0.8445,single,418,14.414,30,52,7.18,24.39,12.44,198,220,9.6,5.0,166,252,9.64,5.56
S::dist_to_recent_swing_high_pct_ge_0.8445::top1,single+top1,27,0.931,1,0,3.7,0.81,0.0,13,14,7.69,0.0,10,17,10.0,0.0
S::dist_to_recent_swing_high_pct_ge_0.8445::top2,single+top2,53,1.828,2,3,3.77,1.63,5.66,26,27,3.85,3.7,18,35,5.56,2.86
S::dist_to_recent_swing_high_pct_le_0.8445,single,626,21.586,94,87,15.02,76.42,13.9,309,317,15.86,14.2,343,283,13.99,16.25
S::dist_to_recent_swing_high_pct_le_0.8445::top1,single+top1,29,1.0,11,1,37.93,8.94,3.45,14,15,35.71,40.0,16,13,37.5,38.46
S::dist_to_recent_swing_high_pct_le_0.8445::top2,single+top2,58,2.0,16,3,27.59,13.01,5.17,28,30,32.14,23.33,34,24,29.41,25.0
S::dist_to_recent_swing_high_pct_ge_1.3224,single,210,7.241,10,24,4.76,8.13,11.43,100,110,6.0,3.64,74,136,5.41,4.41
S::dist_to_recent_swing_high_pct_ge_1.3224::top1,single+top1,24,0.828,0,1,0.0,0.0,4.17,12,12,0.0,0.0,10,14,0.0,0.0
S::dist_to_recent_swing_high_pct_ge_1.3224::top2,single+top2,47,1.621,0,4,0.0,0.0,8.51,23,24,0.0,0.0,18,29,0.0,0.0
S::dist_to_recent_swing_high_pct_le_1.3224,single,834,28.759,113,116,13.55,91.87,13.91,406,428,15.02,12.15,435,399,13.56,13.53
S::dist_to_recent_swing_high_pct_le_1.3224::top1,single+top1,29,1.0,11,1,37.93,8.94,3.45,14,15,42.86,33.33,16,13,37.5,38.46
S::dist_to_recent_swing_high_pct_le_1.3224::top2,single+top2,58,2.0,16,2,27.59,13.01,3.45,28,30,32.14,23.33,33,25,30.3,24.0
S::dist_to_recent_swing_low_pct_ge_0.2045,single,835,28.793,91,124,10.9,73.98,14.85,422,413,13.03,8.72,428,407,11.21,10.57
S::dist_to_recent_swing_low_pct_ge_0.2045::top1,single+top1,29,1.0,5,2,17.24,4.07,6.9,14,15,21.43,13.33,17,12,23.53,8.33
S::dist_to_recent_swing_low_pct_ge_0.2045::top2,single+top2,58,2.0,9,3,15.52,7.32,5.17,28,30,17.86,13.33,27,31,25.93,6.45
S::dist_to_recent_swing_low_pct_le_0.2045,single,209,7.207,32,16,15.31,26.02,7.66,84,125,14.29,16.0,81,128,18.52,13.28
S::dist_to_recent_swing_low_pct_le_0.2045::top1,single+top1,28,0.966,9,1,32.14,7.32,3.57,14,14,28.57,35.71,12,16,33.33,31.25
S::dist_to_recent_swing_low_pct_le_0.2045::top2,single+top2,55,1.897,13,5,23.64,10.57,9.09,27,28,18.52,28.57,23,32,26.09,21.88
S::dist_to_recent_swing_low_pct_ge_0.4255,single,629,21.69,75,102,11.92,60.98,16.22,333,296,12.91,10.81,348,281,12.64,11.03
S::dist_to_recent_swing_low_pct_ge_0.4255::top1,single+top1,29,1.0,5,2,17.24,4.07,6.9,14,15,21.43,13.33,17,12,17.65,16.67
S::dist_to_recent_swing_low_pct_ge_0.4255::top2,single+top2,58,2.0,11,2,18.97,8.94,3.45,28,30,25.0,13.33,32,26,25.0,11.54
S::dist_to_recent_swing_low_pct_le_0.4255,single,417,14.379,48,37,11.51,39.02,8.87,176,241,13.64,9.96,162,255,11.73,11.37
S::dist_to_recent_swing_low_pct_le_0.4255::top1,single+top1,29,1.0,10,2,34.48,8.13,6.9,14,15,35.71,33.33,13,16,38.46,31.25
S::dist_to_recent_swing_low_pct_le_0.4255::top2,single+top2,58,2.0,11,5,18.97,8.94,8.62,28,30,17.86,20.0,23,35,26.09,14.29
S::dist_to_recent_swing_low_pct_ge_0.8233,single,418,14.414,48,78,11.48,39.02,18.66,240,178,12.08,10.67,242,176,12.81,9.66
S::dist_to_recent_swing_low_pct_ge_0.8233::top1,single+top1,28,0.966,2,0,7.14,1.63,0.0,14,14,14.29,0.0,17,11,11.76,0.0
S::dist_to_recent_swing_low_pct_ge_0.8233::top2,single+top2,55,1.897,7,2,12.73,5.69,3.64,27,28,18.52,7.14,33,22,15.15,9.09
S::dist_to_recent_swing_low_pct_le_0.8233,single,626,21.586,75,61,11.98,60.98,9.74,266,360,14.29,10.28,267,359,11.99,11.98
S::dist_to_recent_swing_low_pct_le_0.8233::top1,single+top1,29,1.0,11,1,37.93,8.94,3.45,14,15,35.71,40.0,14,15,42.86,33.33
S::dist_to_recent_swing_low_pct_le_0.8233::top2,single+top2,58,2.0,14,3,24.14,11.38,5.17,28,30,21.43,26.67,26,32,30.77,18.75
S::dist_to_recent_swing_low_pct_ge_1.4109,single,210,7.241,14,43,6.67,11.38,20.48,143,67,5.59,8.96,119,91,6.72,6.59
S::dist_to_recent_swing_low_pct_ge_1.4109::top1,single+top1,22,0.759,2,0,9.09,1.63,0.0,11,11,18.18,0.0,13,9,15.38,0.0
S::dist_to_recent_swing_low_pct_ge_1.4109::top2,single+top2,40,1.379,3,1,7.5,2.44,2.5,21,19,14.29,0.0,24,16,12.5,0.0
S::dist_to_recent_swing_low_pct_le_1.4109,single,834,28.759,110,96,13.19,89.43,11.51,364,470,16.48,10.64,390,444,14.36,12.16
S::dist_to_recent_swing_low_pct_le_1.4109::top1,single+top1,29,1.0,11,1,37.93,8.94,3.45,14,15,35.71,40.0,15,14,40.0,35.71
S::dist_to_recent_swing_low_pct_le_1.4109::top2,single+top2,58,2.0,15,3,25.86,12.2,5.17,28,30,25.0,26.67,29,29,31.03,20.69
S::dist_to_4h_mean_pct_ge_-0.5557,single,835,28.793,115,122,13.77,93.5,14.61,411,424,14.84,12.74,441,394,13.83,13.71
S::dist_to_4h_mean_pct_ge_-0.5557::top1,single+top1,29,1.0,11,1,37.93,8.94,3.45,14,15,42.86,33.33,16,13,37.5,38.46
S::dist_to_4h_mean_pct_ge_-0.5557::top2,single+top2,58,2.0,17,2,29.31,13.82,3.45,28,30,35.71,23.33,34,24,32.35,25.0
S::dist_to_4h_mean_pct_le_-0.5557,single,209,7.207,8,18,3.83,6.5,8.61,96,113,6.25,1.77,67,142,2.99,4.23
S::dist_to_4h_mean_pct_le_-0.5557::top1,single+top1,27,0.931,0,2,0.0,0.0,7.41,13,14,0.0,0.0,9,18,0.0,0.0
S::dist_to_4h_mean_pct_le_-0.5557::top2,single+top2,50,1.724,0,3,0.0,0.0,6.0,24,26,0.0,0.0,14,36,0.0,0.0
S::dist_to_4h_mean_pct_ge_-0.1508,single,627,21.621,92,94,14.67,74.8,14.99,322,305,15.53,13.77,346,281,14.16,15.3
S::dist_to_4h_mean_pct_ge_-0.1508::top1,single+top1,29,1.0,9,1,31.03,7.32,3.45,14,15,35.71,26.67,16,13,31.25,30.77
S::dist_to_4h_mean_pct_ge_-0.1508::top2,single+top2,58,2.0,16,2,27.59,13.01,3.45,28,30,35.71,20.0,34,24,29.41,25.0
S::dist_to_4h_mean_pct_le_-0.1508,single,417,14.379,31,45,7.43,25.2,10.79,184,233,9.24,6.01,162,255,8.64,6.67
S::dist_to_4h_mean_pct_le_-0.1508::top1,single+top1,29,1.0,4,2,13.79,3.25,6.9,14,15,14.29,13.33,10,19,30.0,5.26
S::dist_to_4h_mean_pct_le_-0.1508::top2,single+top2,58,2.0,5,4,8.62,4.07,6.9,28,30,7.14,10.0,19,39,21.05,2.56
S::dist_to_4h_mean_pct_ge_0.1715,single,418,14.414,58,72,13.88,47.15,17.22,228,190,14.04,13.68,245,173,14.29,13.29
S::dist_to_4h_mean_pct_ge_0.1715::top1,single+top1,29,1.0,4,2,13.79,3.25,6.9,14,15,21.43,6.67,19,10,15.79,10.0
S::dist_to_4h_mean_pct_ge_0.1715::top2,single+top2,58,2.0,11,2,18.97,8.94,3.45,28,30,25.0,13.33,38,20,21.05,15.0
S::dist_to_4h_mean_pct_le_0.1715,single,626,21.586,65,67,10.38,52.85,10.7,278,348,12.59,8.62,264,362,10.61,10.22
S::dist_to_4h_mean_pct_le_0.1715::top1,single+top1,29,1.0,11,1,37.93,8.94,3.45,14,15,35.71,40.0,15,14,40.0,35.71
S::dist_to_4h_mean_pct_le_0.1715::top2,single+top2,58,2.0,13,4,22.41,10.57,6.9,28,30,21.43,23.33,24,34,29.17,17.65
S::dist_to_4h_mean_pct_ge_0.5432,single,210,7.241,20,45,9.52,16.26,21.43,134,76,9.7,9.21,122,88,5.74,14.77
S::dist_to_4h_mean_pct_ge_0.5432::top1,single+top1,24,0.828,3,1,12.5,2.44,4.17,12,12,16.67,8.33,19,5,10.53,20.0
S::dist_to_4h_mean_pct_ge_0.5432::top2,single+top2,47,1.621,6,2,12.77,4.88,4.26,24,23,20.83,4.35,33,14,12.12,14.29
S::dist_to_4h_mean_pct_le_0.5432,single,834,28.759,103,94,12.35,83.74,11.27,373,461,14.48,10.63,387,447,14.47,10.51
S::dist_to_4h_mean_pct_le_0.5432::top1,single+top1,29,1.0,10,1,34.48,8.13,3.45,14,15,35.71,33.33,15,14,33.33,35.71
S::dist_to_4h_mean_pct_le_0.5432::top2,single+top2,58,2.0,15,4,25.86,12.2,6.9,28,30,28.57,23.33,32,26,28.12,23.08
S::abs_dist_to_4h_mean_pct_ge_0.1582,single,835,28.793,90,118,10.78,73.17,14.13,414,421,12.08,9.5,408,427,12.25,9.37
S::abs_dist_to_4h_mean_pct_ge_0.1582::top1,single+top1,29,1.0,7,1,24.14,5.69,3.45,14,15,28.57,20.0,16,13,31.25,15.38
S::abs_dist_to_4h_mean_pct_ge_0.1582::top2,single+top2,58,2.0,8,4,13.79,6.5,6.9,28,30,17.86,10.0,30,28,20.0,7.14
S::abs_dist_to_4h_mean_pct_le_0.1582,single,209,7.207,34,21,16.27,27.64,10.05,93,116,19.35,13.79,101,108,13.86,18.52
S::abs_dist_to_4h_mean_pct_le_0.1582::top1,single+top1,29,1.0,9,1,31.03,7.32,3.45,14,15,28.57,33.33,15,14,33.33,28.57
S::abs_dist_to_4h_mean_pct_le_0.1582::top2,single+top2,58,2.0,16,3,27.59,13.01,5.17,28,30,28.57,26.67,28,30,32.14,23.33
S::abs_dist_to_4h_mean_pct_ge_0.3438,single,627,21.621,56,92,8.93,45.53,14.67,320,307,10.94,6.84,301,326,9.63,8.28
S::abs_dist_to_4h_mean_pct_ge_0.3438::top1,single+top1,29,1.0,3,1,10.34,2.44,3.45,14,15,21.43,0.0,15,14,20.0,0.0
S::abs_dist_to_4h_mean_pct_ge_0.3438::top2,single+top2,58,2.0,9,2,15.52,7.32,3.45,28,30,25.0,6.67,30,28,26.67,3.57
S::abs_dist_to_4h_mean_pct_le_0.3438,single,417,14.379,67,47,16.07,54.47,11.27,187,230,17.11,15.22,208,209,16.35,15.79
S::abs_dist_to_4h_mean_pct_le_0.3438::top1,single+top1,29,1.0,10,1,34.48,8.13,3.45,14,15,28.57,40.0,15,14,33.33,35.71
S::abs_dist_to_4h_mean_pct_le_0.3438::top2,single+top2,58,2.0,15,4,25.86,12.2,6.9,28,30,21.43,30.0,32,26,28.12,23.08
S::abs_dist_to_4h_mean_pct_ge_0.5467,single,418,14.414,26,63,6.22,21.14,15.07,228,190,7.46,4.74,188,230,4.79,7.39
S::abs_dist_to_4h_mean_pct_ge_0.5467::top1,single+top1,29,1.0,3,0,10.34,2.44,0.0,14,15,14.29,6.67,18,11,11.11,9.09
S::abs_dist_to_4h_mean_pct_ge_0.5467::top2,single+top2,57,1.966,5,2,8.77,4.07,3.51,27,30,14.81,3.33,35,22,8.57,9.09
S::abs_dist_to_4h_mean_pct_le_0.5467,single,626,21.586,97,76,15.5,78.86,12.14,278,348,17.99,13.51,321,305,16.82,14.1
S::abs_dist_to_4h_mean_pct_le_0.5467::top1,single+top1,29,1.0,10,2,34.48,8.13,6.9,14,15,35.71,33.33,15,14,33.33,35.71
S::abs_dist_to_4h_mean_pct_le_0.5467::top2,single+top2,58,2.0,16,4,27.59,13.01,6.9,28,30,32.14,23.33,34,24,29.41,25.0
S::abs_dist_to_4h_mean_pct_ge_0.8944,single,210,7.241,11,22,5.24,8.94,10.48,119,91,5.04,5.49,96,114,3.12,7.02
S::abs_dist_to_4h_mean_pct_ge_0.8944::top1,single+top1,23,0.793,1,1,4.35,0.81,4.35,12,11,8.33,0.0,12,11,8.33,0.0
S::abs_dist_to_4h_mean_pct_ge_0.8944::top2,single+top2,45,1.552,2,2,4.44,1.63,4.44,24,21,8.33,0.0,23,22,8.7,0.0
S::abs_dist_to_4h_mean_pct_le_0.8944,single,834,28.759,112,117,13.43,91.06,14.03,388,446,15.72,11.43,413,421,14.53,12.35
S::abs_dist_to_4h_mean_pct_le_0.8944::top1,single+top1,29,1.0,10,1,34.48,8.13,3.45,14,15,35.71,33.33,16,13,31.25,38.46
S::abs_dist_to_4h_mean_pct_le_0.8944::top2,single+top2,58,2.0,14,4,24.14,11.38,6.9,28,30,25.0,23.33,31,27,25.81,22.22
S::taker_imb_5m_ge_-0.1777,single,835,28.793,97,114,11.62,78.86,13.65,413,422,12.83,10.43,300,535,12.33,11.21
S::taker_imb_5m_ge_-0.1777::top1,single+top1,29,1.0,6,1,20.69,4.88,3.45,14,15,21.43,20.0,8,21,12.5,23.81
S::taker_imb_5m_ge_-0.1777::top2,single+top2,58,2.0,10,3,17.24,8.13,5.17,28,30,21.43,13.33,19,39,15.79,17.95
S::taker_imb_5m_le_-0.1777,single,209,7.207,26,25,12.44,21.14,11.96,94,115,14.89,10.43,209,0,12.44,
S::taker_imb_5m_le_-0.1777::top1,single+top1,29,1.0,10,3,34.48,8.13,10.34,14,15,42.86,26.67,29,0,34.48,
S::taker_imb_5m_le_-0.1777::top2,single+top2,58,2.0,15,5,25.86,12.2,8.62,28,30,32.14,20.0,58,0,25.86,
S::taker_imb_5m_ge_-0.1034,single,627,21.621,71,85,11.32,57.72,13.56,304,323,11.51,11.15,92,535,11.96,11.21
S::taker_imb_5m_ge_-0.1034::top1,single+top1,29,1.0,6,1,20.69,4.88,3.45,14,15,21.43,20.0,3,26,33.33,19.23
S::taker_imb_5m_ge_-0.1034::top2,single+top2,58,2.0,11,3,18.97,8.94,5.17,28,30,21.43,16.67,8,50,37.5,16.0
S::taker_imb_5m_le_-0.1034,single,418,14.414,52,55,12.44,42.28,13.16,203,215,15.76,9.3,418,0,12.44,
S::taker_imb_5m_le_-0.1034::top1,single+top1,29,1.0,8,4,27.59,6.5,13.79,14,15,35.71,20.0,29,0,27.59,
S::taker_imb_5m_le_-0.1034::top2,single+top2,58,2.0,11,7,18.97,8.94,12.07,28,30,25.0,13.33,58,0,18.97,
S::taker_imb_5m_ge_0.1114,single,418,14.414,45,59,10.77,36.59,14.11,208,210,8.65,12.86,0,418,,10.77
S::taker_imb_5m_ge_0.1114::top1,single+top1,29,1.0,6,1,20.69,4.88,3.45,14,15,14.29,26.67,0,29,,20.69
S::taker_imb_5m_ge_0.1114::top2,single+top2,58,2.0,10,2,17.24,8.13,3.45,28,30,14.29,20.0,0,58,,17.24
S::taker_imb_5m_le_0.1114,single,626,21.586,78,81,12.46,63.41,12.94,298,328,16.44,8.84,508,118,12.4,12.71
S::taker_imb_5m_le_0.1114::top1,single+top1,29,1.0,9,2,31.03,7.32,6.9,14,15,42.86,20.0,23,6,30.43,33.33
S::taker_imb_5m_le_0.1114::top2,single+top2,58,2.0,13,4,22.41,10.57,6.9,28,30,28.57,16.67,46,12,23.91,16.67
S::taker_imb_5m_ge_0.1978,single,210,7.241,22,21,10.48,17.89,10.0,98,112,9.18,11.61,0,210,,10.48
S::taker_imb_5m_ge_0.1978::top1,single+top1,29,1.0,3,2,10.34,2.44,6.9,14,15,7.14,13.33,0,29,,10.34
S::taker_imb_5m_ge_0.1978::top2,single+top2,58,2.0,6,4,10.34,4.88,6.9,28,30,3.57,16.67,0,58,,10.34
S::taker_imb_5m_le_0.1978,single,835,28.793,103,118,12.34,83.74,14.13,410,425,14.63,10.12,508,327,12.4,12.23
S::taker_imb_5m_le_0.1978::top1,single+top1,29,1.0,10,1,34.48,8.13,3.45,14,15,35.71,33.33,17,12,35.29,33.33
S::taker_imb_5m_le_0.1978::top2,single+top2,58,2.0,16,3,27.59,13.01,5.17,28,30,32.14,23.33,36,22,30.56,22.73
S::taker_imb_15m_ge_-0.1285,single,835,28.793,96,112,11.5,78.05,13.41,428,407,12.38,10.57,373,462,11.53,11.47
S::taker_imb_15m_ge_-0.1285::top1,single+top1,29,1.0,10,2,34.48,8.13,6.9,14,15,42.86,26.67,15,14,33.33,35.71
S::taker_imb_15m_ge_-0.1285::top2,single+top2,58,2.0,13,3,22.41,10.57,5.17,28,30,32.14,13.33,26,32,26.92,18.75
S::taker_imb_15m_le_-0.1285,single,209,7.207,27,27,12.92,21.95,12.92,78,131,17.95,9.92,135,74,14.81,9.46
S::taker_imb_15m_le_-0.1285::top1,single+top1,29,1.0,7,3,24.14,5.69,10.34,14,15,21.43,26.67,25,4,28.0,0.0
S::taker_imb_15m_le_-0.1285::top2,single+top2,57,1.966,10,6,17.54,8.13,10.53,27,30,14.81,20.0,40,17,22.5,5.88
S::taker_imb_15m_ge_-0.0383,single,627,21.621,76,79,12.12,61.79,12.6,325,302,12.31,11.92,255,372,11.37,12.63
S::taker_imb_15m_ge_-0.0383::top1,single+top1,29,1.0,9,2,31.03,7.32,6.9,14,15,35.71,26.67,13,16,30.77,31.25
S::taker_imb_15m_ge_-0.0383::top2,single+top2,58,2.0,13,3,22.41,10.57,5.17,28,30,32.14,13.33,26,32,26.92,18.75
S::taker_imb_15m_le_-0.0383,single,418,14.414,47,60,11.24,38.21,14.35,183,235,14.75,8.51,253,165,13.44,7.88
S::taker_imb_15m_le_-0.0383::top1,single+top1,29,1.0,8,1,27.59,6.5,3.45,14,15,21.43,33.33,21,8,28.57,25.0
S::taker_imb_15m_le_-0.0383::top2,single+top2,58,2.0,13,5,22.41,10.57,8.62,28,30,21.43,23.33,37,21,24.32,19.05
S::taker_imb_15m_ge_0.0443,single,420,14.483,57,52,13.57,46.34,12.38,217,203,12.44,14.78,150,270,12.0,14.44
S::taker_imb_15m_ge_0.0443::top1,single+top1,29,1.0,7,1,24.14,5.69,3.45,14,15,21.43,26.67,7,22,14.29,27.27
S::taker_imb_15m_ge_0.0443::top2,single+top2,58,2.0,11,3,18.97,8.94,5.17,28,30,25.0,13.33,18,40,22.22,17.5
S::taker_imb_15m_le_0.0443,single,626,21.586,66,87,10.54,53.66,13.9,290,336,13.79,7.74,359,267,12.53,7.87
S::taker_imb_15m_le_0.0443::top1,single+top1,29,1.0,9,1,31.03,7.32,3.45,14,15,35.71,26.67,19,10,36.84,20.0
S::taker_imb_15m_le_0.0443::top2,single+top2,58,2.0,14,3,24.14,11.38,5.17,28,30,28.57,20.0,38,20,26.32,20.0
S::taker_imb_15m_ge_0.1432,single,210,7.241,30,29,14.29,24.39,13.81,103,107,12.62,15.89,57,153,14.04,14.38
S::taker_imb_15m_ge_0.1432::top1,single+top1,29,1.0,6,3,20.69,4.88,10.34,14,15,28.57,13.33,9,20,44.44,10.0
S::taker_imb_15m_ge_0.1432::top2,single+top2,57,1.966,10,6,17.54,8.13,10.53,27,30,22.22,13.33,14,43,35.71,11.63
S::taker_imb_15m_le_0.1432,single,834,28.759,94,110,11.27,76.42,13.19,403,431,13.4,9.28,451,383,12.2,10.18
S::taker_imb_15m_le_0.1432::top1,single+top1,29,1.0,10,1,34.48,8.13,3.45,14,15,28.57,40.0,17,12,35.29,33.33
S::taker_imb_15m_le_0.1432::top2,single+top2,58,2.0,13,2,22.41,10.57,3.45,28,30,17.86,26.67,35,23,20.0,26.09
S::taker_imb_30m_ge_-0.1186,single,835,28.793,105,114,12.57,85.37,13.65,436,399,13.76,11.28,412,423,12.38,12.77
S::taker_imb_30m_ge_-0.1186::top1,single+top1,29,1.0,9,1,31.03,7.32,3.45,14,15,42.86,20.0,16,13,31.25,30.77
S::taker_imb_30m_ge_-0.1186::top2,single+top2,58,2.0,15,3,25.86,12.2,5.17,28,30,35.71,16.67,30,28,30.0,21.43
S::taker_imb_30m_le_-0.1186,single,209,7.207,18,26,8.61,14.63,12.44,70,139,10.0,7.91,96,113,12.5,5.31
S::taker_imb_30m_le_-0.1186::top1,single+top1,29,1.0,6,3,20.69,4.88,10.34,14,15,7.14,33.33,13,16,30.77,12.5
S::taker_imb_30m_le_-0.1186::top2,single+top2,57,1.966,9,6,15.79,7.32,10.53,27,30,11.11,20.0,26,31,26.92,6.45
S::taker_imb_30m_ge_-0.0275,single,627,21.621,82,88,13.08,66.67,14.04,337,290,13.35,12.76,315,312,11.75,14.42
S::taker_imb_30m_ge_-0.0275::top1,single+top1,29,1.0,7,1,24.14,5.69,3.45,14,15,35.71,13.33,14,15,28.57,20.0
S::taker_imb_30m_ge_-0.0275::top2,single+top2,58,2.0,11,4,18.97,8.94,6.9,28,30,32.14,6.67,27,31,25.93,12.9
S::taker_imb_30m_le_-0.0275,single,417,14.379,41,51,9.83,33.33,12.23,169,248,13.02,7.66,193,224,13.47,6.7
S::taker_imb_30m_le_-0.0275::top1,single+top1,29,1.0,7,2,24.14,5.69,6.9,14,15,14.29,33.33,13,16,38.46,12.5
S::taker_imb_30m_le_-0.0275::top2,single+top2,58,2.0,11,4,18.97,8.94,6.9,28,30,14.29,23.33,26,32,30.77,9.38
S::taker_imb_30m_ge_0.0385,single,418,14.414,54,58,12.92,43.9,13.88,211,207,11.85,14.01,200,218,10.5,15.14
S::taker_imb_30m_ge_0.0385::top1,single+top1,29,1.0,6,1,20.69,4.88,3.45,14,15,28.57,13.33,12,17,16.67,23.53
S::taker_imb_30m_ge_0.0385::top2,single+top2,58,2.0,7,2,12.07,5.69,3.45,28,30,17.86,6.67,26,32,11.54,12.5
S::taker_imb_30m_le_0.0385,single,626,21.586,69,81,11.02,56.1,12.94,296,330,14.19,8.18,309,317,13.59,8.52
S::taker_imb_30m_le_0.0385::top1,single+top1,29,1.0,9,2,31.03,7.32,6.9,14,15,35.71,26.67,16,13,43.75,15.38
S::taker_imb_30m_le_0.0385::top2,single+top2,58,2.0,13,4,22.41,10.57,6.9,28,30,25.0,20.0,28,30,32.14,13.33
S::taker_imb_30m_ge_0.1277,single,210,7.241,29,36,13.81,23.58,17.14,111,99,12.61,15.15,91,119,12.09,15.13
S::taker_imb_30m_ge_0.1277::top1,single+top1,28,0.966,6,2,21.43,4.88,7.14,13,15,23.08,20.0,11,17,18.18,23.53
S::taker_imb_30m_ge_0.1277::top2,single+top2,56,1.931,9,5,16.07,7.32,8.93,26,30,23.08,10.0,22,34,13.64,17.65
S::taker_imb_30m_le_0.1277,single,834,28.759,94,103,11.27,76.42,12.35,396,438,13.38,9.36,417,417,12.47,10.07
S::taker_imb_30m_le_0.1277::top1,single+top1,29,1.0,8,1,27.59,6.5,3.45,14,15,35.71,20.0,17,12,35.29,16.67
S::taker_imb_30m_le_0.1277::top2,single+top2,58,2.0,13,3,22.41,10.57,5.17,28,30,25.0,20.0,35,23,25.71,17.39
S::taker_imb_60m_ge_-0.1087,single,835,28.793,108,115,12.93,87.8,13.77,434,401,14.06,11.72,418,417,12.44,13.43
S::taker_imb_60m_ge_-0.1087::top1,single+top1,29,1.0,11,1,37.93,8.94,3.45,14,15,42.86,33.33,16,13,37.5,38.46
S::taker_imb_60m_ge_-0.1087::top2,single+top2,58,2.0,15,3,25.86,12.2,5.17,28,30,32.14,20.0,30,28,26.67,25.0
S::taker_imb_60m_le_-0.1087,single,209,7.207,15,24,7.18,12.2,11.48,72,137,8.33,6.57,91,118,12.09,3.39
S::taker_imb_60m_le_-0.1087::top1,single+top1,29,1.0,3,1,10.34,2.44,3.45,14,15,0.0,20.0,12,17,25.0,0.0
S::taker_imb_60m_le_-0.1087::top2,single+top2,56,1.931,6,4,10.71,4.88,7.14,26,30,3.85,16.67,23,33,26.09,0.0
S::taker_imb_60m_ge_-0.0363,single,627,21.621,86,93,13.72,69.92,14.83,335,292,14.93,12.33,331,296,12.39,15.2
S::taker_imb_60m_ge_-0.0363::top1,single+top1,29,1.0,8,2,27.59,6.5,6.9,14,15,28.57,26.67,15,14,26.67,28.57
S::taker_imb_60m_ge_-0.0363::top2,single+top2,58,2.0,13,3,22.41,10.57,5.17,28,30,28.57,16.67,29,29,24.14,20.69
S::taker_imb_60m_le_-0.0363,single,418,14.414,37,46,8.85,30.08,11.0,171,247,9.94,8.1,178,240,12.36,6.25
S::taker_imb_60m_le_-0.0363::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14,15,14.29,20.0,12,17,33.33,5.88
S::taker_imb_60m_le_-0.0363::top2,single+top2,58,2.0,9,1,15.52,7.32,1.72,28,30,7.14,23.33,26,32,26.92,6.25
S::taker_imb_60m_ge_0.0336,single,418,14.414,59,60,14.11,47.97,14.35,223,195,14.35,13.85,225,193,11.11,17.62
S::taker_imb_60m_ge_0.0336::top1,single+top1,29,1.0,6,0,20.69,4.88,0.0,14,15,28.57,13.33,15,14,13.33,28.57
S::taker_imb_60m_ge_0.0336::top2,single+top2,58,2.0,12,2,20.69,9.76,3.45,28,30,25.0,16.67,28,30,17.86,23.33
S::taker_imb_60m_le_0.0336,single,626,21.586,64,79,10.22,52.03,12.62,284,342,12.32,8.48,284,342,13.38,7.6
S::taker_imb_60m_le_0.0336::top1,single+top1,29,1.0,8,2,27.59,6.5,6.9,14,15,28.57,26.67,14,15,42.86,13.33
S::taker_imb_60m_le_0.0336::top2,single+top2,58,2.0,14,4,24.14,11.38,6.9,28,30,25.0,23.33,27,31,37.04,12.9
S::taker_imb_60m_ge_0.114,single,210,7.241,35,28,16.67,28.46,13.33,109,101,16.51,16.83,108,102,12.04,21.57
S::taker_imb_60m_ge_0.114::top1,single+top1,28,0.966,8,1,28.57,6.5,3.57,14,14,28.57,28.57,13,15,23.08,33.33
S::taker_imb_60m_ge_0.114::top2,single+top2,54,1.862,13,4,24.07,10.57,7.41,27,27,33.33,14.81,28,26,21.43,26.92
S::taker_imb_60m_le_0.114,single,834,28.759,88,111,10.55,71.54,13.31,398,436,12.31,8.94,401,433,12.47,8.78
S::taker_imb_60m_le_0.114::top1,single+top1,29,1.0,7,1,24.14,5.69,3.45,14,15,28.57,20.0,15,14,33.33,14.29
S::taker_imb_60m_le_0.114::top2,single+top2,58,2.0,12,3,20.69,9.76,5.17,28,30,21.43,20.0,30,28,26.67,14.29
S::taker_imb_180m_ge_-0.0633,single,835,28.793,103,122,12.34,83.74,14.61,441,394,13.38,11.17,408,427,12.5,12.18
S::taker_imb_180m_ge_-0.0633::top1,single+top1,29,1.0,9,1,31.03,7.32,3.45,14,15,35.71,26.67,16,13,31.25,30.77
S::taker_imb_180m_ge_-0.0633::top2,single+top2,58,2.0,13,3,22.41,10.57,5.17,28,30,28.57,16.67,28,30,28.57,16.67
