date,move_id,direction,start_iso,end_iso,start_price,end_price,size_pct,duration_min,secondary_1_5pct
2026-03-18,2026-03-18_M000,UP,2026-03-18T03:26:53+00:00,2026-03-18T03:36:34+00:00,73485.7,74644.4,1.5768,9.68,True
2026-03-18,2026-03-18_M001,UP,2026-03-18T15:02:29+00:00,2026-03-18T18:07:16+00:00,70812.1,71964.9,1.628,184.78,True
2026-03-19,2026-03-19_M000,DOWN,2026-03-19T03:19:48+00:00,2026-03-19T15:46:46+00:00,71582.9,68755.0,3.9505,746.97,False
2026-03-19,2026-03-19_M001,UP,2026-03-19T07:23:57+00:00,2026-03-19T09:50:02+00:00,69438.0,70533.8,1.5781,146.08,True
2026-03-19,2026-03-19_M002,UP,2026-03-19T13:14:36+00:00,2026-03-19T14:01:00+00:00,69036.1,70130.9,1.5858,46.4,True
2026-03-19,2026-03-19_M003,DOWN,2026-03-19T14:01:00+00:00,2026-03-19T15:46:46+00:00,70130.9,68755.0,1.9619,105.77,True
2026-03-20,2026-03-20_M000,UP,2026-03-20T08:10:32+00:00,2026-03-20T08:12:09+00:00,69800.0,71343.7,2.2116,1.62,False
2026-03-20,2026-03-20_M001,DOWN,2026-03-20T08:12:09+00:00,2026-03-20T17:37:19+00:00,71343.7,69354.6,2.7881,565.17,False
2026-03-22,2026-03-22_M000,UP,2026-03-22T03:28:07+00:00,2026-03-22T03:35:49+00:00,68188.0,69576.8,2.0367,7.7,False
2026-03-23,2026-03-23_M000,UP,2026-03-23T05:03:36+00:00,2026-03-23T05:56:59+00:00,67417.0,68874.0,2.1612,53.38,False
2026-03-23,2026-03-23_M001,DOWN,2026-03-23T05:56:59+00:00,2026-03-23T07:06:19+00:00,68874.0,67469.7,2.0389,69.33,False
2026-03-23,2026-03-23_M002,UP,2026-03-23T07:06:19+00:00,2026-03-23T11:13:08+00:00,67469.7,71487.0,5.9542,246.82,False
2026-03-23,2026-03-23_M003,DOWN,2026-03-23T11:13:08+00:00,2026-03-23T12:03:12+00:00,71487.0,69656.2,2.561,50.07,False
2026-03-23,2026-03-23_M004,UP,2026-03-23T12:03:12+00:00,2026-03-23T14:10:17+00:00,69656.2,71777.0,3.0447,127.08,False
2026-03-24,2026-03-24_M000,DOWN,2026-03-24T07:59:03+00:00,2026-03-24T17:44:19+00:00,71375.0,68868.1,3.5123,585.27,False
2026-03-24,2026-03-24_M001,UP,2026-03-24T07:57:01+00:00,2026-03-24T07:59:03+00:00,70093.0,71375.0,1.829,2.03,True
2026-03-25,2026-03-25_M000,DOWN,2026-03-25T11:35:15+00:00,2026-03-25T15:18:03+00:00,71989.0,70550.0,1.9989,222.8,True
2026-03-25,2026-03-25_M001,UP,2026-03-25T15:18:03+00:00,2026-03-25T16:26:57+00:00,70550.0,71720.8,1.6595,68.9,True
2026-03-29,2026-03-29_M000,DOWN,2026-03-29T03:16:17+00:00,2026-03-29T22:49:34+00:00,67114.2,64930.8,3.2533,1173.28,False
2026-03-30,2026-03-30_M000,UP,2026-03-30T00:20:06+00:00,2026-03-30T13:21:51+00:00,65762.0,68198.9,3.7056,781.75,False
2026-03-31,2026-03-31_M000,UP,2026-03-31T01:25:35+00:00,2026-03-31T01:34:48+00:00,66510.0,68388.9,2.825,9.22,False
2026-03-31,2026-03-31_M001,DOWN,2026-03-31T01:34:48+00:00,2026-03-31T09:57:11+00:00,68388.9,65946.0,3.5721,502.38,False
2026-03-31,2026-03-31_M002,UP,2026-03-31T09:57:11+00:00,2026-03-31T14:18:55+00:00,65946.0,67770.3,2.7664,261.73,False
2026-03-31,2026-03-31_M003,DOWN,2026-03-31T14:18:55+00:00,2026-03-31T14:56:12+00:00,67770.3,66389.0,2.0382,37.28,False
