subject,date,direction,size_pct,start_iso,classification,root_cause,best_matching_zone
market_move,2026-03-16,UP,3.0964,2026-03-16T03:34:00+00:00,filtered_correct_zone,filter_suppressed_correct_zone,BTC-USDT-SWAP-LONG-1773620182000-2
market_move,2026-03-16,DOWN,2.1772,2026-03-16T04:55:01+00:00,covered_mid,trigger_too_slow,BTC-USDT-SWAP-SHORT-1773638712000-12
market_move,2026-03-16,UP,2.2946,2026-03-16T08:44:57+00:00,covered_mid,trigger_too_slow,BTC-USDT-SWAP-LONG-1773655882000-26
market_move,2026-03-16,DOWN,2.0801,2026-03-16T13:41:49+00:00,covered_early,normal_market_noise,BTC-USDT-SWAP-SHORT-1773660536000-29
