date,zone_id,direction,class,isPrimary,candidate_iso,confirmed_iso,trigger_iso,candidate_to_confirm_min,confirm_to_trigger_min,total_pre_trigger_min,suppress_reason,related_move_start_iso,related_move_size_pct,zone_before_move,tg_watch_alert_useful,filter_failure
2026-03-26,BTC-USDT-SWAP-SHORT-1774503105000-14,SHORT,duplicate_reached_move,False,2026-03-26T05:31:45+00:00,2026-03-26T05:38:13+00:00,2026-03-26T05:43:39+00:00,6.466666666666667,5.433333333333334,11.9,duplicate_60m_price_band,,,,UNCLEAR,True
2026-03-26,BTC-USDT-SWAP-SHORT-1774504288000-15,SHORT,duplicate_reached_move,False,2026-03-26T05:51:28+00:00,2026-03-26T06:05:34+00:00,2026-03-26T07:32:26+00:00,14.1,86.86666666666666,100.96666666666667,slow_trigger (ctm=87m),,,,UNCLEAR,True
2026-03-26,BTC-USDT-SWAP-SHORT-1774513471000-17,SHORT,duplicate_reached_move,False,2026-03-26T08:24:31+00:00,2026-03-26T08:29:30+00:00,2026-03-26T09:31:24+00:00,4.983333333333333,61.9,66.88333333333334,slow_trigger (ctm=62m),,,,UNCLEAR,True
2026-03-26,BTC-USDT-SWAP-SHORT-1774505134000-16,SHORT,duplicate_reached_move,False,2026-03-26T06:05:34+00:00,2026-03-26T06:12:33+00:00,2026-03-26T09:31:27+00:00,6.983333333333333,198.9,205.88333333333333,duplicate_60m_price_band; slow_trigger (ctm=199m),,,,UNCLEAR,True
2026-03-27,BTC-USDT-SWAP-SHORT-1774577539000-8,SHORT,duplicate_reached_move,False,2026-03-27T02:12:19+00:00,2026-03-27T02:15:19+00:00,2026-03-27T03:07:28+00:00,3.0,52.15,55.15,duplicate_60m_price_band,,,,UNCLEAR,True
2026-03-27,BTC-USDT-SWAP-SHORT-1774573301000-5,SHORT,duplicate_reached_move,False,2026-03-27T01:01:41+00:00,2026-03-27T01:15:37+00:00,2026-03-27T04:00:58+00:00,13.933333333333334,165.35,179.28333333333333,duplicate_60m_price_band; slow_trigger (ctm=165m),,,,UNCLEAR,True
2026-03-27,BTC-USDT-SWAP-SHORT-1774572338000-4,SHORT,duplicate_reached_move,False,2026-03-27T00:45:38+00:00,2026-03-27T01:01:41+00:00,2026-03-27T04:01:28+00:00,16.05,179.78333333333333,195.83333333333334,duplicate_60m_price_band; slow_trigger (ctm=180m),,,,UNCLEAR,True
2026-03-27,BTC-USDT-SWAP-SHORT-1774585870000-11,SHORT,duplicate_reached_move,False,2026-03-27T04:31:10+00:00,2026-03-27T04:39:20+00:00,2026-03-27T08:17:40+00:00,8.166666666666666,218.33333333333334,226.5,slow_trigger (ctm=218m),,,,UNCLEAR,True
2026-03-27,BTC-USDT-SWAP-SHORT-1774598331000-14,SHORT,duplicate_reached_move,False,2026-03-27T07:58:51+00:00,2026-03-27T08:12:52+00:00,2026-03-27T08:35:48+00:00,14.016666666666667,22.933333333333334,36.95,duplicate_60m_price_band,,,,UNCLEAR,True
2026-03-27,BTC-USDT-SWAP-SHORT-1774600484000-17,SHORT,duplicate_reached_move,False,2026-03-27T08:34:44+00:00,2026-03-27T08:42:54+00:00,2026-03-27T10:37:24+00:00,8.166666666666666,114.5,122.66666666666667,slow_trigger (ctm=114m),,,,UNCLEAR,True
2026-03-27,BTC-USDT-SWAP-SHORT-1774600392000-16,SHORT,duplicate_reached_move,False,2026-03-27T08:33:12+00:00,2026-03-27T08:42:54+00:00,2026-03-27T10:37:26+00:00,9.7,114.53333333333333,124.23333333333333,duplicate_60m_price_band; slow_trigger (ctm=115m),,,,UNCLEAR,True
2026-03-29,BTC-USDT-SWAP-SHORT-1774760707000-14,SHORT,duplicate_reached_move,False,2026-03-29T05:05:07+00:00,2026-03-29T05:14:24+00:00,2026-03-29T05:16:17+00:00,9.283333333333333,1.8833333333333333,11.166666666666666,duplicate_60m_price_band,2026-03-29T03:16:17+00:00,3.2533,False,UNCLEAR,True
2026-03-29,BTC-USDT-SWAP-SHORT-1774763331000-16,SHORT,duplicate_reached_move,False,2026-03-29T05:48:51+00:00,2026-03-29T05:58:13+00:00,2026-03-29T07:03:12+00:00,9.366666666666667,64.98333333333333,74.35,slow_trigger (ctm=65m),2026-03-29T03:16:17+00:00,3.2533,False,UNCLEAR,True
2026-03-29,BTC-USDT-SWAP-SHORT-1774768706000-17,SHORT,duplicate_reached_move,False,2026-03-29T07:18:26+00:00,2026-03-29T07:34:57+00:00,2026-03-29T10:07:42+00:00,16.516666666666666,152.75,169.26666666666668,slow_trigger (ctm=153m),2026-03-29T03:16:17+00:00,3.2533,False,UNCLEAR,True
2026-03-29,BTC-USDT-SWAP-SHORT-1774779062000-19,SHORT,duplicate_reached_move,False,2026-03-29T10:11:02+00:00,2026-03-29T10:14:02+00:00,2026-03-29T10:21:37+00:00,3.0,7.583333333333333,10.583333333333334,duplicate_60m_price_band,2026-03-29T03:16:17+00:00,3.2533,False,UNCLEAR,True
2026-03-29,BTC-USDT-SWAP-SHORT-1774752923000-8,SHORT,duplicate_reached_move,False,2026-03-29T02:55:23+00:00,2026-03-29T02:58:23+00:00,2026-03-29T13:08:35+00:00,3.0,610.2,613.2,slow_trigger (ctm=610m),2026-03-29T03:16:17+00:00,3.2533,False,YES (candidate/confirmed available before move),True
2026-03-30,BTC-USDT-SWAP-SHORT-1774858134000-21,SHORT,duplicate_reached_move,False,2026-03-30T08:08:54+00:00,2026-03-30T08:28:08+00:00,2026-03-30T14:00:35+00:00,19.233333333333334,332.45,351.68333333333334,duplicate_60m_price_band; slow_trigger (ctm=332m),,,,UNCLEAR,True
2026-03-31,BTC-USDT-SWAP-LONG-1774916501000-3,LONG,duplicate_reached_move,False,2026-03-31T00:21:41+00:00,2026-03-31T00:44:02+00:00,2026-03-31T00:45:08+00:00,22.35,1.1,23.45,duplicate_60m_price_band,2026-03-31T01:25:35+00:00,2.825,True,YES (candidate/confirmed available before move),True
2026-03-31,BTC-USDT-SWAP-SHORT-1774922015000-9,SHORT,primary_unique_reached_move,True,2026-03-31T01:53:35+00:00,2026-03-31T01:57:17+00:00,2026-03-31T03:39:52+00:00,3.7,102.58333333333333,106.28333333333333,slow_trigger (ctm=103m),2026-03-31T01:34:48+00:00,3.5721,False,UNCLEAR,True
2026-03-31,BTC-USDT-SWAP-SHORT-1774928879000-10,SHORT,duplicate_reached_move,False,2026-03-31T03:47:59+00:00,2026-03-31T04:25:16+00:00,2026-03-31T04:28:28+00:00,37.28333333333333,3.2,40.483333333333334,duplicate_60m_price_band,2026-03-31T01:34:48+00:00,3.5721,False,UNCLEAR,True
2026-03-31,BTC-USDT-SWAP-SHORT-1774933202000-11,SHORT,duplicate_reached_move,False,2026-03-31T05:00:02+00:00,2026-03-31T05:08:36+00:00,2026-03-31T05:14:36+00:00,8.566666666666666,6.0,14.566666666666666,duplicate_60m_price_band,2026-03-31T01:34:48+00:00,3.5721,False,UNCLEAR,True
2026-03-31,BTC-USDT-SWAP-SHORT-1774933245000-12,SHORT,duplicate_reached_move,False,2026-03-31T05:00:45+00:00,2026-03-31T05:08:36+00:00,2026-03-31T05:16:07+00:00,7.85,7.516666666666667,15.366666666666667,duplicate_60m_price_band,2026-03-31T01:34:48+00:00,3.5721,False,UNCLEAR,True
