venue,date,dir,regime,status,reasons,confluence,hypo_entry,outcome,true_mfe
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short;buyer_absorption,3,68119.7,LOSS,1.223
OKX_MARCH,2026-03-03,SHORT,RANGE,REJECT,not_trend_down,2,68081.8,WIN,2.949
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short;buyer_absorption,2,68094.4,LOSS,1.261
OKX_MARCH,2026-03-03,LONG,TREND_UP,REJECT,not_trend_down;not_short,3,68407.4,LOSS,0.797
OKX_MARCH,2026-03-03,SHORT,RANGE,REJECT,not_trend_down,3,67925.4,WIN,2.726
OKX_MARCH,2026-03-03,SHORT,RANGE,REJECT,not_trend_down;buyer_absorption,2,67891.4,WIN,2.677
OKX_MARCH,2026-03-03,SHORT,TREND_UP,REJECT,not_trend_down;no_fresh_weakness_60m,4,68088.0,WIN,2.958
OKX_MARCH,2026-03-03,SHORT,TREND_UP,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,2,68032.1,WIN,2.878
OKX_MARCH,2026-03-03,LONG,TREND_UP,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,4,67927.8,LOSS,1.509
OKX_MARCH,2026-03-03,SHORT,RANGE,REJECT,not_trend_down;buyer_absorption,4,67071.1,LOSS,1.487
OKX_MARCH,2026-03-03,SHORT,RANGE,REJECT,not_trend_down;buyer_absorption,3,66980.0,LOSS,1.353
OKX_MARCH,2026-03-03,SHORT,RANGE,REJECT,not_trend_down,3,66967.6,LOSS,1.335
OKX_MARCH,2026-03-03,SHORT,RANGE,REJECT,not_trend_down;buyer_absorption,2,66541.6,LOSS,0.703
OKX_MARCH,2026-03-03,SHORT,RANGE,REJECT,not_trend_down;buyer_absorption,2,66541.6,LOSS,0.703
OKX_MARCH,2026-03-03,SHORT,RANGE,REJECT,not_trend_down,4,66521.5,LOSS,0.673
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,1,66867.5,WIN,7.493
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m;buyer_absorption,2,66834.9,WIN,7.545
OKX_MARCH,2026-03-03,SHORT,RANGE,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,3,66831.5,LOSS,1.134
OKX_MARCH,2026-03-03,SHORT,RANGE,REJECT,not_trend_down;no_fresh_weakness_60m;buyer_absorption,3,66831.5,LOSS,1.134
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,3,67351.2,LOSS,6.721
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short;no_fresh_weakness_60m,3,67351.2,LOSS,6.721
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short,3,67096.4,LOSS,7.126
OKX_MARCH,2026-03-03,SHORT,RANGE,REJECT,not_trend_down;buyer_absorption,3,66830.0,LOSS,1.132
OKX_MARCH,2026-03-03,LONG,RANGE,REJECT,not_trend_down;not_short,4,67086.5,LOSS,7.142
