selector,kind,selected_n,alerts_per_day,good_n,wrong_n,precision_pct,recall_pct,wrong_rate_pct,h1_precision_pct,h2_precision_pct,long_precision_pct,short_precision_pct,avg_lead_min,median_lead_min
L2::S::conf_void_score_ge_1.0,single,1043,35.966,123,139,11.79,100.0,13.33,13.24,10.43,12.4,11.21,96.41,86.42
L2::S::conf_void_score_ge_1.0::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,27.27,11.11,123.06,140.95
L2::S::conf_void_score_ge_1.0::top2,single+top2,58,2.0,10,3,17.24,8.13,5.17,14.29,20.0,19.23,15.62,118.41,121.01
L2::S::conf_void_score_le_1.0,single,1043,35.966,123,139,11.79,100.0,13.33,13.24,10.43,12.4,11.21,96.41,86.42
L2::S::conf_void_score_le_1.0::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,27.27,11.11,123.06,140.95
L2::S::conf_void_score_le_1.0::top2,single+top2,58,2.0,10,3,17.24,8.13,5.17,14.29,20.0,19.23,15.62,118.41,121.01
L2::S::conf_void_score_ge_1.0,single,1043,35.966,123,139,11.79,100.0,13.33,13.24,10.43,12.4,11.21,96.41,86.42
L2::S::conf_void_score_ge_1.0::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,27.27,11.11,123.06,140.95
L2::S::conf_void_score_ge_1.0::top2,single+top2,58,2.0,10,3,17.24,8.13,5.17,14.29,20.0,19.23,15.62,118.41,121.01
L2::S::conf_void_score_le_1.0,single,1043,35.966,123,139,11.79,100.0,13.33,13.24,10.43,12.4,11.21,96.41,86.42
L2::S::conf_void_score_le_1.0::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,27.27,11.11,123.06,140.95
L2::S::conf_void_score_le_1.0::top2,single+top2,58,2.0,10,3,17.24,8.13,5.17,14.29,20.0,19.23,15.62,118.41,121.01
L2::S::conf_void_score_ge_1.0,single,1043,35.966,123,139,11.79,100.0,13.33,13.24,10.43,12.4,11.21,96.41,86.42
L2::S::conf_void_score_ge_1.0::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,27.27,11.11,123.06,140.95
L2::S::conf_void_score_ge_1.0::top2,single+top2,58,2.0,10,3,17.24,8.13,5.17,14.29,20.0,19.23,15.62,118.41,121.01
