selector,kind,selected_n,alerts_per_day,good_n,wrong_n,precision_pct,recall_pct,wrong_rate_pct,h1_precision_pct,h2_precision_pct,long_precision_pct,short_precision_pct,avg_lead_min,median_lead_min
L2::S::abs_prior_move_60m_pct_le_0.3302,single,417,14.379,64,47,15.35,52.03,11.27,15.12,15.51,15.24,15.46,111.3,110.22
L2::S::abs_prior_move_60m_pct_le_0.3302::top1,single+top1,29,1.0,8,0,27.59,6.5,0.0,28.57,26.67,33.33,23.53,91.6,58.93
L2::S::abs_prior_move_60m_pct_le_0.3302::top2,single+top2,58,2.0,16,2,27.59,13.01,3.45,25.0,30.0,28.57,26.67,93.97,62.38
L2::S::abs_prior_move_60m_pct_ge_0.4902,single,418,14.414,40,67,9.57,32.52,16.03,12.17,6.38,8.76,10.27,75.97,72.25
L2::S::abs_prior_move_60m_pct_ge_0.4902::top1,single+top1,28,0.966,1,3,3.57,0.81,10.71,7.14,0.0,5.88,0.0,47.12,47.12
L2::S::abs_prior_move_60m_pct_ge_0.4902::top2,single+top2,56,1.931,3,6,5.36,2.44,10.71,7.14,3.57,7.69,3.33,48.21,47.12
L2::S::abs_prior_move_60m_pct_le_0.4902,single,626,21.586,84,72,13.42,68.29,11.5,14.13,12.86,14.65,12.18,107.66,99.03
L2::S::abs_prior_move_60m_pct_le_0.4902::top1,single+top1,29,1.0,7,0,24.14,5.69,0.0,28.57,20.0,27.27,22.22,103.51,60.88
L2::S::abs_prior_move_60m_pct_le_0.4902::top2,single+top2,58,2.0,13,3,22.41,10.57,5.17,21.43,23.33,20.0,24.24,111.19,101.07
L2::S::abs_prior_move_60m_pct_ge_0.7694,single,210,7.241,15,34,7.14,12.2,16.19,8.0,5.88,6.52,7.63,42.71,38.08
L2::S::abs_prior_move_60m_pct_ge_0.7694::top1,single+top1,23,0.793,1,3,4.35,0.81,13.04,0.0,8.33,0.0,6.67,53.18,53.18
L2::S::abs_prior_move_60m_pct_ge_0.7694::top2,single+top2,45,1.552,2,6,4.44,1.63,13.33,4.55,4.35,0.0,6.67,47.25,47.25
L2::S::abs_prior_move_60m_pct_le_0.7694,single,834,28.759,108,105,12.95,87.8,12.59,14.92,11.28,13.67,12.23,103.87,94.81
L2::S::abs_prior_move_60m_pct_le_0.7694::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,27.27,11.11,123.06,140.95
L2::S::abs_prior_move_60m_pct_le_0.7694::top2,single+top2,58,2.0,12,4,20.69,9.76,6.9,17.86,23.33,20.83,20.59,115.13,121.01
L2::S::abs_prior_move_180m_pct_ge_0.2374,single,835,28.793,86,113,10.3,69.92,13.53,12.29,8.25,10.1,10.49,90.5,81.41
L2::S::abs_prior_move_180m_pct_ge_0.2374::top1,single+top1,29,1.0,3,3,10.34,2.44,10.34,7.14,13.33,14.29,6.67,89.03,51.23
L2::S::abs_prior_move_180m_pct_ge_0.2374::top2,single+top2,58,2.0,4,5,6.9,3.25,8.62,3.57,10.0,10.34,3.45,110.91,113.89
L2::S::abs_prior_move_180m_pct_le_0.2374,single,209,7.207,37,26,17.7,30.08,12.44,18.07,17.46,21.57,14.02,110.15,101.07
L2::S::abs_prior_move_180m_pct_le_0.2374::top1,single+top1,28,0.966,6,2,21.43,4.88,7.14,23.08,20.0,27.27,17.65,125.73,121.01
L2::S::abs_prior_move_180m_pct_le_0.2374::top2,single+top2,55,1.897,14,5,25.45,11.38,9.09,24.0,26.67,25.81,25.0,116.67,101.03
L2::S::abs_prior_move_180m_pct_ge_0.4995,single,627,21.621,57,95,9.09,46.34,15.15,11.14,6.78,9.62,8.57,87.98,81.0
L2::S::abs_prior_move_180m_pct_ge_0.4995::top1,single+top1,29,1.0,1,4,3.45,0.81,13.79,0.0,6.67,0.0,7.14,17.9,17.9
L2::S::abs_prior_move_180m_pct_ge_0.4995::top2,single+top2,58,2.0,4,6,6.9,3.25,10.34,3.57,10.0,3.03,12.0,115.78,112.04
L2::S::abs_prior_move_180m_pct_le_0.4995,single,418,14.414,66,44,15.79,53.66,10.53,17.24,14.75,16.67,15.0,103.69,98.98
L2::S::abs_prior_move_180m_pct_le_0.4995::top1,single+top1,29,1.0,8,1,27.59,6.5,3.45,35.71,20.0,40.0,21.05,103.2,80.97
L2::S::abs_prior_move_180m_pct_le_0.4995::top2,single+top2,57,1.966,15,3,26.32,12.2,5.26,25.93,26.67,32.0,21.88,106.89,92.63
L2::S::abs_prior_move_180m_pct_ge_0.7966,single,418,14.414,30,70,7.18,24.39,16.75,9.78,4.15,6.8,7.55,61.16,44.72
L2::S::abs_prior_move_180m_pct_ge_0.7966::top1,single+top1,29,1.0,1,3,3.45,0.81,10.34,7.14,0.0,4.76,0.0,19.25,19.25
L2::S::abs_prior_move_180m_pct_ge_0.7966::top2,single+top2,56,1.931,2,5,3.57,1.63,8.93,7.69,0.0,3.12,4.17,20.52,20.52
L2::S::abs_prior_move_180m_pct_le_0.7966,single,627,21.621,93,69,14.83,75.61,11.0,16.01,13.87,16.23,13.54,107.78,97.55
L2::S::abs_prior_move_180m_pct_le_0.7966::top1,single+top1,29,1.0,5,3,17.24,4.07,10.34,14.29,20.0,33.33,10.0,123.06,140.95
L2::S::abs_prior_move_180m_pct_le_0.7966::top2,single+top2,58,2.0,10,5,17.24,8.13,8.62,14.29,20.0,20.83,14.71,118.41,121.01
L2::S::abs_prior_move_180m_pct_ge_1.2998,single,210,7.241,15,29,7.14,12.2,13.81,7.87,6.02,6.9,7.32,71.46,63.5
L2::S::abs_prior_move_180m_pct_ge_1.2998::top1,single+top1,22,0.759,1,1,4.55,0.81,4.55,8.33,0.0,0.0,7.14,132.32,132.32
L2::S::abs_prior_move_180m_pct_ge_1.2998::top2,single+top2,44,1.517,2,1,4.55,1.63,2.27,8.33,0.0,0.0,6.67,132.32,132.32
L2::S::abs_prior_move_180m_pct_le_1.2998,single,835,28.793,108,110,12.93,87.8,13.17,14.96,11.23,13.48,12.38,99.88,87.67
L2::S::abs_prior_move_180m_pct_le_1.2998::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,27.27,11.11,123.06,140.95
L2::S::abs_prior_move_180m_pct_le_1.2998::top2,single+top2,58,2.0,10,3,17.24,8.13,5.17,14.29,20.0,20.0,15.15,118.41,121.01
L2::S::local_range_15m_pct_ge_0.2534,single,835,28.793,94,115,11.26,76.42,13.77,14.05,8.43,12.35,10.23,91.16,81.0
L2::S::local_range_15m_pct_ge_0.2534::top1,single+top1,29,1.0,3,2,10.34,2.44,6.9,14.29,6.67,25.0,0.0,109.62,101.07
L2::S::local_range_15m_pct_ge_0.2534::top2,single+top2,58,2.0,7,4,12.07,5.69,6.9,14.29,10.0,14.29,10.0,90.36,60.88
L2::S::local_range_15m_pct_le_0.2534,single,210,7.241,29,24,13.81,23.58,11.43,9.2,17.07,12.38,15.24,113.43,119.13
L2::S::local_range_15m_pct_le_0.2534::top1,single+top1,29,1.0,5,3,17.24,4.07,10.34,7.14,26.67,12.5,19.05,145.52,149.15
L2::S::local_range_15m_pct_le_0.2534::top2,single+top2,56,1.931,10,4,17.86,8.13,7.14,7.69,26.67,17.39,18.18,113.4,116.79
L2::S::local_range_15m_pct_ge_0.3375,single,627,21.621,65,82,10.37,52.85,13.08,12.72,7.47,10.96,9.85,77.96,60.88
L2::S::local_range_15m_pct_ge_0.3375::top1,single+top1,29,1.0,2,2,6.9,1.63,6.9,7.14,6.67,13.33,0.0,29.73,29.73
L2::S::local_range_15m_pct_ge_0.3375::top2,single+top2,58,2.0,5,3,8.62,4.07,5.17,14.29,3.33,10.0,7.14,48.08,51.23
L2::S::local_range_15m_pct_le_0.3375,single,417,14.379,58,57,13.91,47.15,13.67,14.38,13.62,14.29,13.5,117.1,120.74
L2::S::local_range_15m_pct_le_0.3375::top1,single+top1,29,1.0,7,1,24.14,5.69,3.45,14.29,33.33,25.0,23.53,116.95,140.95
L2::S::local_range_15m_pct_le_0.3375::top2,single+top2,58,2.0,16,4,27.59,13.01,6.9,21.43,33.33,27.59,27.59,124.95,141.09
L2::S::local_range_15m_pct_ge_0.4213,single,419,14.448,36,58,8.59,29.27,13.84,9.36,7.61,11.11,6.52,73.32,60.69
L2::S::local_range_15m_pct_ge_0.4213::top1,single+top1,28,0.966,2,2,7.14,1.63,7.14,7.14,7.14,13.33,0.0,29.73,29.73
L2::S::local_range_15m_pct_ge_0.4213::top2,single+top2,55,1.897,6,4,10.91,4.88,7.27,10.71,11.11,14.81,7.14,64.56,49.8
L2::S::local_range_15m_pct_le_0.4213,single,626,21.586,87,81,13.9,70.73,12.94,16.48,11.9,13.17,14.66,105.97,101.07
L2::S::local_range_15m_pct_le_0.4213::top1,single+top1,29,1.0,5,0,17.24,4.07,0.0,14.29,20.0,16.67,17.65,124.99,140.95
L2::S::local_range_15m_pct_le_0.4213::top2,single+top2,58,2.0,10,4,17.24,8.13,6.9,14.29,20.0,14.29,20.0,119.67,121.01
L2::S::local_range_15m_pct_ge_0.5664,single,210,7.241,14,32,6.67,11.38,15.24,7.75,4.94,9.47,4.35,78.27,61.45
L2::S::local_range_15m_pct_ge_0.5664::top1,single+top1,24,0.828,2,3,8.33,1.63,12.5,8.33,8.33,15.38,0.0,109.02,109.02
L2::S::local_range_15m_pct_ge_0.5664::top2,single+top2,48,1.655,5,6,10.42,4.07,12.5,12.5,8.33,18.18,3.85,97.39,71.68
L2::S::local_range_15m_pct_le_0.5664,single,834,28.759,109,107,13.07,88.62,12.83,15.12,11.38,13.08,13.06,98.74,87.97
L2::S::local_range_15m_pct_le_0.5664::top1,single+top1,29,1.0,4,1,13.79,3.25,3.45,7.14,20.0,20.0,10.53,141.02,158.75
L2::S::local_range_15m_pct_le_0.5664::top2,single+top2,58,2.0,10,3,17.24,8.13,5.17,14.29,20.0,19.23,15.62,115.21,121.01
L2::S::local_range_30m_pct_ge_0.3769,single,835,28.793,92,121,11.02,74.8,14.49,12.53,9.47,12.16,9.95,87.55,67.59
L2::S::local_range_30m_pct_ge_0.3769::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,27.27,11.11,115.35,101.07
L2::S::local_range_30m_pct_ge_0.3769::top2,single+top2,58,2.0,8,4,13.79,6.5,6.9,10.71,16.67,17.24,10.34,97.89,79.02
L2::S::local_range_30m_pct_le_0.3769,single,209,7.207,31,18,14.83,25.2,8.61,16.87,13.49,13.21,16.5,122.71,119.13
L2::S::local_range_30m_pct_le_0.3769::top1,single+top1,29,1.0,7,2,24.14,5.69,6.9,28.57,20.0,30.77,18.75,132.54,140.95
L2::S::local_range_30m_pct_le_0.3769::top2,single+top2,54,1.862,16,2,29.63,13.01,3.7,33.33,26.67,28.57,30.77,115.25,87.97
L2::S::local_range_30m_pct_ge_0.5118,single,627,21.621,64,94,10.21,52.03,14.99,12.14,7.83,12.08,8.51,86.4,74.31
L2::S::local_range_30m_pct_ge_0.5118::top1,single+top1,29,1.0,3,3,10.34,2.44,10.34,14.29,6.67,20.0,0.0,109.62,101.07
L2::S::local_range_30m_pct_ge_0.5118::top2,single+top2,58,2.0,6,6,10.34,4.88,10.34,14.29,6.67,12.5,7.69,105.8,91.03
L2::S::local_range_30m_pct_le_0.5118,single,417,14.379,59,45,14.15,47.97,10.79,15.53,13.28,12.86,15.46,107.27,104.83
L2::S::local_range_30m_pct_le_0.5118::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,20.0,15.79,130.67,140.95
L2::S::local_range_30m_pct_le_0.5118::top2,single+top2,58,2.0,9,4,15.52,7.32,6.9,10.71,20.0,10.34,20.69,126.41,140.95
L2::S::local_range_30m_pct_ge_0.6707,single,418,14.414,36,61,8.61,29.27,14.59,9.92,6.82,10.4,6.94,90.69,76.34
L2::S::local_range_30m_pct_ge_0.6707::top1,single+top1,27,0.931,2,2,7.41,1.63,7.41,7.14,7.69,12.5,0.0,109.02,109.02
L2::S::local_range_30m_pct_ge_0.6707::top2,single+top2,52,1.793,6,3,11.54,4.88,5.77,15.38,7.69,16.67,4.55,67.75,61.45
L2::S::local_range_30m_pct_le_0.6707,single,626,21.586,87,78,13.9,70.73,12.46,16.23,12.19,13.73,14.06,98.78,88.15
L2::S::local_range_30m_pct_le_0.6707::top1,single+top1,29,1.0,5,2,17.24,4.07,6.9,14.29,20.0,20.0,15.79,124.99,140.95
L2::S::local_range_30m_pct_le_0.6707::top2,single+top2,58,2.0,12,5,20.69,9.76,8.62,14.29,26.67,20.83,20.59,115.62,121.01
L2::S::local_range_30m_pct_ge_0.8987,single,210,7.241,11,28,5.24,8.94,13.33,6.15,3.75,5.21,5.26,53.51,41.32
L2::S::local_range_30m_pct_ge_0.8987::top1,single+top1,25,0.862,1,1,4.0,0.81,4.0,0.0,7.69,0.0,7.14,53.18,53.18
L2::S::local_range_30m_pct_ge_0.8987::top2,single+top2,47,1.621,2,2,4.26,1.63,4.26,4.17,4.35,4.35,4.17,62.43,62.43
L2::S::local_range_30m_pct_le_0.8987,single,834,28.759,112,111,13.43,91.06,13.31,15.69,11.57,14.04,12.83,100.63,87.97
L2::S::local_range_30m_pct_le_0.8987::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,27.27,11.11,123.06,140.95
L2::S::local_range_30m_pct_le_0.8987::top2,single+top2,58,2.0,10,4,17.24,8.13,6.9,14.29,20.0,20.0,15.15,118.41,121.01
L2::S::local_range_60m_pct_ge_0.5504,single,835,28.793,93,116,11.14,75.61,13.89,13.68,8.52,13.05,9.32,97.36,86.42
L2::S::local_range_60m_pct_ge_0.5504::top1,single+top1,29,1.0,3,3,10.34,2.44,10.34,7.14,13.33,14.29,6.67,139.57,176.55
L2::S::local_range_60m_pct_ge_0.5504::top2,single+top2,58,2.0,5,6,8.62,4.07,10.34,7.14,10.0,12.5,3.85,121.44,176.55
L2::S::local_range_60m_pct_le_0.5504,single,209,7.207,30,23,14.35,24.39,11.0,10.98,16.54,9.8,18.69,93.46,84.0
L2::S::local_range_60m_pct_le_0.5504::top1,single+top1,27,0.931,7,2,25.93,5.69,7.41,33.33,20.0,37.5,21.05,120.34,101.07
L2::S::local_range_60m_pct_le_0.5504::top2,single+top2,53,1.828,12,4,22.64,9.76,7.55,26.09,20.0,19.23,25.93,94.53,87.97
L2::S::local_range_60m_pct_ge_0.7506,single,627,21.621,59,96,9.41,47.97,15.31,11.95,6.34,10.86,8.05,85.43,81.0
L2::S::local_range_60m_pct_ge_0.7506::top1,single+top1,28,0.966,0,4,0.0,0.0,14.29,0.0,0.0,0.0,0.0,,
L2::S::local_range_60m_pct_ge_0.7506::top2,single+top2,55,1.897,1,6,1.82,0.81,10.91,3.7,0.0,3.57,0.0,71.68,71.68
L2::S::local_range_60m_pct_le_0.7506,single,417,14.379,64,43,15.35,52.03,10.31,15.85,15.02,14.71,15.96,106.53,102.95
L2::S::local_range_60m_pct_le_0.7506::top1,single+top1,29,1.0,7,1,24.14,5.69,3.45,28.57,20.0,27.27,22.22,103.51,60.88
L2::S::local_range_60m_pct_le_0.7506::top2,single+top2,58,2.0,15,5,25.86,12.2,8.62,25.0,26.67,23.08,28.12,101.44,63.88
L2::S::local_range_60m_pct_ge_0.9821,single,419,14.448,32,67,7.64,26.02,15.99,9.68,4.68,8.87,6.48,82.88,82.33
L2::S::local_range_60m_pct_ge_0.9821::top1,single+top1,28,0.966,0,4,0.0,0.0,14.29,0.0,0.0,0.0,0.0,,
L2::S::local_range_60m_pct_ge_0.9821::top2,single+top2,53,1.828,3,6,5.66,2.44,11.32,3.85,7.41,8.0,3.57,47.13,53.18
L2::S::local_range_60m_pct_le_0.9821,single,626,21.586,91,72,14.54,73.98,11.5,16.54,13.11,14.75,14.33,101.17,92.63
L2::S::local_range_60m_pct_le_0.9821::top1,single+top1,29,1.0,7,1,24.14,5.69,3.45,28.57,20.0,30.0,21.05,103.51,60.88
L2::S::local_range_60m_pct_le_0.9821::top2,single+top2,58,2.0,13,4,22.41,10.57,6.9,21.43,23.33,20.83,23.53,111.19,101.07
L2::S::local_range_60m_pct_ge_1.3004,single,210,7.241,17,31,8.1,13.82,14.76,9.85,5.13,10.42,6.14,67.0,76.95
L2::S::local_range_60m_pct_ge_1.3004::top1,single+top1,25,0.862,1,3,4.0,0.81,12.0,0.0,7.69,0.0,5.56,53.18,53.18
L2::S::local_range_60m_pct_ge_1.3004::top2,single+top2,48,1.655,2,6,4.17,1.63,12.5,4.17,4.17,5.88,3.23,70.98,70.98
L2::S::local_range_60m_pct_le_1.3004,single,834,28.759,106,108,12.71,86.18,12.95,14.4,11.33,12.86,12.56,101.13,87.97
L2::S::local_range_60m_pct_le_1.3004::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,27.27,11.11,123.06,140.95
L2::S::local_range_60m_pct_le_1.3004::top2,single+top2,58,2.0,10,4,17.24,8.13,6.9,14.29,20.0,20.0,15.15,118.41,121.01
L2::S::local_range_180m_pct_ge_0.8592,single,836,28.828,82,122,9.81,66.67,14.59,11.3,8.33,11.27,8.41,100.27,88.47
L2::S::local_range_180m_pct_ge_0.8592::top1,single+top1,29,1.0,0,3,0.0,0.0,10.34,0.0,0.0,0.0,0.0,,
L2::S::local_range_180m_pct_ge_0.8592::top2,single+top2,58,2.0,2,5,3.45,1.63,8.62,3.57,3.33,3.85,3.12,59.48,59.48
L2::S::local_range_180m_pct_le_0.8592,single,211,7.276,41,17,19.43,33.33,8.06,22.22,17.36,16.5,22.22,88.7,62.63
L2::S::local_range_180m_pct_le_0.8592::top1,single+top1,28,0.966,10,0,35.71,8.13,0.0,38.46,33.33,41.67,31.25,86.23,58.93
L2::S::local_range_180m_pct_le_0.8592::top2,single+top2,55,1.897,18,3,32.73,14.63,5.45,32.0,33.33,26.92,37.93,84.68,61.76
L2::S::local_range_180m_pct_ge_1.1989,single,627,21.621,57,97,9.09,46.34,15.47,10.61,7.41,10.46,7.79,88.92,82.85
L2::S::local_range_180m_pct_ge_1.1989::top1,single+top1,29,1.0,1,3,3.45,0.81,10.34,0.0,6.67,0.0,7.14,221.12,221.12
L2::S::local_range_180m_pct_ge_1.1989::top2,single+top2,58,2.0,3,4,5.17,2.44,6.9,7.14,3.33,6.9,3.45,166.33,206.2
L2::S::local_range_180m_pct_le_1.1989,single,417,14.379,66,43,15.83,53.66,10.31,18.18,14.11,15.27,16.36,102.89,90.3
L2::S::local_range_180m_pct_le_1.1989::top1,single+top1,29,1.0,8,2,27.59,6.5,6.9,35.71,20.0,30.0,26.32,101.57,74.42
L2::S::local_range_180m_pct_le_1.1989::top2,single+top2,58,2.0,16,5,27.59,13.01,8.62,28.57,26.67,29.17,26.47,106.5,87.97
L2::S::local_range_180m_pct_ge_1.5858,single,421,14.517,25,70,5.94,20.33,16.63,6.9,4.76,4.5,7.24,76.43,63.5
L2::S::local_range_180m_pct_ge_1.5858::top1,single+top1,25,0.862,0,2,0.0,0.0,8.0,0.0,0.0,0.0,0.0,,
L2::S::local_range_180m_pct_ge_1.5858::top2,single+top2,49,1.69,2,5,4.08,1.63,10.2,4.17,4.0,0.0,6.25,140.74,140.74
L2::S::local_range_180m_pct_le_1.5858,single,628,21.655,98,73,15.61,79.67,11.62,18.61,13.28,17.31,13.92,101.51,88.06
L2::S::local_range_180m_pct_le_1.5858::top1,single+top1,29,1.0,5,2,17.24,4.07,6.9,14.29,20.0,33.33,10.0,123.06,140.95
L2::S::local_range_180m_pct_le_1.5858::top2,single+top2,58,2.0,11,5,18.97,8.94,8.62,17.86,20.0,21.74,17.14,112.04,101.07
L2::S::local_range_180m_pct_ge_2.1449,single,210,7.241,14,30,6.67,11.38,14.29,7.09,5.8,4.76,8.57,104.4,104.86
L2::S::local_range_180m_pct_ge_2.1449::top1,single+top1,20,0.69,1,2,5.0,0.81,10.0,9.09,0.0,0.0,12.5,132.32,132.32
L2::S::local_range_180m_pct_ge_2.1449::top2,single+top2,39,1.345,2,4,5.13,1.63,10.26,9.09,0.0,0.0,11.11,132.32,132.32
L2::S::local_range_180m_pct_le_2.1449,single,835,28.793,109,109,13.05,88.62,13.05,15.62,11.06,14.32,11.86,95.39,85.95
L2::S::local_range_180m_pct_le_2.1449::top1,single+top1,29,1.0,5,1,17.24,4.07,3.45,14.29,20.0,27.27,11.11,123.06,140.95
L2::S::local_range_180m_pct_le_2.1449::top2,single+top2,58,2.0,10,4,17.24,8.13,6.9,14.29,20.0,20.0,15.15,118.41,121.01
L2::S::local_realized_vol_15m_ge_0.0004,single,836,28.828,100,125,11.96,81.3,14.95,13.59,10.2,13.12,10.88,92.71,82.33
L2::S::local_realized_vol_15m_ge_0.0004::top1,single+top1,29,1.0,4,2,13.79,3.25,6.9,21.43,6.67,28.57,0.0,117.45,121.01
L2::S::local_realized_vol_15m_ge_0.0004::top2,single+top2,58,2.0,6,5,10.34,4.88,8.62,14.29,6.67,15.15,4.0,117.87,121.01
L2::S::local_realized_vol_15m_le_0.0004,single,211,7.276,23,15,10.9,18.7,7.11,10.81,10.95,9.26,12.62,112.51,111.33
L2::S::local_realized_vol_15m_le_0.0004::top1,single+top1,22,0.759,4,1,18.18,3.25,4.55,12.5,21.43,16.67,18.75,122.69,123.29
L2::S::local_realized_vol_15m_le_0.0004::top2,single+top2,42,1.448,8,1,19.05,6.5,2.38,14.29,21.43,20.0,18.18,108.1,105.88
L2::S::local_realized_vol_15m_ge_0.0006,single,627,21.621,68,93,10.85,55.28,14.83,13.18,7.91,13.19,8.85,84.65,67.78
L2::S::local_realized_vol_15m_ge_0.0006::top1,single+top1,28,0.966,2,2,7.14,1.63,7.14,7.14,7.14,14.29,0.0,113.89,113.89
L2::S::local_realized_vol_15m_ge_0.0006::top2,single+top2,56,1.931,4,2,7.14,3.25,3.57,7.14,7.14,11.11,3.45,116.3,118.72
L2::S::local_realized_vol_15m_le_0.0006,single,419,14.448,55,46,13.13,44.72,10.98,13.29,13.03,11.36,15.08,110.96,111.33
L2::S::local_realized_vol_15m_le_0.0006::top1,single+top1,28,0.966,5,4,17.86,4.07,14.29,7.69,26.67,14.29,19.05,145.52,149.15
L2::S::local_realized_vol_15m_le_0.0006::top2,single+top2,55,1.897,10,7,18.18,8.13,12.73,16.0,20.0,13.04,21.88,123.04,141.09
L2::S::local_realized_vol_15m_ge_0.0007,single,418,14.414,37,57,8.85,30.08,13.64,11.07,5.75,11.17,6.96,72.81,63.88
L2::S::local_realized_vol_15m_ge_0.0007::top1,single+top1,27,0.931,3,0,11.11,2.44,0.0,7.14,15.38,21.43,0.0,88.13,51.23
L2::S::local_realized_vol_15m_ge_0.0007::top2,single+top2,52,1.793,7,1,13.46,5.69,1.92,11.54,15.38,21.43,4.17,81.41,60.88
L2::S::local_realized_vol_15m_le_0.0007,single,629,21.69,86,84,13.67,69.92,13.35,15.09,12.64,13.12,14.24,106.57,102.95
L2::S::local_realized_vol_15m_le_0.0007::top1,single+top1,29,1.0,5,2,17.24,4.07,6.9,7.14,26.67,20.0,15.79,151.0,176.55
L2::S::local_realized_vol_15m_le_0.0007::top2,single+top2,58,2.0,10,5,17.24,8.13,8.62,10.71,23.33,16.0,18.18,126.95,145.05
L2::S::local_realized_vol_15m_ge_0.0009,single,211,7.276,10,28,4.74,8.13,13.27,6.45,2.3,4.08,5.31,39.1,16.73
L2::S::local_realized_vol_15m_ge_0.0009::top1,single+top1,25,0.862,2,1,8.0,1.63,4.0,7.69,8.33,8.33,7.69,28.46,28.46
L2::S::local_realized_vol_15m_ge_0.0009::top2,single+top2,49,1.69,3,4,6.12,2.44,8.16,8.0,4.17,4.55,7.41,21.81,8.5
L2::S::local_realized_vol_15m_le_0.0009,single,835,28.793,113,111,13.53,91.87,13.29,15.45,11.92,14.36,12.74,101.48,87.97
L2::S::local_realized_vol_15m_le_0.0009::top1,single+top1,29,1.0,4,1,13.79,3.25,3.45,7.14,20.0,20.0,10.53,141.02,158.75
L2::S::local_realized_vol_15m_le_0.0009::top2,single+top2,58,2.0,10,4,17.24,8.13,6.9,14.29,20.0,16.0,18.18,118.12,121.01
L2::S::local_realized_vol_30m_ge_0.0005,single,835,28.793,99,121,11.86,80.49,14.49,13.36,10.22,13.07,10.76,92.13,81.0
L2::S::local_realized_vol_30m_ge_0.0005::top1,single+top1,29,1.0,4,1,13.79,3.25,3.45,14.29,13.33,27.27,5.56,106.43,98.96
L2::S::local_realized_vol_30m_ge_0.0005::top2,single+top2,58,2.0,6,4,10.34,4.88,6.9,10.71,10.0,13.33,7.14,110.52,100.91
L2::S::local_realized_vol_30m_le_0.0005,single,210,7.241,25,18,11.9,20.33,8.57,12.5,11.59,10.0,14.0,114.92,117.75
L2::S::local_realized_vol_30m_le_0.0005::top1,single+top1,23,0.793,3,3,13.04,2.44,13.04,0.0,20.0,11.11,14.29,153.3,189.6
L2::S::local_realized_vol_30m_le_0.0005::top2,single+top2,44,1.517,7,4,15.91,5.69,9.09,13.33,17.24,16.0,15.79,106.59,92.63
L2::S::local_realized_vol_30m_ge_0.0006,single,627,21.621,70,90,11.16,56.91,14.35,13.51,8.24,12.54,9.88,85.0,78.48
L2::S::local_realized_vol_30m_ge_0.0006::top1,single+top1,28,0.966,2,1,7.14,1.63,3.57,7.14,7.14,11.76,0.0,113.89,113.89
L2::S::local_realized_vol_30m_ge_0.0006::top2,single+top2,55,1.897,4,4,7.27,3.25,7.27,7.41,7.14,10.34,3.85,116.3,118.72
L2::S::local_realized_vol_30m_le_0.0006,single,417,14.379,53,49,12.71,43.09,11.75,12.66,12.74,12.14,13.27,111.48,117.58
L2::S::local_realized_vol_30m_le_0.0006::top1,single+top1,28,0.966,5,5,17.86,4.07,17.86,7.69,26.67,16.67,18.18,143.94,141.23
L2::S::local_realized_vol_30m_le_0.0006::top2,single+top2,56,1.931,9,8,16.07,7.32,14.29,11.54,20.0,18.18,14.71,122.3,140.95
L2::S::local_realized_vol_30m_ge_0.0007,single,418,14.414,39,56,9.33,31.71,13.4,11.11,6.86,10.78,7.94,81.41,63.88
L2::S::local_realized_vol_30m_ge_0.0007::top1,single+top1,28,0.966,3,1,10.71,2.44,3.57,7.14,14.29,21.43,0.0,88.13,51.23
L2::S::local_realized_vol_30m_ge_0.0007::top2,single+top2,54,1.862,7,3,12.96,5.69,5.56,11.11,14.81,20.0,4.17,61.53,51.23
L2::S::local_realized_vol_30m_le_0.0007,single,626,21.586,84,83,13.42,68.29,13.26,15.15,12.15,13.44,13.4,103.38,94.81
L2::S::local_realized_vol_30m_le_0.0007::top1,single+top1,29,1.0,5,2,17.24,4.07,6.9,7.14,26.67,20.0,15.79,151.0,176.55
L2::S::local_realized_vol_30m_le_0.0007::top2,single+top2,58,2.0,10,5,17.24,8.13,8.62,10.71,23.33,17.39,17.14,126.95,145.05
L2::S::local_realized_vol_30m_ge_0.0009,single,211,7.276,11,27,5.21,8.94,12.8,6.92,2.47,5.83,4.63,56.73,43.65
L2::S::local_realized_vol_30m_ge_0.0009::top1,single+top1,25,0.862,2,1,8.0,1.63,4.0,8.33,7.69,13.33,0.0,109.02,109.02
L2::S::local_realized_vol_30m_ge_0.0009::top2,single+top2,49,1.69,3,5,6.12,2.44,10.2,4.17,8.0,7.41,4.55,90.4,53.18
L2::S::local_realized_vol_30m_le_0.0009,single,834,28.759,112,112,13.43,91.06,13.43,15.38,11.82,14.07,12.82,100.31,87.97
L2::S::local_realized_vol_30m_le_0.0009::top1,single+top1,29,1.0,4,1,13.79,3.25,3.45,7.14,20.0,20.0,10.53,141.02,158.75
L2::S::local_realized_vol_30m_le_0.0009::top2,single+top2,58,2.0,9,4,15.52,7.32,6.9,10.71,20.0,16.67,14.71,125.87,140.95
L2::S::local_realized_vol_60m_ge_0.0005,single,835,28.793,100,116,11.98,81.3,13.89,13.92,9.98,13.3,10.72,94.0,82.33
