id,date,dir,regime_dir,vol,trend_aligned,true_mfe,strong_label,sim_outcome,reclaim,cv_confirm
BTC-USDT-SWAP-LONG-1779588023000-8,2026-05-24,LONG,RANGE,LOW_VOL,0,0.851,MID,TIMEOUT,1,0
BTC-USDT-SWAP-SHORT-1779580801000-1,2026-05-24,SHORT,RANGE,NORMAL_VOL,0,0.783,MID,TIMEOUT,1,1
BTC-USDT-SWAP-SHORT-1779581938000-3,2026-05-24,SHORT,RANGE,LOW_VOL,0,0.878,MID,TIMEOUT,0,0
BTC-USDT-SWAP-SHORT-1779583950000-4,2026-05-24,SHORT,RANGE,LOW_VOL,0,0.951,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1779605778000-10,2026-05-24,LONG,RANGE,LOW_VOL,0,0.884,MID,TIMEOUT,0,1
BTC-USDT-SWAP-SHORT-1779592392000-9,2026-05-24,SHORT,RANGE,LOW_VOL,0,1.028,MID,TIMEOUT,1,0
BTC-USDT-SWAP-SHORT-1779620871000-15,2026-05-24,SHORT,TREND_UP,NORMAL_VOL,0,1.571,MID,TIMEOUT,1,0
BTC-USDT-SWAP-SHORT-1779619397000-14,2026-05-24,SHORT,TREND_UP,NORMAL_VOL,0,1.414,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1779621611000-16,2026-05-24,LONG,TREND_UP,NORMAL_VOL,1,0.614,MID,LOSS,0,0
BTC-USDT-SWAP-SHORT-1779629292000-18,2026-05-24,SHORT,TREND_UP,LOW_VOL,0,1.131,MID,TIMEOUT,1,0
BTC-USDT-SWAP-SHORT-1779630050000-19,2026-05-24,SHORT,RANGE,LOW_VOL,0,1.075,MID,TIMEOUT,1,0
BTC-USDT-SWAP-LONG-1779618866000-12,2026-05-24,LONG,TREND_UP,NORMAL_VOL,1,0.771,MID,TIMEOUT,0,1
BTC-USDT-SWAP-LONG-1779618938000-13,2026-05-24,LONG,TREND_UP,NORMAL_VOL,1,0.775,MID,TIMEOUT,1,1
BTC-USDT-SWAP-LONG-1779625522000-17,2026-05-24,LONG,TREND_UP,NORMAL_VOL,1,0.897,MID,TIMEOUT,0,0
BTC-USDT-SWAP-SHORT-1779631417000-20,2026-05-24,SHORT,RANGE,NORMAL_VOL,0,0.866,MID,TIMEOUT,0,0
BTC-USDT-SWAP-SHORT-1779633615000-24,2026-05-24,SHORT,RANGE,NORMAL_VOL,0,0.516,MID,LOSS,1,0
BTC-USDT-SWAP-SHORT-1779632815000-21,2026-05-24,SHORT,RANGE,NORMAL_VOL,0,0.544,MID,LOSS,0,0
BTC-USDT-SWAP-SHORT-1779618722000-11,2026-05-24,SHORT,TREND_UP,NORMAL_VOL,0,1.426,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1779633027000-22,2026-05-24,LONG,RANGE,NORMAL_VOL,0,1.649,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1779633195000-23,2026-05-24,LONG,RANGE,NORMAL_VOL,0,1.678,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1779638451000-25,2026-05-24,LONG,RANGE,NORMAL_VOL,0,1.882,MID,TIMEOUT,0,1
BTC-USDT-SWAP-SHORT-1779667741000-2,2026-05-25,SHORT,RANGE,NORMAL_VOL,0,0.349,MID,TIMEOUT,1,0
BTC-USDT-SWAP-SHORT-1779672105000-4,2026-05-25,SHORT,RANGE,NORMAL_VOL,0,0.861,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1779667627000-1,2026-05-25,LONG,RANGE,NORMAL_VOL,0,0.981,MID,TIMEOUT,0,1
BTC-USDT-SWAP-LONG-1779669015000-3,2026-05-25,LONG,RANGE,NORMAL_VOL,0,0.952,MID,TIMEOUT,0,0
BTC-USDT-SWAP-SHORT-1779681560000-7,2026-05-25,SHORT,RANGE,LOW_VOL,0,0.746,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1779674564000-5,2026-05-25,LONG,RANGE,LOW_VOL,0,0.998,MID,TIMEOUT,0,1
BTC-USDT-SWAP-LONG-1779702378000-10,2026-05-25,LONG,RANGE,LOW_VOL,0,0.398,MID,TIMEOUT,1,1
BTC-USDT-SWAP-SHORT-1779701431000-8,2026-05-25,SHORT,RANGE,LOW_VOL,0,1.45,MID,TIMEOUT,1,0
BTC-USDT-SWAP-LONG-1779703109000-11,2026-05-25,LONG,RANGE,LOW_VOL,0,0.414,MID,TIMEOUT,0,1
BTC-USDT-SWAP-LONG-1779718645000-12,2026-05-25,LONG,RANGE,LOW_VOL,0,0.704,MID,TIMEOUT,1,0
BTC-USDT-SWAP-LONG-1779720864000-13,2026-05-25,LONG,RANGE,LOW_VOL,0,0.516,MID,LOSS,0,1
BTC-USDT-SWAP-SHORT-1779675125000-6,2026-05-25,SHORT,RANGE,LOW_VOL,0,0.715,MID,TIMEOUT,1,0
BTC-USDT-SWAP-SHORT-1779721805000-14,2026-05-25,SHORT,RANGE,NORMAL_VOL,0,1.635,MID,TIMEOUT,1,0
BTC-USDT-SWAP-SHORT-1779701826000-9,2026-05-25,SHORT,RANGE,LOW_VOL,0,1.439,MID,TIMEOUT,0,0
BTC-USDT-SWAP-SHORT-1779753601000-1,2026-05-26,SHORT,RANGE,LOW_VOL,0,2.069,WEAK_WIN_2,WIN,1,1
BTC-USDT-SWAP-SHORT-1779754025000-2,2026-05-26,SHORT,RANGE,LOW_VOL,0,1.867,MID,TIMEOUT,1,1
BTC-USDT-SWAP-SHORT-1779756601000-5,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,1.279,MID,LOSS,1,1
BTC-USDT-SWAP-SHORT-1779757505000-6,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,1.35,MID,LOSS,0,1
BTC-USDT-SWAP-LONG-1779756353000-4,2026-05-26,LONG,RANGE,NORMAL_VOL,0,1.682,MID,TIMEOUT,1,0
BTC-USDT-SWAP-LONG-1779754460000-3,2026-05-26,LONG,RANGE,NORMAL_VOL,0,1.541,MID,LOSS,0,0
BTC-USDT-SWAP-SHORT-1779777777000-7,2026-05-26,SHORT,RANGE,LOW_VOL,0,2.099,WEAK_WIN_2,LOSS,1,0
BTC-USDT-SWAP-LONG-1779792512000-9,2026-05-26,LONG,RANGE,NORMAL_VOL,0,0.77,MID,LOSS,0,1
BTC-USDT-SWAP-SHORT-1779793605000-11,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,2.486,WEAK_WIN_2,WIN,1,1
BTC-USDT-SWAP-LONG-1779792268000-8,2026-05-26,LONG,RANGE,NORMAL_VOL,0,0.793,MID,LOSS,1,1
BTC-USDT-SWAP-SHORT-1779792782000-10,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,2.749,STRONG_2_5,WIN,1,1
BTC-USDT-SWAP-SHORT-1779797901000-12,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,2.223,WEAK_WIN_2,WIN,1,0
BTC-USDT-SWAP-LONG-1779804795000-13,2026-05-26,LONG,RANGE,NORMAL_VOL,0,0.474,MID,LOSS,1,0
BTC-USDT-SWAP-LONG-1779805408000-14,2026-05-26,LONG,RANGE,NORMAL_VOL,0,0.005,MID,LOSS,0,0
BTC-USDT-SWAP-SHORT-1779810306000-17,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,2.228,WEAK_WIN_2,WIN,1,0
BTC-USDT-SWAP-SHORT-1779809777000-15,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,2.144,WEAK_WIN_2,WIN,0,1
BTC-USDT-SWAP-SHORT-1779809793000-16,2026-05-26,SHORT,RANGE,NORMAL_VOL,0,2.2,WEAK_WIN_2,WIN,0,1
BTC-USDT-SWAP-LONG-1779840003000-1,2026-05-27,LONG,RANGE,LOW_VOL,0,0.347,MID,LOSS,0,1
BTC-USDT-SWAP-SHORT-1779843621000-4,2026-05-27,SHORT,RANGE,LOW_VOL,0,2.404,WEAK_WIN_2,WIN,0,0
BTC-USDT-SWAP-SHORT-1779840687000-2,2026-05-27,SHORT,RANGE,LOW_VOL,0,2.291,WEAK_WIN_2,WIN,0,0
BTC-USDT-SWAP-SHORT-1779840959000-3,2026-05-27,SHORT,RANGE,LOW_VOL,0,2.18,WEAK_WIN_2,WIN,1,0
BTC-USDT-SWAP-LONG-1779845157000-6,2026-05-27,LONG,RANGE,LOW_VOL,0,0.44,MID,LOSS,0,0
BTC-USDT-SWAP-SHORT-1779845486000-7,2026-05-27,SHORT,RANGE,LOW_VOL,0,2.26,WEAK_WIN_2,WIN,0,0
BTC-USDT-SWAP-SHORT-1779847691000-8,2026-05-27,SHORT,RANGE,LOW_VOL,0,2.195,WEAK_WIN_2,WIN,0,1
BTC-USDT-SWAP-LONG-1779848605000-9,2026-05-27,LONG,RANGE,LOW_VOL,0,0.547,MID,LOSS,1,0
BTC-USDT-SWAP-LONG-1779844155000-5,2026-05-27,LONG,RANGE,LOW_VOL,0,0.157,MID,LOSS,1,1
BTC-USDT-SWAP-SHORT-1779854135000-10,2026-05-27,SHORT,RANGE,LOW_VOL,0,3.421,STRONG_3,WIN,1,1
BTC-USDT-SWAP-LONG-1779860217000-15,2026-05-27,LONG,RANGE,NORMAL_VOL,0,0.656,MID,LOSS,1,0
BTC-USDT-SWAP-LONG-1779858405000-14,2026-05-27,LONG,RANGE,NORMAL_VOL,0,0.74,MID,LOSS,1,0
BTC-USDT-SWAP-SHORT-1779856771000-12,2026-05-27,SHORT,RANGE,NORMAL_VOL,0,3.459,STRONG_3,WIN,1,1
BTC-USDT-SWAP-SHORT-1779855973000-11,2026-05-27,SHORT,RANGE,NORMAL_VOL,0,3.517,STRONG_3,WIN,1,1
BTC-USDT-SWAP-SHORT-1779857966000-13,2026-05-27,SHORT,RANGE,NORMAL_VOL,0,3.813,STRONG_3,WIN,1,0
BTC-USDT-SWAP-SHORT-1779884288000-16,2026-05-27,SHORT,RANGE,NORMAL_VOL,0,4.109,STRONG_3,WIN,1,0
BTC-USDT-SWAP-SHORT-1779888061000-18,2026-05-27,SHORT,RANGE,NORMAL_VOL,0,3.542,STRONG_3,WIN,1,1
BTC-USDT-SWAP-SHORT-1779889073000-21,2026-05-27,SHORT,TREND_DOWN,NORMAL_VOL,1,2.894,STRONG_2_5,WIN,1,1
BTC-USDT-SWAP-SHORT-1779888965000-20,2026-05-27,SHORT,TREND_DOWN,NORMAL_VOL,1,2.894,STRONG_2_5,WIN,1,1
BTC-USDT-SWAP-LONG-1779891187000-22,2026-05-27,LONG,TREND_DOWN,NORMAL_VOL,0,0.811,MID,LOSS,0,0
BTC-USDT-SWAP-LONG-1779887924000-17,2026-05-27,LONG,RANGE,NORMAL_VOL,0,0.316,MID,LOSS,0,0
BTC-USDT-SWAP-LONG-1779892193000-23,2026-05-27,LONG,TREND_DOWN,NORMAL_VOL,0,0.772,MID,LOSS,0,0
BTC-USDT-SWAP-SHORT-1779888951000-19,2026-05-27,SHORT,TREND_DOWN,NORMAL_VOL,1,2.894,STRONG_2_5,WIN,0,1
BTC-USDT-SWAP-SHORT-1779926422000-1,2026-05-28,SHORT,RANGE,NORMAL_VOL,0,2.614,STRONG_2_5,WIN,0,0
BTC-USDT-SWAP-SHORT-1779926787000-2,2026-05-28,SHORT,RANGE,NORMAL_VOL,0,2.626,STRONG_2_5,WIN,0,0
BTC-USDT-SWAP-SHORT-1779933054000-6,2026-05-28,SHORT,RANGE,LOW_VOL,0,2.343,WEAK_WIN_2,WIN,1,0
BTC-USDT-SWAP-SHORT-1779933152000-7,2026-05-28,SHORT,RANGE,LOW_VOL,0,2.346,WEAK_WIN_2,WIN,0,0
BTC-USDT-SWAP-LONG-1779935403000-9,2026-05-28,LONG,RANGE,LOW_VOL,0,0.243,MID,LOSS,0,0
BTC-USDT-SWAP-SHORT-1779935203000-8,2026-05-28,SHORT,RANGE,LOW_VOL,0,2.258,WEAK_WIN_2,WIN,0,0
BTC-USDT-SWAP-LONG-1779927010000-3,2026-05-28,LONG,RANGE,NORMAL_VOL,0,0.161,MID,LOSS,0,1
BTC-USDT-SWAP-LONG-1779927360000-4,2026-05-28,LONG,RANGE,NORMAL_VOL,0,0.159,MID,LOSS,1,1
BTC-USDT-SWAP-LONG-1779931935000-5,2026-05-28,LONG,RANGE,LOW_VOL,0,0.059,MID,LOSS,1,0
BTC-USDT-SWAP-LONG-1779938585000-10,2026-05-28,LONG,TREND_DOWN,NORMAL_VOL,0,0.722,MID,TIMEOUT,0,0
BTC-USDT-SWAP-SHORT-1779941772000-13,2026-05-28,SHORT,TREND_DOWN,HIGH_VOL,1,0.608,MID,TIMEOUT,1,1
BTC-USDT-SWAP-SHORT-1779943598000-15,2026-05-28,SHORT,TREND_DOWN,NORMAL_VOL,1,0.814,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1779949974000-18,2026-05-28,LONG,TREND_DOWN,NORMAL_VOL,0,1.519,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1779945761000-16,2026-05-28,LONG,TREND_DOWN,NORMAL_VOL,0,1.299,MID,TIMEOUT,1,0
BTC-USDT-SWAP-SHORT-1779949651000-17,2026-05-28,SHORT,TREND_DOWN,NORMAL_VOL,1,0.479,MID,TIMEOUT,0,1
BTC-USDT-SWAP-SHORT-1779942066000-14,2026-05-28,SHORT,TREND_DOWN,HIGH_VOL,1,0.459,MID,TIMEOUT,1,1
BTC-USDT-SWAP-SHORT-1779941576000-12,2026-05-28,SHORT,TREND_DOWN,HIGH_VOL,1,0.72,MID,TIMEOUT,0,1
BTC-USDT-SWAP-LONG-1779961345000-22,2026-05-28,LONG,TREND_DOWN,LOW_VOL,0,0.584,MID,TIMEOUT,1,1
BTC-USDT-SWAP-SHORT-1779963338000-23,2026-05-28,SHORT,TREND_DOWN,LOW_VOL,1,1.061,MID,TIMEOUT,1,0
BTC-USDT-SWAP-SHORT-1779954041000-20,2026-05-28,SHORT,TREND_DOWN,NORMAL_VOL,1,1.17,MID,TIMEOUT,0,0
BTC-USDT-SWAP-SHORT-1779957586000-21,2026-05-28,SHORT,TREND_DOWN,NORMAL_VOL,1,1.001,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1779965291000-24,2026-05-28,LONG,TREND_DOWN,LOW_VOL,0,0.764,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1779940367000-11,2026-05-28,LONG,TREND_DOWN,NORMAL_VOL,0,0.93,MID,TIMEOUT,1,0
BTC-USDT-SWAP-SHORT-1779975793000-25,2026-05-28,SHORT,TREND_DOWN,NORMAL_VOL,1,0.348,MID,LOSS,0,1
BTC-USDT-SWAP-SHORT-1779975857000-26,2026-05-28,SHORT,TREND_DOWN,NORMAL_VOL,1,0.352,MID,LOSS,0,1
BTC-USDT-SWAP-LONG-1779950324000-19,2026-05-28,LONG,TREND_DOWN,NORMAL_VOL,0,0.906,MID,TIMEOUT,1,0
BTC-USDT-SWAP-SHORT-1779978734000-27,2026-05-28,SHORT,TREND_DOWN,NORMAL_VOL,1,0.584,MID,TIMEOUT,1,1
BTC-USDT-SWAP-SHORT-1780014427000-3,2026-05-29,SHORT,RANGE,LOW_VOL,0,1.818,MID,TIMEOUT,0,1
BTC-USDT-SWAP-SHORT-1780019349000-5,2026-05-29,SHORT,RANGE,LOW_VOL,0,1.529,MID,TIMEOUT,0,1
BTC-USDT-SWAP-SHORT-1780013020000-1,2026-05-29,SHORT,RANGE,LOW_VOL,0,1.728,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1780013302000-2,2026-05-29,LONG,RANGE,LOW_VOL,0,0.645,MID,LOSS,1,0
BTC-USDT-SWAP-SHORT-1780024864000-9,2026-05-29,SHORT,RANGE,NORMAL_VOL,0,1.294,MID,TIMEOUT,1,1
BTC-USDT-SWAP-LONG-1780018507000-4,2026-05-29,LONG,RANGE,LOW_VOL,0,0.989,MID,LOSS,1,0
BTC-USDT-SWAP-LONG-1780022845000-7,2026-05-29,LONG,RANGE,NORMAL_VOL,0,1.213,MID,TIMEOUT,1,0
BTC-USDT-SWAP-LONG-1780022015000-6,2026-05-29,LONG,RANGE,LOW_VOL,0,1.18,MID,TIMEOUT,1,0
BTC-USDT-SWAP-SHORT-1780023007000-8,2026-05-29,SHORT,RANGE,NORMAL_VOL,0,1.312,MID,TIMEOUT,0,1
BTC-USDT-SWAP-LONG-1780039523000-11,2026-05-29,LONG,RANGE,LOW_VOL,0,1.265,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1780047102000-12,2026-05-29,LONG,RANGE,LOW_VOL,0,0.671,MID,LOSS,0,0
BTC-USDT-SWAP-SHORT-1780056402000-13,2026-05-29,SHORT,RANGE,LOW_VOL,0,1.245,MID,TIMEOUT,0,0
BTC-USDT-SWAP-SHORT-1780058765000-14,2026-05-29,SHORT,RANGE,LOW_VOL,0,1.09,MID,TIMEOUT,0,0
BTC-USDT-SWAP-SHORT-1780058779000-15,2026-05-29,SHORT,RANGE,LOW_VOL,0,1.145,MID,TIMEOUT,0,0
BTC-USDT-SWAP-SHORT-1780060692000-16,2026-05-29,SHORT,RANGE,NORMAL_VOL,0,0.896,MID,LOSS,1,1
BTC-USDT-SWAP-SHORT-1780060924000-17,2026-05-29,SHORT,RANGE,NORMAL_VOL,0,0.777,MID,LOSS,1,1
BTC-USDT-SWAP-SHORT-1780061526000-19,2026-05-29,SHORT,RANGE,NORMAL_VOL,0,0.918,MID,LOSS,0,0
BTC-USDT-SWAP-LONG-1780061263000-18,2026-05-29,LONG,RANGE,NORMAL_VOL,0,1.561,MID,TIMEOUT,1,1
BTC-USDT-SWAP-LONG-1780066592000-21,2026-05-29,LONG,RANGE,NORMAL_VOL,0,0.875,MID,TIMEOUT,1,0
BTC-USDT-SWAP-LONG-1780064970000-20,2026-05-29,LONG,RANGE,NORMAL_VOL,0,2.26,WEAK_WIN_2,WIN,0,0
BTC-USDT-SWAP-LONG-1780069108000-22,2026-05-29,LONG,RANGE,NORMAL_VOL,0,0.702,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1780069154000-23,2026-05-29,LONG,RANGE,NORMAL_VOL,0,0.702,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1780069269000-24,2026-05-29,LONG,RANGE,NORMAL_VOL,0,0.702,MID,TIMEOUT,0,0
BTC-USDT-SWAP-LONG-1780099651000-2,2026-05-30,LONG,RANGE,LOW_VOL,0,0.826,MID,TIMEOUT,1,0
BTC-USDT-SWAP-LONG-1780103688000-3,2026-05-30,LONG,RANGE,LOW_VOL,0,0.722,MID,TIMEOUT,0,0
