selector,entry_mode,stop,trades,wins,winrate_pct,expectancy_pre_cost_pct,expectancy_after_cost_pct,pf_pre_cost,pf_after_cost,total_return_after_cost_pct,max_consecutive_losses
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_8.0::top1,delay_15m,stop_1.0,29,10,34.48,0.2298,0.0898,1.416,1.143,2.6037,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_4.0::top1,delay_5m,stop_1.0,29,10,34.48,0.1993,0.0593,1.368,1.095,1.7185,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_8.0::top1,delay_5m,stop_1.0,29,10,34.48,0.2104,0.0704,1.389,1.114,2.0406,5
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_8.0::top1,delay_15m,stop_1.0,29,10,34.48,0.2298,0.0898,1.416,1.143,2.6037,3
DL2::P::utc_hour_le_14.0+dl2_microprice_delta_5m_bps_ge_0.434::top1,delay_10m,stop_1.0,29,10,34.48,0.1823,0.0423,1.311,1.063,1.2254,5
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_14.0::top1,delay_10m,stop_1.0,29,10,34.48,0.1304,-0.0096,1.222,0.986,-0.2776,5
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+utc_hour_le_4.0::top1,delay_15m,stop_1.0,29,10,34.48,0.2088,0.0688,1.377,1.108,1.9944,3
DL2::P::prior_move_180m_pct_le_0.5155+dist_to_4h_mean_pct_ge_-0.0047::top1,confirmed,stop_1.25,27,9,33.33,-0.0507,-0.1907,0.932,0.768,-5.1487,9
DL2::P::prior_move_180m_pct_le_0.5155+dist_to_4h_mean_pct_ge_-0.0047::top1,confirmed,stop_1.5,27,9,33.33,-0.1988,-0.3388,0.776,0.651,-9.1487,9
DL2::P::prior_move_180m_pct_le_0.5155+dist_to_4h_mean_pct_ge_-0.0047::top1,delay_5m,stop_1.25,27,9,33.33,-0.0576,-0.1976,0.922,0.76,-5.3364,9
DL2::P::prior_move_180m_pct_le_0.5155+dist_to_4h_mean_pct_ge_-0.0047::top1,delay_5m,stop_1.5,27,9,33.33,-0.2058,-0.3458,0.768,0.644,-9.3364,9
DL2::P::prior_move_180m_pct_le_0.5155+dist_to_4h_mean_pct_ge_-0.0047::top1,delay_15m,stop_1.25,27,9,33.33,-0.037,-0.177,0.95,0.785,-4.7795,6
DL2::P::dist_to_recent_swing_high_pct_le_0.321+prior_move_180m_pct_le_0.5155::top1,delay_10m,stop_1.0,28,9,32.14,0.0637,-0.0763,1.105,0.89,-2.1376,6
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_4.0::top1,delay_15m,stop_1.0,29,9,31.03,0.1053,-0.0347,1.179,0.949,-1.0056,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_8.0::top1,delay_10m,stop_1.0,29,9,31.03,0.1008,-0.0392,1.172,0.941,-1.1369,3
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+dl2_microprice_delta_5m_bps_ge_-0.534::top1,delay_10m,stop_1.0,29,9,31.03,0.0788,-0.0612,1.127,0.914,-1.7746,5
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_4.0::top1,delay_15m,stop_1.0,29,9,31.03,0.1053,-0.0347,1.179,0.949,-1.0056,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_8.0::top1,delay_10m,stop_1.0,29,9,31.03,0.1008,-0.0392,1.172,0.941,-1.1369,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_4.0::top1,delay_15m,stop_1.0,29,9,31.03,0.1053,-0.0347,1.179,0.949,-1.0056,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_8.0::top1,delay_10m,stop_1.0,29,9,31.03,0.1008,-0.0392,1.172,0.941,-1.1369,3
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+utc_hour_le_4.0::top1,delay_10m,stop_1.0,29,9,31.03,0.086,-0.054,1.147,0.92,-1.5662,3
DL2::P::prior_move_180m_pct_le_0.5155+dist_to_4h_mean_pct_ge_-0.0047::top1,confirmed,stop_1.0,27,8,29.63,-0.0137,-0.1537,0.978,0.786,-4.1487,9
DL2::P::prior_move_180m_pct_le_0.5155+dist_to_4h_mean_pct_ge_-0.0047::top1,delay_10m,stop_1.0,27,8,29.63,-0.0081,-0.1481,0.987,0.794,-3.9976,6
DL2::P::prior_move_180m_pct_le_0.5155+dist_to_4h_mean_pct_ge_-0.0047::top1,delay_15m,stop_1.0,27,8,29.63,0.0,-0.14,1.0,0.805,-3.7795,6
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_4.0::top1,delay_10m,stop_1.0,29,8,27.59,-0.0175,-0.1575,0.972,0.779,-4.5662,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_4.0::top1,delay_10m,stop_1.0,29,8,27.59,-0.0175,-0.1575,0.972,0.779,-4.5662,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_4.0::top1,delay_10m,stop_1.0,29,8,27.59,-0.0175,-0.1575,0.972,0.779,-4.5662,3
DL2::P::prior_move_180m_pct_le_0.5155+dist_to_4h_mean_pct_ge_-0.0047::top1,delay_5m,stop_1.0,27,7,25.93,-0.1317,-0.2717,0.802,0.643,-7.3364,9
