selector,entry_mode,stop,trades,wins,winrate_pct,expectancy_pre_cost_pct,expectancy_after_cost_pct,pf_pre_cost,pf_after_cost,total_return_after_cost_pct,max_consecutive_losses
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_4.0::top1,delay_15m,stop_1.25,29,14,48.28,0.4187,0.2787,1.744,1.442,8.0813,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_4.0::top1,delay_5m,stop_1.5,29,14,48.28,0.4234,0.2834,1.715,1.432,8.2185,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_4.0::top1,delay_15m,stop_1.5,29,14,48.28,0.4157,0.2757,1.667,1.402,7.9944,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_8.0::top1,delay_15m,stop_1.5,29,14,48.28,0.4481,0.3081,1.736,1.462,8.936,3
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+dl2_microprice_delta_5m_bps_ge_-0.534::top1,confirmed,stop_1.5,29,14,48.28,0.272,0.132,1.385,1.171,3.8266,5
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+dl2_microprice_delta_5m_bps_ge_-0.534::top1,delay_5m,stop_1.5,29,14,48.28,0.2753,0.1353,1.393,1.176,3.9239,5
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_4.0::top1,delay_5m,stop_1.5,29,14,48.28,0.4234,0.2834,1.715,1.432,8.2185,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_4.0::top1,delay_15m,stop_1.5,29,14,48.28,0.4157,0.2757,1.667,1.402,7.9944,3
DL2::P::prior_move_180m_pct_ge_-0.4872+utc_hour_le_8.0::top1,delay_15m,stop_1.5,29,14,48.28,0.4481,0.3081,1.736,1.462,8.936,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_4.0::top1,delay_5m,stop_1.5,29,14,48.28,0.4234,0.2834,1.715,1.432,8.2185,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_4.0::top1,delay_15m,stop_1.5,29,14,48.28,0.4157,0.2757,1.667,1.402,7.9944,3
DL2::P::dist_to_4h_mean_pct_ge_-0.338+utc_hour_le_8.0::top1,delay_15m,stop_1.5,29,14,48.28,0.4481,0.3081,1.736,1.462,8.936,3
DL2::S::dist_to_recent_swing_high_pct_le_0.4616::top1,delay_15m,stop_1.25,29,14,48.28,0.4848,0.3448,1.865,1.553,10.0003,3
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_14.0::top1,confirmed,stop_1.5,29,14,48.28,0.461,0.321,1.809,1.511,9.3089,3
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_14.0::top1,delay_5m,stop_1.5,29,14,48.28,0.459,0.319,1.807,1.509,9.2524,3
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_14.0::top1,delay_15m,stop_1.5,29,14,48.28,0.4339,0.2939,1.712,1.441,8.5245,4
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+utc_hour_le_4.0::top1,confirmed,stop_1.25,29,14,48.28,0.5336,0.3936,2.082,1.714,11.4136,3
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+utc_hour_le_4.0::top1,confirmed,stop_1.5,29,14,48.28,0.4387,0.2987,1.746,1.463,8.6636,3
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+utc_hour_le_4.0::top1,delay_5m,stop_1.25,29,14,48.28,0.5182,0.3782,2.041,1.674,10.9685,3
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+utc_hour_le_4.0::top1,delay_5m,stop_1.5,29,14,48.28,0.4234,0.2834,1.715,1.432,8.2185,3
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+utc_hour_le_4.0::top1,delay_10m,stop_1.25,29,14,48.28,0.4998,0.3598,1.966,1.621,10.4338,3
DL2::P::dist_to_recent_swing_high_pct_le_0.321+prior_move_180m_pct_le_0.5155::top1,delay_15m,stop_1.5,28,13,46.43,0.2679,0.1279,1.385,1.168,3.5805,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_8.0::top1,delay_5m,stop_1.0,29,13,44.83,0.4403,0.3003,1.934,1.557,8.7086,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_8.0::top1,delay_10m,stop_1.25,29,13,44.83,0.3305,0.1905,1.557,1.288,5.5235,4
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_4.0::top1,delay_5m,stop_1.0,29,13,44.83,0.4292,0.2892,1.91,1.531,8.3865,3
DL2::P::dist_to_recent_swing_high_pct_le_0.321+utc_hour_le_4.0::top1,delay_10m,stop_1.25,29,13,44.83,0.3053,0.1653,1.506,1.245,4.7932,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_4.0::top1,confirmed,stop_1.25,29,13,44.83,0.4215,0.2815,1.786,1.47,8.1636,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_4.0::top1,confirmed,stop_1.5,29,13,44.83,0.3181,0.1781,1.497,1.253,5.1636,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_8.0::top1,confirmed,stop_1.25,29,13,44.83,0.4377,0.2977,1.831,1.505,8.632,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_8.0::top1,confirmed,stop_1.5,29,13,44.83,0.3428,0.2028,1.551,1.296,5.882,3
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_8.0::top1,delay_5m,stop_1.5,29,13,44.83,0.3369,0.1969,1.543,1.288,5.7105,5
DL2::P::dist_to_recent_swing_high_pct_le_1.062+utc_hour_le_8.0::top1,delay_10m,stop_1.25,29,13,44.83,0.4129,0.2729,1.751,1.445,7.9142,3
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+dl2_microprice_delta_5m_bps_ge_-0.534::top1,confirmed,stop_1.25,29,13,44.83,0.272,0.132,1.427,1.186,3.8266,6
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+dl2_microprice_delta_5m_bps_ge_-0.534::top1,delay_5m,stop_1.25,29,13,44.83,0.2753,0.1353,1.436,1.192,3.9239,6
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+dl2_microprice_delta_5m_bps_ge_-0.534::top1,delay_10m,stop_1.25,29,13,44.83,0.3823,0.2423,1.645,1.367,7.0265,5
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+dl2_microprice_delta_5m_bps_ge_-0.534::top1,delay_10m,stop_1.5,29,13,44.83,0.2702,0.1302,1.383,1.169,3.7765,5
DL2::P::dist_to_recent_swing_high_pct_le_0.6499+dl2_microprice_delta_5m_bps_ge_-0.534::top1,delay_15m,stop_1.25,29,13,44.83,0.3728,0.2328,1.618,1.347,6.7503,5
