date,zone_id,direction,stage_reached,candidate_iso,confirmed_iso,trigger_iso,zone_low,zone_high,zone_mid,zone_width_pct,candidate_to_confirm_min,confirm_to_trigger_min,total_pre_trigger_min,utc_hour,session,session_bucket,weekday,is_session_open_2h,_label_unique_move_id,_label_engine_class,watch_label,coverage_class,lead_min_before_move,matched_move_size_pct,_half
2026-03-05,BTC-USDT-SWAP-SHORT-1772689407000-11,SHORT,triggered,2026-03-05T05:43:27+00:00,2026-03-05T05:55:00+00:00,2026-03-05T05:58:18+00:00,72291.885975,72476.55,72384.2179875,0.25511641920604167,11.55,3.3,14.85,5.0,asia,asia,3,0,1,duplicate_reached_move,BAD,covered_late,-281.4,2.1318,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772673503000-4,SHORT,triggered,2026-03-05T01:18:23+00:00,2026-03-05T01:21:44+00:00,2026-03-05T05:58:33+00:00,72825.05,73083.45,72954.25,0.35419458085031946,3.35,276.81666666666666,280.1666666666667,1.0,asia,asia,3,1,1,duplicate_reached_move,MID,covered_mid,-8.13,2.1318,first
2026-03-05,BTC-USDT-SWAP-LONG-1772692402000-15,LONG,triggered,2026-03-05T06:33:22+00:00,2026-03-05T06:38:24+00:00,2026-03-05T06:50:14+00:00,72280.85,72406.05,72343.45000000001,0.1730633526601193,5.033333333333333,11.833333333333334,16.866666666666667,6.0,asia,asia,3,0,,failed_triggered,GOOD,covered_watch_early,109.12,2.52,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772691308000-14,SHORT,triggered,2026-03-05T06:15:08+00:00,2026-03-05T06:36:26+00:00,2026-03-05T07:50:29+00:00,72040.05,72519.35,72279.70000000001,0.663118413607144,21.3,74.05,95.35,6.0,asia,asia,3,0,,failed_triggered,BAD,covered_late,-322.83,2.1318,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772690822000-12,SHORT,triggered,2026-03-05T06:07:02+00:00,2026-03-05T06:15:08+00:00,2026-03-05T07:52:36+00:00,72010.15,72285.75,72147.95,0.3819928355552803,8.1,97.46666666666667,105.56666666666666,6.0,asia,asia,3,0,,failed_triggered,BAD,covered_late,-301.53,2.1318,first
2026-03-05,BTC-USDT-SWAP-SHORT-1772698247000-17,SHORT,confirmed,2026-03-05T08:10:47+00:00,2026-03-05T08:21:53+00:00,,71773.25,71979.35,71876.3,0.2867426397853059,11.1,,,8.0,europe,europe,3,1,,invalidated_or_expired,BAD,covered_late,-428.28,2.1318,first
2026-03-05,BTC-USDT-SWAP-LONG-1772691247000-13,LONG,triggered,2026-03-05T06:14:07+00:00,2026-03-05T06:33:22+00:00,2026-03-05T10:26:48+00:00,72040.05,72519.35,72279.70000000001,0.663118413607144,19.25,233.43333333333334,252.68333333333334,6.0,asia,asia,3,0,,failed_triggered,GOOD,covered_watch_early,114.15,2.52,first
2026-03-05,BTC-USDT-SWAP-LONG-1772697409000-16,LONG,triggered,2026-03-05T07:56:49+00:00,2026-03-05T08:08:16+00:00,2026-03-05T10:26:56+00:00,71814.05,72049.95,71932.0,0.3279486181393457,11.45,138.66666666666666,150.11666666666667,8.0,europe,europe,3,1,,failed_triggered,GOOD,covered_watch_early,19.25,2.52,first
2026-03-05,BTC-USDT-SWAP-LONG-1772706691000-18,LONG,confirmed,2026-03-05T10:31:31+00:00,2026-03-05T10:43:33+00:00,,73138.45,73482.15,73310.29999999999,0.46882907313160244,12.033333333333333,,,10.0,europe,europe,3,0,,invalidated_or_expired,BAD,covered_late,-136.03,2.52,first
2026-03-05,BTC-USDT-SWAP-LONG-1772706721000-19,LONG,confirmed,2026-03-05T10:32:01+00:00,2026-03-05T10:43:33+00:00,,73117.672875,73482.15,73299.9114375,0.49724088044876535,11.533333333333333,,,10.0,europe,europe,3,0,,invalidated_or_expired,BAD,covered_late,-136.03,2.52,first
