_venue,_date,id,direction,sim_label,strong_label,true_mfe,true_mae,sim_outcome,sim_pnl_after_cost,taker_imbalance_15m,supportive_taker_imb_15m,eng_ofi,reclaim_zoneMid_preconfirm,regime_1d,dist_to_recent_swing_high_pct,cv_mate_dmin,cv_match_5m,cv_match_15m,cv_same_dir,cv_mate_taker,cv_confirm,cv_conflict,cv_lead
OKX,2026-05-22,BTC-USDT-SWAP-SHORT-1779439235000-11,SHORT,GOOD,STRONG_3,3.998,-0.336,WIN,1.86,-0.1359,0.1359,0.0721364348362575,0,RANGE,0.5127,14.6,0,1,1,-0.0251,1,0,self
OKX,2026-05-22,BTC-USDT-SWAP-SHORT-1779441426000-13,SHORT,GOOD,STRONG_3,3.951,-0.385,WIN,1.86,0.1118,-0.1118,-0.1684847936343971,0,RANGE,0.5051,12.07,0,1,1,-0.0251,1,0,other
OKX,2026-05-22,BTC-USDT-SWAP-SHORT-1779457879000-15,SHORT,GOOD,STRONG_3,3.863,-0.089,WIN,1.86,0.0594,-0.0594,0.09483933251292848,0,RANGE,0.4776,16.25,0,0,0,-0.1907,1,0,other
OKX,2026-05-22,BTC-USDT-SWAP-LONG-1779433591000-10,LONG,NOISE,MID,0.258,-2.806,LOSS,-1.64,-0.3184,-0.3184,0.01644475386534341,1,RANGE,0.6677,117.57,0,0,,,0,0,
OKX,2026-05-22,BTC-USDT-SWAP-SHORT-1779459081000-16,SHORT,GOOD,STRONG_3,3.691,-0.062,WIN,1.86,-0.1191,0.1191,-0.07631491305012808,1,RANGE,0.6573,1.93,1,1,1,-0.0732,1,0,self
OKX,2026-05-22,BTC-USDT-SWAP-SHORT-1779459495000-17,SHORT,GOOD,STRONG_3,3.36,-0.405,WIN,1.86,-0.0305,0.0305,-0.06091153720387097,1,RANGE,1.0026,3.1,1,1,0,-0.1275,1,0,other
OKX,2026-05-22,BTC-USDT-SWAP-SHORT-1779459508000-18,SHORT,GOOD,STRONG_3,3.36,-0.405,WIN,1.86,-0.0305,0.0305,0.034061099450801255,1,RANGE,1.0026,3.1,1,1,0,-0.1275,1,0,other
OKX,2026-05-22,BTC-USDT-SWAP-SHORT-1779460217000-19,SHORT,GOOD,STRONG_3,3.393,-0.372,WIN,1.86,0.0377,-0.0377,-0.1453176095883288,0,RANGE,0.9687,4.1,1,1,1,0.0647,0,1,self
OKX,2026-05-22,BTC-USDT-SWAP-LONG-1779460984000-20,LONG,NOISE,MID,0.425,-3.341,LOSS,-1.64,-0.0077,-0.0077,0.005699012921710645,0,RANGE,1.0226,1.93,1,1,0,0.4115,1,0,other
OKX,2026-05-22,BTC-USDT-SWAP-LONG-1779464654000-21,LONG,NOISE,MID,0.299,-3.463,LOSS,-1.64,0.3408,0.3408,0.10817162451390162,1,RANGE,1.0225,4.45,1,1,0,0.1142,1,0,other
