date,zone_id,direction,class,candidate_iso,confirmed_iso,trigger_iso,candidate_to_confirm_min,confirm_to_trigger_min,total_pre_trigger_min,trigger_to_target_min_canonical_1pct_stop,trigger_to_stop_min_canonical_1pct_stop,filter_kept,filter_fast_ok,filter_dup_suppressed
2026-03-18,BTC-USDT-SWAP-LONG-1773794558000-5,LONG,failed_triggered,2026-03-18T00:42:38+00:00,2026-03-18T00:59:29+00:00,2026-03-18T01:31:23+00:00,16.85,31.9,48.75,,,False,True,True
2026-03-18,BTC-USDT-SWAP-LONG-1773793754000-4,LONG,failed_triggered,2026-03-18T00:29:14+00:00,2026-03-18T00:34:06+00:00,2026-03-18T01:33:57+00:00,4.866666666666666,59.85,64.71666666666667,,,False,True,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773795295000-6,SHORT,invalidated_or_expired,2026-03-18T00:54:55+00:00,2026-03-18T00:57:55+00:00,,3.0,,,,,,,
2026-03-18,BTC-USDT-SWAP-LONG-1773798977000-9,LONG,failed_triggered,2026-03-18T01:56:17+00:00,2026-03-18T02:00:02+00:00,2026-03-18T02:16:28+00:00,3.75,16.433333333333334,20.183333333333334,,,False,True,True
2026-03-18,BTC-USDT-SWAP-LONG-1773799629000-10,LONG,failed_triggered,2026-03-18T02:07:09+00:00,2026-03-18T02:15:00+00:00,2026-03-18T02:34:15+00:00,7.85,19.25,27.1,,,False,True,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773792781000-2,SHORT,invalidated_or_expired,2026-03-18T00:13:01+00:00,2026-03-18T00:54:55+00:00,,41.9,,,,,,,
2026-03-18,BTC-USDT-SWAP-LONG-1773800100000-11,LONG,failed_triggered,2026-03-18T02:15:00+00:00,2026-03-18T02:40:01+00:00,2026-03-18T03:25:28+00:00,25.016666666666666,45.45,70.46666666666667,,,False,True,True
2026-03-18,BTC-USDT-SWAP-SHORT-1773797761000-8,SHORT,invalidated_or_expired,2026-03-18T01:36:01+00:00,2026-03-18T01:43:03+00:00,,7.033333333333333,,,,,,,
2026-03-18,BTC-USDT-SWAP-SHORT-1773800297000-12,SHORT,invalidated_or_expired,2026-03-18T02:18:17+00:00,2026-03-18T02:21:49+00:00,,3.533333333333333,,,,,,,
2026-03-18,BTC-USDT-SWAP-SHORT-1773806704000-17,SHORT,duplicate_reached_move,2026-03-18T04:05:04+00:00,2026-03-18T04:37:40+00:00,2026-03-18T05:27:07+00:00,32.6,49.45,82.05,423.52,,True,True,False
2026-03-18,BTC-USDT-SWAP-LONG-1773804825000-15,LONG,invalidated_or_expired,2026-03-18T03:33:45+00:00,2026-03-18T03:44:33+00:00,,10.8,,,,,,,
2026-03-18,BTC-USDT-SWAP-LONG-1773805473000-16,LONG,invalidated_or_expired,2026-03-18T03:44:33+00:00,2026-03-18T03:47:47+00:00,,3.2333333333333334,,,,,,,
2026-03-18,BTC-USDT-SWAP-SHORT-1773808660000-19,SHORT,duplicate_reached_move,2026-03-18T04:37:40+00:00,2026-03-18T04:40:52+00:00,2026-03-18T05:29:15+00:00,3.2,48.38333333333333,51.583333333333336,421.57,,False,True,True
2026-03-18,BTC-USDT-SWAP-LONG-1773807129000-18,LONG,invalidated_or_expired,2026-03-18T04:12:09+00:00,2026-03-18T04:15:34+00:00,,3.4166666666666665,,,,,,,
