date,move_idx,direction,start_iso,end_iso,start_price,end_price,size_pct,duration_min,is_secondary_1_5pct
2026-03-16,0,UP,2026-03-16T03:34:00+00:00,2026-03-16T04:55:01+00:00,72213.7,74449.7,3.0964,81.0,False
2026-03-16,1,DOWN,2026-03-16T04:55:01+00:00,2026-03-16T08:44:57+00:00,74449.7,72828.8,2.1772,229.9,False
2026-03-16,2,UP,2026-03-16T08:44:57+00:00,2026-03-16T13:41:49+00:00,72828.8,74499.9,2.2946,296.9,False
2026-03-16,3,DOWN,2026-03-16T13:41:49+00:00,2026-03-16T14:42:45+00:00,74499.9,72950.2,2.0801,60.9,False
2026-03-18,0,UP,2026-03-18T03:26:53+00:00,2026-03-18T03:36:34+00:00,73485.7,74644.4,1.5768,9.7,True
2026-03-18,1,UP,2026-03-18T15:02:29+00:00,2026-03-18T18:07:16+00:00,70812.1,71964.9,1.628,184.8,True
