date,zone_id,direction,watch_label,coverage_class,lead_min_before_move,matched_move_size_pct,_half
2026-03-03,BTC-USDT-SWAP-SHORT-1772522407000-20,SHORT,BAD,covered_late,-388.72,4.2278,first
2026-03-03,BTC-USDT-SWAP-SHORT-1772521223000-19,SHORT,BAD,covered_late,-353.48,4.2278,first
2026-03-03,BTC-USDT-SWAP-LONG-1772517197000-16,LONG,GOOD,covered_watch_early,161.25,2.4411,first
2026-03-03,BTC-USDT-SWAP-SHORT-1772527118000-21,SHORT,BAD,covered_late,-460.37,4.2278,first
2026-03-03,BTC-USDT-SWAP-SHORT-1772528107000-22,SHORT,BAD,covered_late,-467.92,4.2278,first
2026-03-03,BTC-USDT-SWAP-SHORT-1772528433000-23,SHORT,BAD,covered_late,-470.92,4.2278,first
2026-03-03,BTC-USDT-SWAP-SHORT-1772531394000-26,SHORT,GOOD,covered_watch_early,132.32,2.7375,first
2026-03-03,BTC-USDT-SWAP-SHORT-1772531452000-27,SHORT,GOOD,covered_watch_early,132.32,2.7375,first
2026-03-03,BTC-USDT-SWAP-SHORT-1772530692000-25,SHORT,GOOD,covered_watch_early,148.58,2.7375,first
2026-03-03,BTC-USDT-SWAP-LONG-1772536899000-31,LONG,BAD,covered_late,-119.1,2.4411,first
2026-03-03,BTC-USDT-SWAP-LONG-1772535551000-30,LONG,BAD,covered_late,-109.62,2.4411,first
2026-03-03,BTC-USDT-SWAP-SHORT-1772535110000-28,SHORT,GOOD,covered_watch_early,63.5,2.7375,first
2026-03-03,BTC-USDT-SWAP-SHORT-1772535134000-29,SHORT,GOOD,covered_watch_early,63.5,2.7375,first
2026-03-03,BTC-USDT-SWAP-LONG-1772541712000-33,LONG,GOOD,covered_watch_early,122.35,4.3572,first
2026-03-03,BTC-USDT-SWAP-LONG-1772541572000-32,LONG,GOOD,covered_watch_early,122.35,4.3572,first
2026-03-03,BTC-USDT-SWAP-LONG-1772544123000-35,LONG,GOOD,covered_watch_early,81.82,4.3572,first
2026-03-03,BTC-USDT-SWAP-SHORT-1772546176000-36,SHORT,BAD,covered_late,-109.67,2.7375,first
2026-03-03,BTC-USDT-SWAP-LONG-1772543243000-34,LONG,GOOD,covered_watch_early,87.37,4.3572,first
2026-03-03,BTC-USDT-SWAP-LONG-1772553323000-38,LONG,BAD,covered_late,-69.02,4.3572,first
2026-03-03,BTC-USDT-SWAP-LONG-1772553506000-39,LONG,BAD,covered_late,-72.7,4.3572,first
2026-03-03,BTC-USDT-SWAP-LONG-1772553549000-40,LONG,BAD,covered_late,-72.73,4.3572,first
2026-03-03,BTC-USDT-SWAP-SHORT-1772551037000-37,SHORT,GOOD,covered_watch_early,41.32,2.204,first
2026-03-03,BTC-USDT-SWAP-LONG-1772554627000-41,LONG,BAD,wrong_direction,,2.204,first
2026-03-03,BTC-USDT-SWAP-LONG-1772560656000-43,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-03,BTC-USDT-SWAP-LONG-1772564438000-46,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-03,BTC-USDT-SWAP-LONG-1772563749000-45,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-03,BTC-USDT-SWAP-SHORT-1772563179000-44,SHORT,MID,noisy_partial_1_5,,1.6388,first
2026-03-03,BTC-USDT-SWAP-LONG-1772558132000-42,LONG,BAD,missed_no_move_in_4h,,,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772582934000-2,SHORT,GOOD,covered_watch_early,87.97,2.2052,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772582797000-1,SHORT,GOOD,covered_watch_early,87.97,2.2052,first
2026-03-04,BTC-USDT-SWAP-LONG-1772584188000-4,LONG,GOOD,covered_watch_early,175.55,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772584858000-5,LONG,GOOD,covered_watch_early,172.55,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772583941000-3,SHORT,GOOD,covered_watch_early,35.02,2.2052,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772588463000-6,SHORT,MID,covered_mid,-2.57,2.2052,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772589606000-9,SHORT,MID,covered_mid,-26.75,2.2052,first
2026-03-04,BTC-USDT-SWAP-LONG-1772589121000-7,LONG,GOOD,covered_watch_early,100.98,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772591636000-10,SHORT,BAD,covered_late,-60.72,2.2052,first
2026-03-04,BTC-USDT-SWAP-LONG-1772589296000-8,LONG,GOOD,covered_watch_early,76.95,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772596380000-13,LONG,MID,covered_mid,-19.48,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772602176000-17,LONG,MID,covered_mid,-121.12,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772596014000-12,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772597735000-15,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772601616000-16,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772595707000-11,LONG,MID,covered_mid,-16.48,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772606412000-18,LONG,MID,covered_mid,-188.07,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772608667000-20,LONG,MID,covered_mid,-241.03,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772606902000-19,LONG,MID,covered_mid,-194.95,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772611621000-23,LONG,MID,covered_mid,-296.47,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772611599000-22,LONG,MID,covered_mid,-296.47,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772612635000-24,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772611107000-21,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772613179000-25,LONG,MID,covered_mid,-329.13,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772616258000-27,LONG,MID,covered_mid,-350.78,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772616423000-28,LONG,MID,covered_mid,-353.53,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772616143000-26,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772623278000-32,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772621703000-31,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772617742000-30,LONG,MID,covered_mid,-382.28,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772616656000-29,LONG,MID,covered_mid,-372.52,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772626585000-34,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772626670000-35,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772626743000-36,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772624824000-33,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772631907000-37,LONG,BAD,covered_late,-618.53,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772632793000-38,LONG,BAD,covered_late,-642.67,9.9051,first
2026-03-04,BTC-USDT-SWAP-SHORT-1772633530000-39,SHORT,BAD,wrong_direction,,9.9051,first
2026-03-04,BTC-USDT-SWAP-LONG-1772637425000-40,LONG,BAD,covered_late,-709.77,9.9051,first
