id,_date,direction,sim_label,sim_outcome,sim_pnl_after_cost,explainable_score,dist_to_recent_swing_high_pct,dl2_supp_minus_opp_net_flow_15m__pctile_prior,dl2_supp_minus_opp_net_flow_15m__z_prior,dl2_supp_minus_opp_net_flow_15m__pctile_7d,dl2_supp_minus_opp_net_flow_15m__pctile_day,dl2_supp_minus_opp_net_flow_15m__pctile_60m,dl2_supp_minus_opp_net_flow_15m__pctile_180m,dl2_supp_minus_opp_net_flow_15m__z_60m,dl2_supp_minus_opp_net_flow_15m__z_180m,dl2_supp_minus_opp_net_flow_15m__over_med_prior,dl2_supp_minus_opp_net_flow_15m__over_mad_prior,dl2_supp_minus_opp_net_flow_5m__pctile_prior,dl2_supp_minus_opp_net_flow_5m__z_prior,dl2_supp_minus_opp_net_flow_5m__pctile_7d,dl2_supp_minus_opp_net_flow_5m__pctile_day,dl2_supp_minus_opp_net_flow_5m__pctile_60m,dl2_supp_minus_opp_net_flow_5m__pctile_180m,dl2_supp_minus_opp_net_flow_5m__z_60m,dl2_supp_minus_opp_net_flow_5m__z_180m,dl2_supp_minus_opp_net_flow_5m__over_med_prior,dl2_supp_minus_opp_net_flow_5m__over_mad_prior,dl2_microprice_aligned_delta_5m_bps__pctile_prior,dl2_microprice_aligned_delta_5m_bps__z_prior,dl2_microprice_aligned_delta_5m_bps__pctile_7d,dl2_microprice_aligned_delta_5m_bps__pctile_day,dl2_microprice_aligned_delta_5m_bps__pctile_60m,dl2_microprice_aligned_delta_5m_bps__pctile_180m,dl2_microprice_aligned_delta_5m_bps__z_60m,dl2_microprice_aligned_delta_5m_bps__z_180m,dl2_microprice_aligned_delta_5m_bps__over_med_prior,dl2_microprice_aligned_delta_5m_bps__over_mad_prior,dl2_microprice_aligned_delta_15m_bps__pctile_prior,dl2_microprice_aligned_delta_15m_bps__z_prior,dl2_microprice_aligned_delta_15m_bps__pctile_7d,dl2_microprice_aligned_delta_15m_bps__pctile_day,dl2_microprice_aligned_delta_15m_bps__pctile_60m,dl2_microprice_aligned_delta_15m_bps__pctile_180m,dl2_microprice_aligned_delta_15m_bps__z_60m,dl2_microprice_aligned_delta_15m_bps__z_180m,dl2_microprice_aligned_delta_15m_bps__over_med_prior,dl2_microprice_aligned_delta_15m_bps__over_mad_prior,dl2_top1_supportive_persistence_ge_50_5m_sec__pctile_prior,dl2_top1_supportive_persistence_ge_50_5m_sec__z_prior,dl2_top1_supportive_persistence_ge_50_5m_sec__pctile_7d,dl2_top1_supportive_persistence_ge_50_5m_sec__pctile_day,dl2_top1_supportive_persistence_ge_50_5m_sec__pctile_60m,dl2_top1_supportive_persistence_ge_50_5m_sec__pctile_180m,dl2_top1_supportive_persistence_ge_50_5m_sec__z_60m,dl2_top1_supportive_persistence_ge_50_5m_sec__z_180m,dl2_top1_supportive_persistence_ge_50_5m_sec__over_med_prior,dl2_top1_supportive_persistence_ge_50_5m_sec__over_mad_prior,dl2_spread_now_bps__pctile_prior,dl2_spread_now_bps__z_prior,dl2_spread_now_bps__pctile_7d,dl2_spread_now_bps__pctile_day,dl2_spread_now_bps__pctile_60m,dl2_spread_now_bps__pctile_180m,dl2_spread_now_bps__z_60m,dl2_spread_now_bps__z_180m,dl2_spread_now_bps__over_med_prior,dl2_spread_now_bps__over_mad_prior,eng_ofi__pctile_prior,eng_ofi__z_prior,eng_ofi__pctile_7d,eng_ofi__pctile_day,eng_ofi__pctile_60m,eng_ofi__pctile_180m,eng_ofi__z_60m,eng_ofi__z_180m,eng_ofi__over_med_prior,eng_ofi__over_mad_prior,eng_refill__pctile_prior,eng_refill__z_prior,eng_refill__pctile_7d,eng_refill__pctile_day,eng_refill__pctile_60m,eng_refill__pctile_180m,eng_refill__z_60m,eng_refill__z_180m,eng_refill__over_med_prior,eng_refill__over_mad_prior,eng_absorption__pctile_prior,eng_absorption__z_prior,eng_absorption__pctile_7d,eng_absorption__pctile_day,eng_absorption__pctile_60m,eng_absorption__pctile_180m,eng_absorption__z_60m,eng_absorption__z_180m,eng_absorption__over_med_prior,eng_absorption__over_mad_prior,eng_void__pctile_prior,eng_void__z_prior,eng_void__pctile_7d,eng_void__pctile_day,eng_void__pctile_60m,eng_void__pctile_180m,eng_void__z_60m,eng_void__z_180m,eng_void__over_med_prior,eng_void__over_mad_prior,supportive_taker_imb_15m__pctile_prior,supportive_taker_imb_15m__z_prior,supportive_taker_imb_15m__pctile_7d,supportive_taker_imb_15m__pctile_day,supportive_taker_imb_15m__pctile_60m,supportive_taker_imb_15m__pctile_180m,supportive_taker_imb_15m__z_60m,supportive_taker_imb_15m__z_180m,supportive_taker_imb_15m__over_med_prior,supportive_taker_imb_15m__over_mad_prior,taker_imbalance_15m__pctile_prior,taker_imbalance_15m__z_prior,taker_imbalance_15m__pctile_7d,taker_imbalance_15m__pctile_day,taker_imbalance_15m__pctile_60m,taker_imbalance_15m__pctile_180m,taker_imbalance_15m__z_60m,taker_imbalance_15m__z_180m,taker_imbalance_15m__over_med_prior,taker_imbalance_15m__over_mad_prior,explainable_score__pctile_prior,explainable_score__z_prior,explainable_score__pctile_7d,explainable_score__pctile_day,explainable_score__pctile_60m,explainable_score__pctile_180m,explainable_score__z_60m,explainable_score__z_180m,explainable_score__over_med_prior,explainable_score__over_mad_prior
BTC-USDT-SWAP-LONG-1772554627000-41,2026-03-03,LONG,NOISE,LOSS,-1.64,0.3,0.2496,18.4,-0.888,18.4,20.5,50.0,40.0,0.314,0.187,-1.624,-2.149,6.6,-1.165,6.6,10.3,50.0,40.0,-0.317,-0.582,-2.482,-2.742,89.5,0.753,89.5,79.5,50.0,60.0,-0.661,-0.426,5.849,5.036,94.6,1.351,94.6,97.3,100.0,100.0,1.587,1.799,-13.849,4.98,38.2,-0.002,38.2,33.3,50.0,60.0,0.462,0.692,0.981,-0.625,100.0,0.369,100.0,100.0,100.0,100.0,,,1.0,0.0,55.3,0.043,55.3,53.8,50.0,60.0,-0.05,0.189,1.73,0.069,72.4,0.473,72.4,79.5,100.0,80.0,3.538,1.462,1.001,0.55,34.2,-0.721,34.2,33.3,75.0,60.0,-0.236,-0.565,0.984,-0.608,100.0,,100.0,100.0,100.0,100.0,,,,,65.8,0.374,65.8,61.5,100.0,100.0,1.688,1.895,0.081,0.732,47.4,-0.119,47.4,51.3,75.0,60.0,0.37,-0.032,-0.495,-0.158,21.1,-0.845,21.1,17.9,50.0,60.0,-0.027,0.317,0.454,-1.007
BTC-USDT-SWAP-LONG-1772560656000-43,2026-03-03,LONG,GOOD,WIN,1.86,0.0237,0.8778,17.9,-0.913,17.9,19.5,,33.3,,0.138,-1.802,-2.075,1.3,-1.833,1.3,2.4,,16.7,,-1.104,-5.266,-4.503,15.4,-0.53,15.4,14.6,,16.7,,-1.005,0.0,-1.015,57.9,-0.068,57.9,56.4,,33.3,,0.02,-0.0,0.323,2.6,-5.802,2.6,4.9,,16.7,,-2.234,0.0,-30.647,,,,,,,,,,,92.3,1.467,92.3,92.7,,83.3,,1.343,16.594,2.015,3.8,-1.544,3.8,4.9,,0.0,,-1.544,0.997,-2.053,20.5,-0.812,20.5,19.5,,33.3,,-0.727,0.978,-0.876,100.0,,100.0,100.0,,100.0,,,,,67.9,0.464,67.9,63.4,,83.3,,0.418,-0.157,0.847,50.0,-0.023,50.0,53.7,,66.7,,0.103,0.822,-0.019,5.1,-1.36,5.1,2.4,,0.0,,-3.446,0.037,-1.797
BTC-USDT-SWAP-LONG-1772564438000-46,2026-03-03,LONG,NOISE,LOSS,-1.64,-0.3703,0.7275,25.9,-0.632,25.9,34.1,,60.0,,-0.175,-1.19,-1.573,9.9,-0.947,9.9,13.6,,40.0,,-0.291,-2.373,-2.152,37.0,-0.424,37.0,40.9,,40.0,,-0.745,0.534,-0.47,16.5,-0.501,16.5,11.9,,0.0,,-1.276,4.43,-1.099,45.7,0.162,45.7,45.5,,100.0,,0.841,0.992,-0.25,100.0,0.361,100.0,100.0,,100.0,,,1.0,0.0,4.9,-1.521,4.9,4.5,,20.0,,-1.292,-15.552,-2.07,9.9,-1.03,9.9,13.6,,40.0,,-0.007,0.998,-1.626,51.9,-0.365,51.9,54.5,,60.0,,0.735,1.007,0.299,100.0,,100.0,100.0,,100.0,,,,,29.6,-0.523,29.6,29.5,,0.0,,-1.829,1.952,-0.698,17.3,-0.927,17.3,15.9,,0.0,,-1.506,-26.119,-1.165,1.2,-2.126,1.2,2.3,,0.0,,-2.263,-0.583,-2.991
BTC-USDT-SWAP-LONG-1772563749000-45,2026-03-03,LONG,NOISE,LOSS,-1.64,0.5201,0.3751,2.5,-2.106,2.5,2.4,,16.7,,-0.707,-5.012,-4.323,22.8,-0.51,22.8,26.2,,83.3,,0.445,-0.681,-1.082,92.4,1.76,92.4,85.7,,66.7,,0.229,10.383,9.442,35.1,-0.323,35.1,30.0,,0.0,,-1.291,2.649,-0.528,36.7,0.105,36.7,33.3,,66.7,,0.726,0.981,-0.625,100.0,0.367,100.0,100.0,,100.0,,,1.0,0.0,59.5,0.338,59.5,57.1,,33.3,,-0.371,4.686,0.461,0.0,-5.135,0.0,0.0,,0.0,,-6.568,0.991,-6.632,44.3,-0.589,44.3,45.2,,66.7,,-0.026,0.993,-0.288,100.0,,100.0,100.0,,100.0,,,,,38.0,-0.289,38.0,38.1,,33.3,,-0.889,1.468,-0.343,25.3,-0.725,25.3,23.8,,33.3,,-0.889,-9.375,-0.919,38.0,-0.368,38.0,38.1,,100.0,,2.38,0.819,-0.333
BTC-USDT-SWAP-SHORT-1772563179000-44,2026-03-03,SHORT,NOISE,LOSS,-1.64,0.9711,0.6152,97.5,1.923,97.5,100.0,,100.0,,4.263,5.863,3.36,88.8,0.698,88.8,90.7,,100.0,,3.67,4.157,1.979,65.0,-0.218,65.0,62.8,,50.0,,-0.591,1.479,0.481,87.2,0.436,87.2,87.8,,75.0,,0.317,-5.067,1.997,32.5,0.084,32.5,32.6,,50.0,,0.988,0.977,-0.75,100.0,0.364,100.0,100.0,,,,,1.0,0.0,0.0,-2.244,0.0,0.0,,0.0,,-5.149,-22.14,-3.085,80.0,0.852,80.0,88.4,,100.0,,1.275,1.001,1.062,56.2,-0.286,56.2,62.8,,75.0,,1.487,1.013,0.54,100.0,,100.0,100.0,,100.0,,,,,78.8,0.779,78.8,74.4,,75.0,,0.413,-0.829,1.385,32.5,-0.441,32.5,34.9,,25.0,,-0.776,-7.169,-0.549,68.8,0.518,68.8,67.4,,100.0,,3.881,1.543,0.989
BTC-USDT-SWAP-LONG-1772558132000-42,2026-03-03,LONG,GOOD,WIN,1.86,0.132,1.321,35.1,-0.194,35.1,50.0,,80.0,,0.749,0.065,-0.706,13.0,-0.843,13.0,15.0,,80.0,,0.037,-1.554,-1.958,14.3,-0.534,14.3,12.5,,0.0,,-1.232,0.0,-1.023,57.3,-0.069,57.3,55.3,,20.0,,0.022,-0.0,0.326,1.3,-7.784,1.3,2.5,,0.0,,-57.185,0.0,-32.625,,,,,,,,,,,62.3,0.378,62.3,60.0,,60.0,,0.267,5.011,0.485,20.8,-0.872,20.8,30.0,,40.0,,-0.428,0.998,-1.202,55.8,-0.28,55.8,62.5,,80.0,,1.244,1.014,0.581,100.0,,100.0,100.0,,100.0,,,,,92.2,1.535,92.2,92.5,,100.0,,4.428,-2.418,2.508,81.8,0.959,81.8,77.5,,100.0,,2.419,32.357,1.347,7.8,-1.165,7.8,2.5,,0.0,,-4.342,0.2,-1.469
BTC-USDT-SWAP-SHORT-1772582934000-2,2026-03-04,SHORT,NOISE,LOSS,-1.64,1.2554,0.2978,32.9,-0.252,32.9,,,,,,-0.174,-0.807,12.2,-0.841,12.2,,,,,,-2.043,-1.84,86.6,0.517,86.6,,,,,,4.791,3.847,,,,,,,,,,,15.9,-0.075,15.9,,,,,,0.948,-1.588,100.0,0.359,100.0,,,,,,1.0,0.0,1.2,-1.875,1.2,,,,,,-20.038,-2.582,4.9,-1.271,4.9,,,,,,0.997,-1.959,23.2,-0.793,23.2,,,,,,0.978,-0.858,100.0,,100.0,,,,,,,,80.5,0.947,80.5,,,,,,-1.185,1.655,32.9,-0.582,32.9,,,,,,444.0,-0.67,82.9,1.077,82.9,,,,,,1.995,1.807
BTC-USDT-SWAP-SHORT-1772582797000-1,2026-03-04,SHORT,NOISE,LOSS,-1.64,1.2554,0.2978,33.7,-0.251,33.7,100.0,,,,,-0.181,-0.768,13.3,-0.832,13.3,100.0,,,,,-2.089,-1.804,86.7,0.513,86.7,100.0,,,,,4.776,3.809,,,,,,,,,,,16.9,-0.075,16.9,100.0,,,,,0.95,-1.444,100.0,0.356,100.0,100.0,,,,,1.0,0.0,20.5,-0.899,20.5,100.0,,,,,-9.816,-1.306,6.0,-1.251,6.0,100.0,,,,,0.997,-1.931,24.1,-0.785,24.1,100.0,,,,,0.979,-0.855,100.0,,100.0,100.0,,,,,,,80.7,0.937,80.7,100.0,,,,,-1.185,1.603,33.7,-0.578,33.7,100.0,,,,,14.8,-0.676,83.1,1.063,83.1,100.0,,,,,1.977,1.797
BTC-USDT-SWAP-LONG-1772584188000-4,2026-03-04,LONG,GOOD,WIN,1.86,0.8904,0.6444,91.7,1.151,91.7,100.0,,,,,4.219,1.828,50.0,-0.101,50.0,100.0,,,,,0.956,-0.023,82.1,0.131,82.1,0.0,,,,,3.079,2.095,2.5,-1.218,2.5,,,,,,11.563,-3.41,25.0,0.025,25.0,100.0,,,,,0.969,-0.889,100.0,0.354,100.0,100.0,,,,,1.0,0.0,36.9,-0.346,36.9,100.0,,,,,-4.645,-0.517,100.0,2.48,100.0,100.0,,,,,1.005,3.318,98.8,2.506,98.8,100.0,,,,,1.192,8.063,100.0,,100.0,100.0,,,,,,,1.2,-2.243,1.2,0.0,,,,,6.501,-3.439,1.2,-2.507,1.2,0.0,,,,,64.082,-3.489,63.1,0.347,63.1,0.0,,,,,1.377,0.68
BTC-USDT-SWAP-LONG-1772584858000-5,2026-03-04,LONG,GOOD,WIN,1.86,-0.17,0.7226,21.2,-0.719,21.2,0.0,0.0,0.0,-1.4,-1.4,-1.507,-1.63,8.2,-1.038,8.2,0.0,0.0,0.0,-1.323,-1.323,-3.401,-2.242,1.2,-0.672,1.2,0.0,0.0,0.0,-5.881,-5.881,-0.494,-1.504,2.5,-1.377,2.5,0.0,,,,,13.078,-3.931,43.5,0.126,43.5,100.0,100.0,100.0,3.536,3.536,0.988,-0.333,100.0,0.351,100.0,100.0,100.0,100.0,,,1.0,0.0,61.2,0.378,61.2,100.0,100.0,100.0,2.289,2.289,8.045,0.475,44.7,-0.015,44.7,66.7,66.7,66.7,0.005,0.005,1.0,-0.186,58.8,-0.057,58.8,66.7,66.7,66.7,-0.224,-0.224,1.028,1.147,100.0,,100.0,100.0,100.0,100.0,,,,,0.0,-2.86,0.0,0.0,0.0,0.0,-1.889,-1.889,7.101,-4.465,0.0,-3.051,0.0,0.0,0.0,0.0,-2.144,-2.144,75.302,-4.323,4.7,-1.707,4.7,0.0,0.0,0.0,-7.577,-7.577,-0.258,-2.311
BTC-USDT-SWAP-SHORT-1772583941000-3,2026-03-04,SHORT,NOISE,LOSS,-1.64,-0.0199,0.398,54.7,0.232,54.7,75.0,75.0,75.0,0.359,0.359,1.336,0.19,9.3,-0.984,9.3,25.0,25.0,25.0,-0.837,-0.837,-3.306,-2.083,1.2,-0.686,1.2,0.0,0.0,0.0,-1.68,-1.68,-0.58,-1.589,57.3,-0.038,57.3,100.0,,,,,0.057,0.314,9.3,-0.279,9.3,0.0,0.0,0.0,-3.317,-3.317,0.911,-2.706,100.0,0.349,100.0,100.0,100.0,100.0,,,1.0,0.0,75.6,0.664,75.6,100.0,100.0,100.0,1.661,1.661,9.943,0.845,0.0,-5.04,0.0,0.0,0.0,0.0,-3.389,-3.389,0.989,-7.362,54.7,-0.313,54.7,50.0,50.0,50.0,-0.387,-0.387,1.01,0.393,100.0,,100.0,100.0,100.0,100.0,,,,,7.0,-1.513,7.0,50.0,50.0,50.0,-0.469,-0.469,4.363,-2.409,97.7,1.791,97.7,100.0,100.0,100.0,3.085,3.085,-39.87,2.624,7.0,-1.382,7.0,25.0,25.0,25.0,-1.418,-1.418,-0.031,-1.86
BTC-USDT-SWAP-SHORT-1772588463000-6,2026-03-04,SHORT,NOISE,LOSS,-1.64,1.2555,0.3813,31.0,-0.339,31.0,20.0,,20.0,,-0.578,-0.412,-0.918,73.6,0.3,73.6,100.0,,100.0,,3.046,2.956,0.914,64.4,-0.155,64.4,40.0,,40.0,,-0.235,1.744,0.747,2.4,-1.499,2.4,0.0,,0.0,,-1.09,14.442,-4.375,94.3,0.555,94.3,100.0,,100.0,,4.523,1.069,2.0,100.0,0.346,100.0,100.0,,100.0,,,1.0,0.0,17.2,-1.013,17.2,20.0,,20.0,,-0.659,-10.975,-1.448,74.7,0.582,74.7,80.0,,80.0,,0.676,1.001,0.804,50.6,-0.374,50.6,40.0,,40.0,,-0.394,1.005,0.185,100.0,,100.0,100.0,,100.0,,,,,8.0,-1.345,8.0,60.0,,60.0,,-0.319,4.044,-2.136,96.6,1.62,96.6,80.0,,80.0,,1.54,-42.887,2.276,83.9,1.07,83.9,100.0,,100.0,,0.992,1.977,1.625
BTC-USDT-SWAP-SHORT-1772589606000-9,2026-03-04,SHORT,NOISE,LOSS,-1.64,1.2018,0.8292,1.1,-2.482,1.1,0.0,,0.0,,-4.36,-6.512,-4.884,2.2,-1.7,2.2,0.0,,0.0,,-2.167,-6.498,-3.624,74.2,-0.033,74.2,57.1,,57.1,,0.041,2.272,1.277,81.2,0.327,81.2,100.0,,100.0,,2.346,-3.172,1.416,58.4,0.218,58.4,71.4,,71.4,,0.299,1.008,0.222,100.0,0.342,100.0,100.0,,100.0,,,1.0,0.0,41.6,-0.211,41.6,57.1,,57.1,,0.16,-2.024,-0.366,2.2,-2.445,2.2,14.3,,14.3,,-0.993,0.994,-4.387,93.3,1.844,93.3,85.7,,85.7,,1.719,1.144,4.868,100.0,,100.0,100.0,,100.0,,,,,29.2,-0.455,29.2,57.1,,57.1,,0.268,1.629,-0.488,74.2,0.797,74.2,71.4,,71.4,,0.791,-21.642,1.174,79.8,0.954,79.8,57.1,,57.1,,0.753,1.825,1.515
BTC-USDT-SWAP-LONG-1772589121000-7,2026-03-04,LONG,NOISE,LOSS,-1.64,0.9507,0.6668,61.4,0.359,61.4,83.3,,83.3,,0.646,1.719,0.409,80.7,0.458,80.7,100.0,,100.0,,2.063,3.629,1.272,68.2,-0.093,68.2,50.0,,50.0,,-0.094,2.01,1.015,13.1,-0.658,13.1,75.0,,75.0,,0.586,6.278,-1.754,98.9,0.652,98.9,100.0,,100.0,,2.359,1.089,2.556,100.0,0.344,100.0,100.0,,100.0,,,1.0,0.0,73.9,0.617,73.9,83.3,,83.3,,1.316,9.188,0.774,38.6,-0.24,38.6,50.0,,50.0,,0.19,0.999,-0.584,65.9,0.236,65.9,83.3,,83.3,,0.189,1.042,1.525,100.0,,100.0,100.0,,100.0,,,,,50.0,-0.111,50.0,66.7,,66.7,,0.584,1.077,-0.058,33.0,-0.526,33.0,33.3,,33.3,,-0.033,14.367,-0.636,64.8,0.477,64.8,50.0,,50.0,,0.339,1.47,0.821
BTC-USDT-SWAP-SHORT-1772591636000-10,2026-03-04,SHORT,NOISE,LOSS,-1.64,-0.0723,1.1557,27.5,-0.441,27.5,22.2,25.0,22.2,0.116,-0.239,-0.95,-0.962,28.6,-0.408,28.6,55.6,25.0,55.6,-0.228,0.135,-0.587,-0.767,24.2,-0.519,24.2,22.2,0.0,22.2,-1.767,-0.962,0.139,-0.865,39.1,-0.242,39.1,71.4,75.0,71.4,0.479,0.677,2.239,-0.42,52.7,0.194,52.7,55.6,0.0,55.6,-1.372,0.148,1.004,0.111,100.0,0.338,100.0,100.0,100.0,100.0,,,1.0,0.0,28.6,-0.581,28.6,33.3,25.0,33.3,-0.696,-0.342,-10.865,-0.928,20.9,-0.518,20.9,44.4,25.0,44.4,0.015,0.101,0.998,-1.129,81.3,0.801,81.3,77.8,75.0,77.8,0.515,0.555,1.077,2.552,100.0,,100.0,100.0,100.0,100.0,,,,,29.7,-0.457,29.7,55.6,50.0,55.6,-0.316,0.066,1.616,-0.479,73.6,0.777,73.6,66.7,50.0,66.7,0.17,0.652,-25.289,1.14,6.6,-1.498,6.6,11.1,0.0,11.1,-4.107,-1.668,-0.11,-2.038
BTC-USDT-SWAP-LONG-1772589296000-8,2026-03-04,LONG,GOOD,WIN,1.86,0.5944,0.9913,45.6,0.069,45.6,62.5,66.7,62.5,0.717,0.337,0.747,-0.144,54.4,0.041,54.4,75.0,33.3,75.0,0.346,0.883,1.556,0.259,28.9,-0.508,28.9,25.0,0.0,25.0,-8.375,-1.042,0.204,-0.797,24.4,-0.404,24.4,66.7,66.7,66.7,0.273,0.47,3.805,-0.906,70.0,0.319,70.0,75.0,33.3,75.0,-0.819,0.615,1.027,0.778,100.0,0.34,100.0,100.0,100.0,100.0,,,1.0,0.0,44.4,-0.097,44.4,62.5,66.7,62.5,0.158,0.285,-0.984,-0.203,41.1,-0.172,41.1,62.5,66.7,62.5,0.388,0.321,0.999,-0.504,57.8,-0.23,57.8,50.0,33.3,50.0,-0.833,-0.428,1.01,0.34,100.0,,100.0,100.0,100.0,100.0,,,,,86.7,1.313,86.7,100.0,100.0,100.0,3.765,1.66,-1.535,2.11,73.3,0.765,73.3,62.5,33.3,62.5,0.168,0.696,-22.694,1.127,45.6,-0.218,45.6,25.0,0.0,25.0,-4.077,-0.424,0.899,-0.185
BTC-USDT-SWAP-LONG-1772596380000-13,2026-03-04,LONG,GOOD,WIN,1.86,1.0956,1.9391,11.8,-1.185,11.8,9.1,,14.3,,-0.926,-3.521,-2.319,49.5,-0.085,49.5,54.5,,42.9,,0.02,0.978,-0.011,36.6,-0.423,36.6,36.4,,42.9,,-0.431,0.532,-0.471,64.0,0.04,64.0,77.8,,71.4,,0.638,-0.423,0.485,15.1,-0.179,15.1,18.2,,28.6,,-1.145,0.934,-1.889,100.0,0.333,100.0,100.0,,100.0,,,1.0,0.0,53.8,0.093,53.8,72.7,,71.4,,0.504,-14.76,0.151,28.0,-0.485,28.0,45.5,,42.9,,0.302,0.999,-1.069,59.1,-0.059,59.1,54.5,,42.9,,-0.535,1.019,0.559,100.0,,100.0,100.0,,100.0,,,,,96.8,1.722,96.8,100.0,,100.0,,2.003,-2.357,2.605,87.1,1.144,87.1,81.8,,71.4,,0.517,39.5,1.607,73.1,0.743,73.1,54.5,,57.1,,0.625,1.664,1.219
BTC-USDT-SWAP-LONG-1772602176000-17,2026-03-04,LONG,GOOD,WIN,1.86,1.1996,1.5741,93.8,1.565,93.8,100.0,,100.0,,3.137,5.856,2.49,84.5,0.573,84.5,93.3,,83.3,,0.699,4.049,1.522,39.2,-0.411,39.2,46.7,,66.7,,-0.238,0.568,-0.433,69.9,0.126,69.9,76.9,,66.7,,0.153,-1.358,0.755,68.0,0.297,68.0,66.7,,66.7,,0.512,1.023,0.667,100.0,0.325,100.0,100.0,,100.0,,,1.0,0.0,100.0,2.374,100.0,100.0,,100.0,,2.723,46.967,3.594,95.9,1.582,95.9,93.3,,100.0,,5.808,1.003,2.67,54.6,-0.3,54.6,33.3,,16.7,,-0.747,1.004,0.12,100.0,,100.0,100.0,,100.0,,,,,22.7,-0.723,22.7,33.3,,16.7,,-0.733,2.104,-0.857,11.3,-1.136,11.3,13.3,,0.0,,-2.205,-16.83,-1.494,76.3,0.931,76.3,60.0,,66.7,,0.788,1.822,1.456
BTC-USDT-SWAP-SHORT-1772596014000-12,2026-03-04,SHORT,NOISE,LOSS,-1.64,-0.2382,1.9358,63.8,0.458,63.8,91.7,,100.0,,1.062,2.117,0.556,68.1,0.269,68.1,75.0,,62.5,,0.406,2.654,0.816,1.1,-1.091,1.1,0.0,,0.0,,-3.418,-2.343,-3.361,53.3,-0.028,53.3,60.0,,50.0,,0.46,0.213,0.264,23.4,-0.011,23.4,41.7,,37.5,,-0.496,0.965,-1.0,100.0,0.331,100.0,100.0,,100.0,,,1.0,0.0,6.4,-1.652,6.4,16.7,,12.5,,-1.701,-74.41,-2.555,43.6,-0.084,43.6,66.7,,75.0,,0.538,0.999,-0.365,55.3,-0.251,55.3,33.3,,25.0,,-0.765,1.006,0.187,100.0,,100.0,100.0,,100.0,,,,,85.1,1.207,85.1,83.3,,75.0,,1.097,-1.643,1.91,20.2,-0.811,20.2,16.7,,0.0,,-2.443,-16.0,-1.067,3.2,-1.81,3.2,0.0,,0.0,,-1.947,-0.36,-2.476
BTC-USDT-SWAP-SHORT-1772597735000-15,2026-03-04,SHORT,NOISE,LOSS,-1.64,0.2638,1.9227,13.7,-1.106,13.7,15.4,33.3,25.0,-1.206,-0.746,-3.268,-2.189,3.2,-1.526,3.2,7.7,0.0,12.5,-2.954,-1.837,-5.697,-3.411,30.5,-0.481,30.5,38.5,33.3,37.5,0.343,-0.34,0.225,-0.778,89.0,0.557,89.0,100.0,100.0,100.0,4.977,1.514,-5.373,2.123,82.1,0.432,82.1,84.6,100.0,75.0,6.249,0.787,1.046,1.333,100.0,0.329,100.0,100.0,100.0,100.0,,,1.0,0.0,78.9,0.965,78.9,100.0,100.0,100.0,2.381,1.861,-151.268,1.456,38.9,-0.247,38.9,46.2,33.3,37.5,-0.436,0.159,0.999,-0.656,54.7,-0.287,54.7,30.8,0.0,12.5,-1.083,-0.847,1.004,0.113,100.0,,100.0,100.0,100.0,100.0,,,,,23.2,-0.63,23.2,30.8,0.0,12.5,-6.019,-0.934,2.349,-0.891,80.0,0.897,80.0,76.9,66.7,75.0,0.797,0.51,31.429,1.199,21.1,-0.823,21.1,30.8,33.3,25.0,-0.675,-0.874,0.401,-1.073
BTC-USDT-SWAP-SHORT-1772601616000-16,2026-03-04,SHORT,NOISE,LOSS,-1.64,1.5237,1.6036,53.1,0.204,53.1,71.4,,80.0,,1.106,1.207,0.103,34.4,-0.341,34.4,50.0,,40.0,,-0.318,-0.286,-0.634,91.7,1.549,91.7,100.0,,100.0,,7.745,9.051,8.093,63.0,0.028,63.0,66.7,,40.0,,-0.267,-0.377,0.444,97.9,0.641,97.9,92.9,,100.0,,2.451,1.085,2.444,100.0,0.327,100.0,100.0,,100.0,,,1.0,0.0,60.4,0.365,60.4,71.4,,80.0,,0.911,16.323,0.503,12.5,-0.825,12.5,28.6,,0.0,,-2.276,0.998,-1.665,99.0,3.648,99.0,100.0,,100.0,,7.867,1.254,7.709,100.0,,100.0,100.0,,100.0,,,,,3.1,-1.823,3.1,14.3,,0.0,,-2.548,4.528,-2.549,100.0,2.004,100.0,100.0,,100.0,,2.227,44.092,2.68,97.9,1.567,97.9,100.0,,100.0,,1.661,2.356,2.3
BTC-USDT-SWAP-LONG-1772595707000-11,2026-03-04,LONG,GOOD,WIN,1.86,1.3386,1.8515,38.0,-0.16,38.0,60.0,,50.0,,0.262,0.012,-0.497,96.7,1.589,96.7,100.0,,100.0,,2.59,8.966,3.853,47.8,-0.324,47.8,40.0,,50.0,,0.001,0.966,-0.034,71.6,0.203,71.6,87.5,,83.3,,1.071,-1.867,1.01,12.0,-0.222,12.0,10.0,,16.7,,-1.605,0.925,-2.294,100.0,0.335,100.0,100.0,,100.0,,,1.0,0.0,1.1,-1.933,1.1,0.0,,0.0,,-3.015,-85.403,-2.928,52.2,0.178,52.2,80.0,,83.3,,0.796,1.0,0.091,75.0,0.541,75.0,70.0,,66.7,,0.3,1.059,1.833,100.0,,100.0,100.0,,100.0,,,,,81.5,0.963,81.5,90.0,,83.3,,1.513,-0.932,1.608,63.0,0.438,63.0,50.0,,16.7,,-0.546,-450.0,0.646,88.0,1.222,88.0,100.0,,100.0,,1.277,2.07,1.869
