venue,traded,hit_2,hit_2_5,hit_3,counts
OKX,187,53,36,22,"{'STRONG_2_5': 14, 'MID': 134, 'STRONG_3': 22, 'WEAK_WIN_2': 17}"
BINANCE,153,33,24,15,"{'MID': 120, 'STRONG_2_5': 9, 'STRONG_3': 15, 'WEAK_WIN_2': 9}"
