cluster_id,window_id,exchange,date,direction_candidate,ts_iso,entry_price,duplicate_cluster_size,is_primary_cluster,any_hit2,best_mfe,primary_outcome,primary_hit2,primary_hit2_5,primary_hit3,primary_loss,primary_timeout,time_to_2_min,time_to_2_5_min,time_to_3_min
W2-SHORT-4,W2,Bybit,2026-02-11,SHORT,2026-02-11T13:35:00+00:00,67294.95,1,1,0,0.62,LOSS,0,0,0,1,0,,,
W2-SHORT-5,W2,Bybit,2026-02-11,SHORT,2026-02-11T15:46:00+00:00,66576.95,2,1,0,1.05,LOSS,0,0,0,1,0,,,
W2-SHORT-6,W2,Bybit,2026-02-11,SHORT,2026-02-11T20:50:00+00:00,67533.85,1,1,0,1.091,TIMEOUT,0,0,0,0,1,,,
W2-SHORT-7,W2,Bybit,2026-02-12,SHORT,2026-02-12T00:03:00+00:00,67083.45,1,1,0,0.623,TIMEOUT,0,0,0,0,1,,,
W2-SHORT-8,W2,Bybit,2026-02-12,SHORT,2026-02-12T02:44:00+00:00,67715.45,6,1,0,1.55,TIMEOUT,0,0,0,0,1,,,
W2-SHORT-9,W2,Bybit,2026-02-12,SHORT,2026-02-12T13:19:00+00:00,67972.35,1,1,1,2.032,WIN,1,0,0,0,0,171,,
W2-SHORT-10,W2,Bybit,2026-02-12,SHORT,2026-02-12T15:32:00+00:00,67725.15,3,1,1,2.025,WIN,1,0,0,0,0,48,,
W2-SHORT-11,W2,Bybit,2026-02-12,SHORT,2026-02-12T21:06:00+00:00,65511.15,4,1,0,0.809,LOSS,0,0,0,1,0,,,
W2-SHORT-12,W2,Bybit,2026-02-13,SHORT,2026-02-13T04:20:00+00:00,66530.95,4,1,0,0.807,TIMEOUT,0,0,0,0,1,,,
W2-SHORT-13,W2,Bybit,2026-02-13,SHORT,2026-02-13T10:39:00+00:00,66923.85,4,1,0,0.634,LOSS,0,0,0,1,0,,,
W2-SHORT-14,W2,Bybit,2026-02-13,SHORT,2026-02-13T16:34:00+00:00,69144.65,9,1,0,0.778,TIMEOUT,0,0,0,0,1,,,
W2-SHORT-15,W2,Bybit,2026-02-14,SHORT,2026-02-14T03:33:00+00:00,68916.45,5,1,0,0.318,LOSS,0,0,0,1,0,,,
W2-SHORT-16,W2,Bybit,2026-02-14,SHORT,2026-02-14T09:47:00+00:00,69676.55,2,1,0,0.624,TIMEOUT,0,0,0,0,1,,,
W2-SHORT-17,W2,Bybit,2026-02-14,SHORT,2026-02-14T13:50:00+00:00,69469.25,2,1,0,0.412,TIMEOUT,0,0,0,0,1,,,
W2-SHORT-18,W2,Bybit,2026-02-14,SHORT,2026-02-14T16:51:00+00:00,69589.55,7,1,0,0.339,TIMEOUT,0,0,0,0,1,,,
W2-LONG-19,W2,Bybit,2026-02-11,LONG,2026-02-11T02:50:00+00:00,68652.95,6,1,1,2.637,LOSS,0,0,0,1,0,,,
W2-LONG-20,W2,Bybit,2026-02-11,LONG,2026-02-11T14:59:00+00:00,66546.75,2,1,1,2.114,WIN,1,0,0,0,0,385,,
W2-LONG-21,W2,Bybit,2026-02-11,LONG,2026-02-11T22:29:00+00:00,67533.45,3,1,0,1.735,TIMEOUT,0,0,0,0,1,,,
W2-LONG-22,W2,Bybit,2026-02-12,LONG,2026-02-12T02:30:00+00:00,67469.85,1,1,0,0.378,TIMEOUT,0,0,0,0,1,,,
W2-LONG-23,W2,Bybit,2026-02-12,LONG,2026-02-12T04:55:00+00:00,67068.85,1,1,0,1.698,TIMEOUT,0,0,0,0,1,,,
W2-LONG-24,W2,Bybit,2026-02-12,LONG,2026-02-12T15:06:00+00:00,67282.15,6,1,1,2.049,LOSS,0,0,0,1,0,,,
W2-LONG-25,W2,Bybit,2026-02-13,LONG,2026-02-13T00:31:00+00:00,66057.45,2,1,0,1.205,TIMEOUT,0,0,0,0,1,,,
W2-LONG-26,W2,Bybit,2026-02-13,LONG,2026-02-13T06:33:00+00:00,66037.55,1,1,1,2.109,WIN,1,0,0,0,0,418,,
W2-LONG-27,W2,Bybit,2026-02-13,LONG,2026-02-13T19:46:00+00:00,68948.35,2,1,0,0.519,TIMEOUT,0,0,0,0,1,,,
W2-LONG-28,W2,Bybit,2026-02-14,LONG,2026-02-14T12:51:00+00:00,69850.05,2,1,0,1.198,TIMEOUT,0,0,0,0,1,,,
W2-LONG-29,W2,Bybit,2026-02-14,LONG,2026-02-14T16:22:00+00:00,69367.75,1,1,0,1.207,TIMEOUT,0,0,0,0,1,,,
W3-SHORT-0,W3,Bybit,2026-01-28,SHORT,2026-01-28T00:53:00+00:00,89292.05,6,1,0,0.624,TIMEOUT,0,0,0,0,1,,,
W3-SHORT-1,W3,Bybit,2026-01-28,SHORT,2026-01-28T09:33:00+00:00,89099.35,4,1,0,1.215,TIMEOUT,0,0,0,0,1,,,
W3-SHORT-2,W3,Bybit,2026-01-28,SHORT,2026-01-28T15:47:00+00:00,89299.75,4,1,0,1.265,TIMEOUT,0,0,0,0,1,,,
W3-SHORT-3,W3,Bybit,2026-01-28,SHORT,2026-01-28T20:03:00+00:00,89450.05,4,1,0,1.948,TIMEOUT,0,0,0,0,1,,,
W3-SHORT-4,W3,Bybit,2026-01-29,SHORT,2026-01-29T03:17:00+00:00,88045.25,13,1,1,2.17,TIMEOUT,0,0,0,0,1,,,
W3-SHORT-5,W3,Bybit,2026-01-29,SHORT,2026-01-29T19:35:00+00:00,84085.95,5,1,1,2.677,WIN,1,0,0,0,0,366,,
W3-SHORT-6,W3,Bybit,2026-01-30,SHORT,2026-01-30T02:57:00+00:00,82070.25,1,1,0,0.089,TIMEOUT,0,0,0,0,1,,,
W3-SHORT-7,W3,Bybit,2026-01-30,SHORT,2026-01-30T05:10:00+00:00,82937.05,8,1,0,1.098,TIMEOUT,0,0,0,0,1,,,
W3-SHORT-8,W3,Bybit,2026-01-30,SHORT,2026-01-30T16:34:00+00:00,83032.65,4,1,0,1.63,LOSS,0,0,0,1,0,,,
W3-SHORT-9,W3,Bybit,2026-01-30,SHORT,2026-01-30T22:51:00+00:00,84086.65,7,1,0,1.772,TIMEOUT,0,0,0,0,1,,,
W3-SHORT-10,W3,Bybit,2026-01-31,SHORT,2026-01-31T08:03:00+00:00,83509.25,9,1,1,2.639,WIN,1,0,0,0,0,383,,
W3-SHORT-11,W3,Bybit,2026-01-31,SHORT,2026-01-31T19:11:00+00:00,78111.05,5,1,0,1.307,TIMEOUT,0,0,0,0,1,,,
W3-LONG-12,W3,Bybit,2026-01-28,LONG,2026-01-28T14:42:00+00:00,89695.5,2,1,0,1.518,TIMEOUT,0,0,0,0,1,,,
W3-LONG-13,W3,Bybit,2026-01-28,LONG,2026-01-28T18:54:00+00:00,89431.75,1,1,0,0.371,LOSS,0,0,0,1,0,,,
W3-LONG-14,W3,Bybit,2026-01-28,LONG,2026-01-28T21:04:00+00:00,88935.75,1,1,0,0.563,TIMEOUT,0,0,0,0,1,,,
W3-LONG-15,W3,Bybit,2026-01-29,LONG,2026-01-29T01:56:00+00:00,88541.95,2,1,0,0.201,TIMEOUT,0,0,0,0,1,,,
W3-LONG-16,W3,Bybit,2026-01-29,LONG,2026-01-29T14:55:00+00:00,87405.65,6,1,0,1.458,LOSS,0,0,0,1,0,,,
W3-LONG-17,W3,Bybit,2026-01-30,LONG,2026-01-30T00:55:00+00:00,84162.75,3,1,0,1.864,LOSS,0,0,0,1,0,,,
W3-LONG-18,W3,Bybit,2026-01-30,LONG,2026-01-30T06:30:00+00:00,82334.55,1,1,0,1.11,TIMEOUT,0,0,0,0,1,,,
W3-LONG-19,W3,Bybit,2026-01-30,LONG,2026-01-30T13:08:00+00:00,82603.15,1,1,1,2.075,WIN,1,0,0,0,0,371,,
W3-LONG-20,W3,Bybit,2026-01-30,LONG,2026-01-30T15:33:00+00:00,82628.45,2,1,1,2.044,WIN,1,0,0,0,0,226,,
W3-LONG-21,W3,Bybit,2026-01-30,LONG,2026-01-30T18:24:00+00:00,81982.05,2,1,1,2.154,WIN,1,0,0,0,0,29,,
W3-LONG-22,W3,Bybit,2026-01-31,LONG,2026-01-31T08:15:00+00:00,83172.55,1,1,0,0.115,LOSS,0,0,0,1,0,,,
W3-LONG-23,W3,Bybit,2026-01-31,LONG,2026-01-31T14:17:00+00:00,82367.55,1,1,0,0.0,LOSS,0,0,0,1,0,,,
W3-LONG-24,W3,Bybit,2026-01-31,LONG,2026-01-31T16:49:00+00:00,80410.15,4,1,1,2.022,LOSS,0,0,0,1,0,,,
