filter_id,capital_state,intended_direction,n_clusters,n_windows,windows,n_true_td_windows,hit2_rate,pf,expectancy,date_stability,exchange_stability,avg_evidence,why,decision
TD_ACTIVE_MARKDOWN_SHORT_CANDIDATE,ACTIVE_MARKDOWN,SHORT,1,1,"[""W2""]",0,0.0,,0,1.0,SINGLE(Bybit),"{""effort_vs_result"": 0.0, ""absorption_refill"": 0.0, ""initiative_control"": 0.0, ""background_alignment"": 2.0, ""not_overextended"": 1.0, ""liquidity_execution"": 3.0}",sample too small,NEED_MORE_DATA
TD_DISTRIBUTION_INTO_BOUNCE_SHORT_CANDIDATE,DISTRIBUTION_INTO_BOUNCE,SHORT,16,3,"[""W1"", ""W2"", ""W3""]",2,12.5,0.324,-0.485,0.5,SINGLE(Bybit),"{""effort_vs_result"": 1.75, ""absorption_refill"": 1.69, ""initiative_control"": 2.0, ""background_alignment"": 1.56, ""not_overextended"": 1.56, ""liquidity_execution"": 3.0}","shorting the bounce LOST (PF 0.324, hit2 12.5%)",REJECT
TD_FORCED_UNWIND_CONTINUATION_CANDIDATE,FORCED_UNWIND,SHORT,0,0,[],0,0.0,,,0.0,SINGLE(Bybit),"{""effort_vs_result"": ""N/A"", ""absorption_refill"": ""N/A"", ""initiative_control"": ""N/A"", ""background_alignment"": ""N/A"", ""not_overextended"": ""N/A"", ""liquidity_execution"": ""N/A""}",sample too small,NEED_MORE_DATA
TD_ABSORPTION_AFTER_SELL_PRESSURE_NO_SHORT_OR_REVERSAL_WATCH,ABSORPTION_AFTER_SELL_PRESSURE,NO_SHORT/LONG_WATCH,1,1,"[""W3""]",1,0.0,0.0,-1.64,1.0,SINGLE(Bybit),"{""effort_vs_result"": 3.0, ""absorption_refill"": 2.0, ""initiative_control"": 3.0, ""background_alignment"": 3.0, ""not_overextended"": 3.0, ""liquidity_execution"": 3.0}",sample too small,NEED_MORE_DATA
TD_NO_CONTROL_CHOP_NO_TRADE,NO_CONTROL_CHOP,NO_TRADE,12,3,"[""W1"", ""W2"", ""W3""]",2,33.3,4.537,0.483,0.58,SINGLE(Bybit),"{""effort_vs_result"": 0.33, ""absorption_refill"": 0.0, ""initiative_control"": 0.33, ""background_alignment"": 1.17, ""not_overextended"": 2.17, ""liquidity_execution"": 3.0}",chop-state; default veto (PF 4.537 on tiny n is noise),KEEP_AS_VETO
