window_id,exchange,ts_min,ts_iso,date,direction_candidate,entry_price,future_mfe_pct,future_mae_pct,hit2,hit2_5,hit3,loss,timeout,outcome,time_to_2_min,time_to_2_5_min,time_to_3_min,prior_move_60m,prior_move_180m,prior_move_1d,local_vol_180m,dist_from_recent_low_pct,dist_from_recent_high_pct,bounce_into_pivot_pct,spread_bps,depth_imbalance,bid_depth_top10,ask_depth_top10,update_rate
W2,Bybit,29513170,2026-02-11T06:10:00+00:00,2026-02-11,LONG,67134.85,1.257,1.159,0,0,0,0,1,TIMEOUT,,,,-0.885,-2.258,,0.087,0.094,2.808,0.683,0.015,0.1705,3.495,2.413,600.0
W2,Bybit,29513207,2026-02-11T06:47:00+00:00,2026-02-11,LONG,66773.15,2.637,0.624,1,1,0,0,0,WIN,443,443,,-0.97,-2.496,,0.086,0.024,2.838,0.544,0.017,0.0439,1.982,2.232,600.0
W2,Bybit,29513250,2026-02-11T07:30:00+00:00,2026-02-11,SHORT,66922.85,0.846,1.578,0,0,0,1,0,LOSS,,,,-0.147,-0.896,,0.083,0.575,2.293,0.49,0.015,-0.145,1.261,5.897,600.0
W2,Bybit,29513344,2026-02-11T09:04:00+00:00,2026-02-11,SHORT,66995.25,0.954,2.297,0,0,0,1,0,LOSS,,,,0.001,-0.622,,0.078,0.684,1.11,0.249,0.015,0.1231,3.008,1.31,600.0
W2,Bybit,29513489,2026-02-11T11:29:00+00:00,2026-02-11,SHORT,66959.75,0.266,1.522,0,0,0,1,0,LOSS,,,,0.181,0.11,,0.067,0.909,0.374,0.795,0.019,-0.153,2.586,3.401,600.0
W2,Bybit,29513615,2026-02-11T13:35:00+00:00,2026-02-11,SHORT,67294.95,0.62,1.842,0,0,0,1,0,LOSS,,,,0.156,1.133,,0.082,1.414,0.281,1.053,0.015,0.0661,2.725,2.015,600.0
W2,Bybit,29513699,2026-02-11T14:59:00+00:00,2026-02-11,LONG,66546.75,2.045,1.167,1,0,0,0,0,WIN,385,,,-1.302,-0.712,,0.145,0.084,2.9,2.537,0.015,-0.0542,2.007,2.32,600.0
W2,Bybit,29513746,2026-02-11T15:46:00+00:00,2026-02-11,SHORT,66576.95,1.05,1.581,0,0,0,1,0,LOSS,,,,-0.7,-0.68,,0.177,1.227,2.856,1.241,0.016,0.0547,3.695,2.502,600.0
W2,Bybit,29513806,2026-02-11T16:46:00+00:00,2026-02-11,LONG,66229.15,2.114,0.53,1,0,0,0,0,WIN,147,,,-0.522,-1.625,,0.183,0.698,3.363,1.5,0.018,0.2035,2.339,1.492,600.0
W2,Bybit,29513838,2026-02-11T17:18:00+00:00,2026-02-11,SHORT,66262.75,0.108,1.623,0,0,0,1,0,LOSS,,,,-0.932,-3.044,,0.167,0.749,3.314,0.768,0.015,-0.0221,2.903,2.019,600.0
