date,dir,true_mfe,true_mae,class,eng_ofi,reclaim,supp_taker15,regime_1d
2026-05-25,SHORT,0.861,-0.885,MID,-0.022645633674687665,0,-0.1632,RANGE
2026-05-25,LONG,0.981,-0.356,MID,-0.23468054953933934,0,0.0854,RANGE
2026-05-25,LONG,0.952,-0.385,MID,0.34723819349073226,0,0.0043,RANGE
2026-05-25,SHORT,0.746,-1.133,MID,-0.24529560191354816,0,-0.3651,RANGE
2026-05-25,LONG,0.998,-0.749,MID,0.06228708025490333,0,-0.216,RANGE
2026-05-25,LONG,0.398,-1.467,MID,-0.3580383387242172,1,-0.1091,BULL
2026-05-25,SHORT,1.45,-0.415,MID,0.015073385182218893,1,-0.3944,RANGE
2026-05-25,LONG,0.414,-1.451,MID,0.21965542722683554,0,-0.4001,RANGE
2026-05-25,LONG,0.704,-1.407,MID,0.041752063432771484,1,-0.0316,BULL
2026-05-25,LONG,0.516,-1.592,MID,0.01826068603119438,0,0.1878,BULL
2026-05-25,SHORT,0.715,-1.033,MID,0.02725973307258541,1,0.2396,RANGE
2026-05-25,SHORT,1.635,-0.472,MID,0.015778555494814193,1,-0.1454,BULL
2026-05-25,SHORT,1.439,-0.427,MID,0.029802365829835684,0,-0.3266,BULL
2026-05-26,SHORT,2.069,-1.091,WEAK_WIN_2,0.0012319638321117428,1,-0.0581,RANGE
2026-05-26,SHORT,1.867,-1.3,MID,-0.20262156944486173,1,0.1994,RANGE
2026-05-26,SHORT,1.279,-1.907,MID,-0.021360614977917868,1,0.127,RANGE
2026-05-26,SHORT,1.35,-1.833,MID,-0.1055499851358665,0,0.0482,RANGE
2026-05-26,LONG,1.682,-1.497,MID,0.15154637360040768,1,-0.1107,RANGE
2026-05-26,LONG,1.541,-1.634,MID,-0.010599796161805721,0,-0.1905,RANGE
2026-05-26,SHORT,2.099,-1.542,WEAK_WIN_2,-0.2580046551786552,1,0.0079,RANGE
2026-05-26,LONG,0.77,-2.843,MID,0.24404301498140168,0,-0.0582,RANGE
2026-05-26,SHORT,2.486,-1.14,WEAK_WIN_2,-0.23175990069830024,1,0.1054,RANGE
2026-05-26,LONG,0.793,-2.821,MID,0.0024035686844669922,1,0.0569,RANGE
2026-05-26,SHORT,2.749,-0.867,STRONG_WIN_2_5,-0.054570175421217046,1,0.009,RANGE
2026-05-26,SHORT,2.223,-1.413,WEAK_WIN_2,-0.0014231351111237062,1,-0.2712,RANGE
2026-05-26,LONG,0.474,-3.685,MID,0.15953568168841084,1,0.0935,RANGE
2026-05-26,LONG,0.005,-2.957,MID,-0.13844355987291332,0,0.1797,BEAR
2026-05-26,SHORT,2.228,-0.363,WEAK_WIN_2,-0.11466256672155556,1,-0.2443,BEAR
2026-05-26,SHORT,2.144,-0.449,WEAK_WIN_2,-0.10239766003523854,0,-0.0388,BEAR
2026-05-26,SHORT,2.2,-0.392,WEAK_WIN_2,-0.06396362690068237,0,-0.0433,BEAR
2026-05-27,LONG,0.347,-2.218,MID,-0.011457008146965087,0,-0.1739,BEAR
2026-05-27,SHORT,2.404,-0.157,WEAK_WIN_2,0.20712766676248176,0,0.165,BEAR
2026-05-27,SHORT,2.291,-0.273,WEAK_WIN_2,-0.20280873431835483,0,-0.1949,BEAR
2026-05-27,SHORT,2.18,-0.386,WEAK_WIN_2,-0.24787607004634196,1,0.1802,BEAR
2026-05-27,LONG,0.44,-2.251,MID,0.23725280410682842,0,-0.0533,BEAR
2026-05-27,SHORT,2.26,-0.431,WEAK_WIN_2,-0.23978933944217304,0,0.1886,BEAR
2026-05-27,SHORT,2.195,-0.498,WEAK_WIN_2,-0.2741598942252478,0,0.1566,BEAR
2026-05-27,LONG,0.547,-2.147,MID,0.0393796184093019,1,-0.0245,BEAR
2026-05-27,LONG,0.157,-2.404,MID,0.18389877289701093,1,-0.1635,BEAR
2026-05-27,SHORT,3.421,-0.712,STRONG_WIN_3,-0.005563133147903035,1,0.197,BEAR
2026-05-27,LONG,0.656,-3.942,MID,0.3034372161795738,1,0.2115,BEAR
2026-05-27,LONG,0.74,-3.862,MID,-0.11753927629306037,1,-0.0315,BEAR
2026-05-27,SHORT,3.459,-1.162,STRONG_WIN_3,-0.08349937302236213,1,0.0968,BEAR
2026-05-27,SHORT,3.517,-1.102,STRONG_WIN_3,-0.06652178866761324,1,0.1163,BEAR
2026-05-27,SHORT,3.813,-0.792,STRONG_WIN_3,0.09875890614300563,1,0.0521,BEAR
2026-05-27,SHORT,4.109,-0.235,STRONG_WIN_3,-0.5125750556591198,1,-0.2,BEAR
2026-05-27,SHORT,3.542,-0.169,STRONG_WIN_3,-0.3962366081238232,1,0.1726,BEAR
2026-05-27,SHORT,2.894,-0.842,STRONG_WIN_2_5,-0.05093964491311021,1,0.1357,BEAR
2026-05-27,SHORT,2.894,-0.842,STRONG_WIN_2_5,0.20080277205052663,1,0.1357,BEAR
2026-05-27,LONG,0.811,-3.089,MID,0.09608583765007285,0,-0.2565,BEAR
2026-05-27,LONG,0.316,-3.4,MID,0.2431523131818078,0,-0.0665,BEAR
2026-05-27,LONG,0.772,-3.126,MID,0.20564352410604758,0,-0.2153,BEAR
2026-05-27,SHORT,2.894,-0.842,STRONG_WIN_2_5,0.060598306604628664,0,0.1357,BEAR
2026-05-28,SHORT,2.614,-0.078,STRONG_WIN_2_5,-0.24104881139848466,0,-0.0814,BEAR
2026-05-28,SHORT,2.626,-0.066,STRONG_WIN_2_5,-0.07602475180816252,0,0.1697,BEAR
2026-05-28,SHORT,2.343,-0.098,WEAK_WIN_2,0.14820663438510503,1,-0.0089,BEAR
2026-05-28,SHORT,2.346,-0.071,WEAK_WIN_2,-0.44456357054410867,0,-0.0031,BEAR
2026-05-28,LONG,0.243,-2.179,MID,0.21516774476089193,0,-0.2406,BEAR
2026-05-28,SHORT,2.258,-0.162,WEAK_WIN_2,-0.20598973326571776,0,0.1731,BEAR
2026-05-28,LONG,0.161,-2.534,MID,0.1387292298908048,0,-0.1095,BEAR
2026-05-28,LONG,0.159,-2.535,MID,0.23138958975527985,1,-0.0632,BEAR
2026-05-28,LONG,0.059,-2.381,MID,-0.2621319914004153,1,-0.0822,BEAR
2026-05-28,LONG,0.722,-1.145,MID,0.06840848875617536,0,-0.038,BEAR
2026-05-28,SHORT,0.608,-1.268,MID,-0.2784636036164717,1,-0.2185,BEAR
2026-05-28,SHORT,0.814,-1.059,MID,0.3148663166185951,0,-0.1886,BEAR
2026-05-28,LONG,1.519,-0.362,MID,-0.09953164568073983,0,-0.1174,BEAR
2026-05-28,LONG,1.299,-0.578,MID,0.01647034963083489,1,0.0516,BEAR
2026-05-28,SHORT,0.479,-1.4,MID,0.045657787660829924,0,-0.0401,BEAR
2026-05-28,SHORT,0.459,-1.42,MID,-0.28911190801079334,1,-0.1475,BEAR
2026-05-28,SHORT,0.72,-1.154,MID,-0.47957739265703225,0,0.1035,BEAR
2026-05-28,LONG,0.584,-1.28,MID,0.24516321473420374,1,-0.1638,BEAR
2026-05-28,SHORT,1.061,-0.808,MID,-0.2055534659263827,1,0.1755,BEAR
2026-05-28,SHORT,1.17,-0.696,MID,-0.026082139379633034,0,-0.2558,BEAR
2026-05-28,SHORT,1.001,-0.868,MID,0.1685280481614032,0,-0.0888,BEAR
2026-05-28,LONG,0.764,-1.104,MID,0.40143786890099253,0,-0.3155,BEAR
2026-05-28,LONG,0.93,-0.941,MID,0.1278121513930471,1,-0.1554,BEAR
2026-05-28,SHORT,0.348,-1.533,MID,0.11721381675475742,0,0.0653,BEAR
2026-05-28,SHORT,0.352,-1.53,MID,-0.20596435726068762,0,0.0639,BEAR
2026-05-28,LONG,0.906,-0.964,MID,0.1761612125888192,1,0.1167,BEAR
2026-05-28,SHORT,0.584,-1.457,MID,-0.32584302381450087,1,0.0733,BEAR
2026-05-29,SHORT,1.818,-0.706,MID,-0.12002010617110301,0,0.0741,BEAR
2026-05-29,SHORT,1.529,-1.003,MID,-0.20593745577402958,0,-0.3479,BEAR
2026-05-29,SHORT,1.728,-0.798,MID,-0.29742596638562446,0,-0.1806,BEAR
2026-05-29,LONG,0.645,-1.877,MID,0.10098733138162293,1,0.1409,BEAR
2026-05-29,SHORT,1.294,-1.243,MID,0.15152568730018312,1,-0.0742,RANGE
2026-05-29,LONG,0.989,-1.542,MID,0.08788342805101679,1,0.186,BEAR
2026-05-29,LONG,1.213,-1.324,MID,-0.030776860254325685,1,0.2637,RANGE
2026-05-29,LONG,1.18,-1.356,MID,0.287860036816557,1,-0.2119,BEAR
2026-05-29,SHORT,1.312,-1.225,MID,0.23276037841847985,0,-0.2311,RANGE
2026-05-29,LONG,1.265,-1.273,MID,-0.16424732014213142,0,-0.1107,RANGE
2026-05-29,LONG,0.671,-1.852,MID,-0.2010787194184356,0,0.0302,RANGE
2026-05-29,SHORT,1.245,-1.294,MID,-0.31282782209375115,0,-0.227,RANGE
