metric,value
zones_total,24
zones_triggered,16
zones_reached,6
hit_rate_among_triggered,0.375
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,15533
suppressions_active_open,6695
suppressions_active_triggered,8838
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,6
unique_reached_moves,1
duplicate_move_credits,5
raw_triggered_hit_rate,0.375
unique_move_adjusted_hit_rate,0.0625
status_RESOLVED_FAILED,10
direction_SHORT,13
direction_LONG,11
status_INVALIDATED,8
status_RESOLVED_REACHED,6
