metric,value
zones_total,36
zones_triggered,25
zones_reached,6
hit_rate_among_triggered,0.24
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,11763
suppressions_active_open,8091
suppressions_active_triggered,3671
suppressions_cooldown,1
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,6
unique_reached_moves,1
duplicate_move_credits,5
raw_triggered_hit_rate,0.24
unique_move_adjusted_hit_rate,0.04
status_RESOLVED_FAILED,19
direction_SHORT,17
status_INVALIDATED,9
direction_LONG,19
status_RESOLVED_REACHED,6
status_NO_TRIGGER,2
