comparison,feature,median_pos,median_neg,cohen_d,pearson_r,best_precision,best_recall,best_threshold,direction,n_pos,n_neg,live_valid
hit2_vs_noise,dist_to_range_low_pct,0.595,0.483,0.031,0.011,0.187,0.895,0.246,>=,19,99,YES
hit2_vs_noise,dist_to_range_high_pct,0.405,0.517,-0.031,-0.011,0.187,0.895,0.754,<=,19,99,YES
hit3_vs_hit2weak,microprice_5m_bps,5.613,0.616,1.568,0.644,1.0,0.667,5.191,>=,6,10,YES
hit3_vs_hit2weak,opposing_wall_score,65.0,79,-1.269,-0.505,0.625,0.833,68,<=,6,11,YES
hit3_vs_hit2weak,prior_move_60m,-0.297,0.0463,-0.874,-0.423,1.0,0.5,-0.4111,<=,6,11,YES
hit3_vs_hit2weak,sweep_high,0.0,0,-0.866,-0.342,0.429,1.0,0,<=,6,11,YES
hit3_vs_hit2weak,thin_path_score,0.0971,0.0947,0.76,0.338,0.667,0.667,0.0966,>=,6,11,YES
hit3_vs_hit2weak,prior_move_180m,-0.2708,-0.1126,-0.753,-0.33,0.6,0.5,-0.3762,<=,6,11,YES
hit3_vs_hit2weak,prior_move_1d,0.3575,0.7257,-0.712,-0.311,0.5,0.667,0.3757,<=,6,11,YES
hit3_vs_hit2weak,wall_persistence_sec,273.5,285,-0.692,-0.312,0.6,0.5,272,<=,6,11,YES
hit3_vs_hit2weak,rejection_proof,1.0,1,0.667,0.27,0.4,1.0,1,>=,6,11,YES
hit3_vs_hit2weak,range_pos,0.338,0.595,-0.556,-0.254,0.75,0.5,0.252,<=,6,11,YES
hit3_vs_hit2weak,dist_to_range_low_pct,0.338,0.595,-0.556,-0.254,0.75,0.5,0.252,<=,6,11,YES
hit3_vs_hit2weak,dist_to_range_high_pct,0.662,0.405,0.556,0.254,0.75,0.5,0.748,>=,6,11,YES
hit3_vs_hit2weak,net_flow_5m,3604.205,2817.44,0.537,0.245,0.429,1.0,-3312.6,>=,6,11,YES
hit3_vs_hit2weak,refill_proxy_eng,0.5003,0.5017,-0.445,-0.193,0.5,0.833,0.5003,<=,6,11,YES
hit3_vs_hit2weak,taker_imb_15m,-0.1579,-0.0924,-0.413,-0.193,0.5,0.5,-0.1651,<=,6,11,YES
hit3_vs_hit2weak,entropy,0.4098,0.3277,0.315,0.152,0.667,0.667,0.4047,>=,6,11,YES
hit3_vs_hit2weak,taker_imb_5m,-0.1447,-0.1845,0.295,0.132,0.5,0.667,-0.1584,>=,6,11,YES
hit3_vs_hit2weak,reclaim_zoneMid,1.0,1,0.258,0.119,0.385,0.833,1,>=,6,11,YES
hit3_vs_hit2weak,supp_refill_ratio_5m,1.0004,1.0013,-0.248,-0.108,0.5,0.667,1.0006,<=,6,11,YES
hit3_vs_hit2weak,local_volatility_180m,0.8021,0.8199,0.247,0.123,0.429,1.0,0.7057,>=,6,11,YES
hit3_vs_hit2weak,OFI,-0.094,-0.007,-0.233,-0.104,0.5,0.5,-0.1078,<=,6,11,YES
hit3_vs_hit2weak,depth_imb_top25,0.3514,0.4829,0.151,0.072,0.444,0.667,0.4432,<=,6,11,YES
hit3_vs_hit2weak,sweep_low,0.0,0,-0.04,-0.019,0.357,0.833,0,<=,6,11,YES
hit3_vs_hit2weak,dist_to_range_mid_pct,0.251,0.233,-0.016,-0.008,0.5,0.667,0.248,>=,6,11,YES
