group,n_clusters,first_zone_winrate,best_mfe_zone_winrate,first_live_zone_winrate,earliest_safe_zone_winrate,clusters_with_any_winner,clusters_first_is_loss_but_safe_exists,avg_zones_per_cluster
strong_clusters,8,100.0,100.0,100.0,100.0,8,0,4.25
hit2_clusters,19,100.0,100.0,100.0,100.0,19,0,3.68
