rule,unique_alerts,trades,W,L,TO,winrate,pf,expectancy,hit2_5,hit3,precision,recall_strong,strong_caught,noise_caught,rejected_winners,days_active,max_loss_streak
P6_strict_5of7,24,24,7,6,11,29.17,1.227,0.1163,3,2,0.292,0.375,3,17,5,11,4
P4_absorption,33,33,9,12,12,27.27,0.967,-0.021,5,3,0.273,0.5,4,24,4,17,3
P1_edge_reclaim,34,34,8,12,14,23.53,0.781,-0.1462,4,3,0.235,0.375,3,26,5,15,3
P6_strict_4of7,75,75,16,30,29,21.33,0.674,-0.2427,8,6,0.213,0.875,7,59,1,17,6
P6_strict_3of7,105,105,21,38,46,20.0,0.712,-0.204,10,6,0.2,1.0,8,84,0,18,7
P6_strict_2of7,111,111,22,38,51,19.82,0.76,-0.1599,11,7,0.198,1.0,8,89,0,18,6
P2_sweep_reversal,23,23,4,8,11,17.39,0.545,-0.3352,1,1,0.174,0.125,1,19,7,15,4
P3_thin_path,0,0,0,0,0,0.0,,,0,0,0.0,0.0,0,0,8,0,0
P5_confluence,0,0,0,0,0,0.0,,,0,0,0.0,0.0,0,0,8,0,0
