rule,unique_alerts,W,L,TO,winrate,pf,expectancy,hit2_5,hit3,avg_time_to_2_min,max_loss_streak,days_active,caveat
T6_strict_5of7,24,7,6,11,29.17,1.227,0.1163,3,2,626.9,4,11,"IN-SAMPLE TIER-A DEMO, NOT PRODUCTION VALIDATION"
T4_absorption,33,9,12,12,27.27,0.967,-0.021,5,3,667.2,3,17,"IN-SAMPLE TIER-A DEMO, NOT PRODUCTION VALIDATION"
T1_edge_reclaim,34,8,12,14,23.53,0.781,-0.1462,4,3,706.4,3,15,"IN-SAMPLE TIER-A DEMO, NOT PRODUCTION VALIDATION"
T6_strict_4of7,75,16,30,29,21.33,0.674,-0.2427,8,6,563.1,6,17,"IN-SAMPLE TIER-A DEMO, NOT PRODUCTION VALIDATION"
T6_strict_3of7,105,21,38,46,20.0,0.712,-0.204,10,6,621.7,7,18,"IN-SAMPLE TIER-A DEMO, NOT PRODUCTION VALIDATION"
T6_strict_2of7,111,22,38,51,19.82,0.76,-0.1599,11,7,674.0,6,18,"IN-SAMPLE TIER-A DEMO, NOT PRODUCTION VALIDATION"
T2_sweep_reversal,23,4,8,11,17.39,0.545,-0.3352,1,1,534.4,4,15,"IN-SAMPLE TIER-A DEMO, NOT PRODUCTION VALIDATION"
T3_thin_path,0,0,0,0,0.0,,,0,0,,0,0,"IN-SAMPLE TIER-A DEMO, NOT PRODUCTION VALIDATION — n too small"
T5_confluence,0,0,0,0,0.0,,,0,0,,0,0,"IN-SAMPLE TIER-A DEMO, NOT PRODUCTION VALIDATION — n too small"
