metric,value
zones_total,41
zones_triggered,22
zones_reached,9
hit_rate_among_triggered,0.4090909090909091
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,11679
suppressions_active_open,9852
suppressions_active_triggered,1827
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,9
unique_reached_moves,1
duplicate_move_credits,8
raw_triggered_hit_rate,0.4090909090909091
unique_move_adjusted_hit_rate,0.045454545454545456
status_RESOLVED_REACHED,9
direction_LONG,23
status_INVALIDATED,14
direction_SHORT,18
status_RESOLVED_FAILED,13
status_EXPIRED,1
status_NO_TRIGGER,4
