metric,value
zones_total,38
zones_triggered,18
zones_reached,6
hit_rate_among_triggered,0.3333333333333333
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,8210
suppressions_active_open,5688
suppressions_active_triggered,2515
suppressions_cooldown,7
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,6
unique_reached_moves,1
duplicate_move_credits,5
raw_triggered_hit_rate,0.3333333333333333
unique_move_adjusted_hit_rate,0.05555555555555555
status_INVALIDATED,20
direction_LONG,19
status_RESOLVED_REACHED,6
direction_SHORT,19
status_RESOLVED_FAILED,12
