metric,value
zones_total,22
zones_triggered,18
zones_reached,5
hit_rate_among_triggered,0.2777777777777778
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,7608
suppressions_active_open,5844
suppressions_active_triggered,1764
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,5
unique_reached_moves,2
duplicate_move_credits,3
raw_triggered_hit_rate,0.2777777777777778
unique_move_adjusted_hit_rate,0.1111111111111111
status_INVALIDATED,4
direction_SHORT,17
status_RESOLVED_REACHED,5
direction_LONG,5
status_RESOLVED_FAILED,13
