metric,value
zones_total,57
zones_triggered,33
zones_reached,12
hit_rate_among_triggered,0.36363636363636365
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,12056
suppressions_active_open,6637
suppressions_active_triggered,5419
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,12
unique_reached_moves,1
duplicate_move_credits,11
raw_triggered_hit_rate,0.36363636363636365
unique_move_adjusted_hit_rate,0.030303030303030304
status_RESOLVED_REACHED,12
direction_SHORT,36
status_RESOLVED_FAILED,21
direction_LONG,21
status_INVALIDATED,20
status_NO_TRIGGER,4
