metric,value
zones_total,49
zones_triggered,28
zones_reached,11
hit_rate_among_triggered,0.39285714285714285
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,14511
suppressions_active_open,12111
suppressions_active_triggered,2400
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,11
unique_reached_moves,1
duplicate_move_credits,10
raw_triggered_hit_rate,0.39285714285714285
unique_move_adjusted_hit_rate,0.03571428571428571
status_RESOLVED_FAILED,17
direction_LONG,23
status_RESOLVED_REACHED,11
direction_SHORT,26
status_INVALIDATED,16
status_NO_TRIGGER,5
