metric,value
zones_total,48
zones_triggered,30
zones_reached,9
hit_rate_among_triggered,0.3
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,9263
suppressions_active_open,6261
suppressions_active_triggered,2878
suppressions_cooldown,124
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,9
unique_reached_moves,1
duplicate_move_credits,8
raw_triggered_hit_rate,0.3
unique_move_adjusted_hit_rate,0.03333333333333333
status_RESOLVED_FAILED,21
direction_SHORT,25
status_RESOLVED_REACHED,9
direction_LONG,23
status_INVALIDATED,15
status_EXPIRED,1
status_NO_TRIGGER,2
