metric,value
zones_total,41
zones_triggered,26
zones_reached,10
hit_rate_among_triggered,0.38461538461538464
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,11992
suppressions_active_open,8664
suppressions_active_triggered,3328
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,10
unique_reached_moves,2
duplicate_move_credits,8
raw_triggered_hit_rate,0.38461538461538464
unique_move_adjusted_hit_rate,0.07692307692307693
status_RESOLVED_REACHED,10
direction_LONG,24
status_INVALIDATED,12
direction_SHORT,17
status_RESOLVED_FAILED,16
status_NO_TRIGGER,3
