symbol,date,id,direction,zone_type,status,zone_start,zone_confirmed,trigger_time,resolved_time,zone_low,zone_high,trigger_price,target_price,absorption_score,liquidity_void_score,ofi_score,trigger_score,horizons,outcome_summary,time_to_target_min,mfe_pct,mae_pct,quality_flags,reasons
BTCUSDT,2026-02-01,BTCUSDT-SHORT-1769904037000-1,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T00:00:37.000Z,2026-02-01T00:18:54.000Z,2026-02-01T01:07:10.000Z,2026-02-01T15:26:10.637Z,78606.75,79375.45,78566.05,76994.729,0.6011,0.5322,-0.0289,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,859.01,3.719,0.799,,candidate@2026-02-01T00:00:37.000Z|confirmed@2026-02-01T00:18:54.000Z|trigger@2026-02-01T01:07:10.000Z|expire@2026-02-01T15:26:10.637Z
BTCUSDT,2026-02-01,BTCUSDT-SHORT-1769904101000-2,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T00:01:41.000Z,2026-02-01T00:18:54.000Z,2026-02-01T01:11:00.000Z,2026-02-01T15:26:10.677Z,78581.839425,79375.45,78538.75,76967.975,0.6011,0.5322,-0.0106,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,855.18,3.686,0.834,,candidate@2026-02-01T00:01:41.000Z|confirmed@2026-02-01T00:18:54.000Z|trigger@2026-02-01T01:11:00.000Z|expire@2026-02-01T15:26:10.677Z
BTCUSDT,2026-02-01,BTCUSDT-LONG-1769914832000-7,LONG,ACCUMULATION,RESOLVED_FAILED,2026-02-01T03:00:32.000Z,2026-02-01T03:14:14.000Z,2026-02-01T04:17:40.000Z,2026-02-02T04:17:40.000Z,78703.45,78969.515025,79054.45,80635.539,0.6077,0.3000,-0.1039,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.177,4.314,,candidate@2026-02-01T03:00:32.000Z|confirmed@2026-02-01T03:14:14.000Z|trigger@2026-02-01T04:17:40.000Z|expire@2026-02-02T04:17:40.000Z
BTCUSDT,2026-02-01,BTCUSDT-SHORT-1769911034000-5,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T01:57:14.000Z,2026-02-01T02:26:02.000Z,2026-02-01T06:48:08.000Z,2026-02-01T20:28:31.921Z,78343.25,78871.75,78273.45,76707.981,0.6010,0.4738,0.0834,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,820.40,3.359,1.176,,candidate@2026-02-01T01:57:14.000Z|confirmed@2026-02-01T02:26:02.000Z|trigger@2026-02-01T06:48:08.000Z|expire@2026-02-01T20:28:31.921Z
BTCUSDT,2026-02-01,BTCUSDT-LONG-1769908353000-3,LONG,ACCUMULATION,INVALIDATED,2026-02-01T01:12:33.000Z,2026-02-01T01:15:55.000Z,,2026-02-01T07:04:52.000Z,78512.55,78683.45,,,0.6151,0.2618,0.0536,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,candidate@2026-02-01T01:12:33.000Z|confirmed@2026-02-01T01:15:55.000Z|invalidate@2026-02-01T07:04:52.000Z
BTCUSDT,2026-02-01,BTCUSDT-LONG-1769908383000-4,LONG,ACCUMULATION,INVALIDATED,2026-02-01T01:13:03.000Z,2026-02-01T01:16:03.000Z,,2026-02-01T07:04:52.000Z,78512.55,78683.45,,,0.6129,0.2656,-0.0111,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,candidate@2026-02-01T01:13:03.000Z|confirmed@2026-02-01T01:16:03.000Z|invalidate@2026-02-01T07:04:52.000Z
BTCUSDT,2026-02-01,BTCUSDT-SHORT-1769929081000-9,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T06:58:01.000Z,2026-02-01T07:01:01.000Z,2026-02-01T07:04:55.000Z,2026-02-01T20:28:41.239Z,78247.506675,78325.79332499999,78109.65,76547.457,0.6866,0.5123,0.0096,0.9670,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,803.77,3.157,1.388,,candidate@2026-02-01T06:58:01.000Z|confirmed@2026-02-01T07:01:01.000Z|trigger@2026-02-01T07:04:55.000Z|expire@2026-02-01T20:28:41.239Z
BTCUSDT,2026-02-01,BTCUSDT-LONG-1769912244000-6,LONG,ACCUMULATION,INVALIDATED,2026-02-01T02:17:24.000Z,2026-02-01T03:00:32.000Z,,2026-02-01T07:06:18.000Z,78474.45,79020.45,,,0.6514,0.4383,-0.0291,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,candidate@2026-02-01T02:17:24.000Z|confirmed@2026-02-01T03:00:32.000Z|invalidate@2026-02-01T07:06:18.000Z
BTCUSDT,2026-02-01,BTCUSDT-LONG-1769932865000-12,LONG,ACCUMULATION,RESOLVED_FAILED,2026-02-01T08:01:05.000Z,2026-02-01T08:21:22.000Z,2026-02-01T08:38:17.000Z,2026-02-02T08:38:17.000Z,78229.15,78500.35,78767.45,80342.799,0.6341,0.2426,0.0653,0.9702,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.542,3.965,,candidate@2026-02-01T08:01:05.000Z|confirmed@2026-02-01T08:21:22.000Z|trigger@2026-02-01T08:38:17.000Z|expire@2026-02-02T08:38:17.000Z
BTCUSDT,2026-02-01,BTCUSDT-LONG-1769941358000-13,LONG,ACCUMULATION,INVALIDATED,2026-02-01T10:22:38.000Z,2026-02-01T10:45:44.000Z,,2026-02-01T14:28:03.000Z,78285.05,79043.35,,,0.6994,0.3529,-0.1235,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,candidate@2026-02-01T10:22:38.000Z|confirmed@2026-02-01T10:45:44.000Z|invalidate@2026-02-01T14:28:03.000Z
