metric,value
zones_total,30
zones_triggered,21
zones_reached,5
hit_rate_among_triggered,0.23809523809523808
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,11467
suppressions_active_open,6408
suppressions_active_triggered,5059
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,5
unique_reached_moves,1
duplicate_move_credits,4
raw_triggered_hit_rate,0.23809523809523808
unique_move_adjusted_hit_rate,0.047619047619047616
status_RESOLVED_FAILED,16
direction_SHORT,17
status_RESOLVED_REACHED,5
direction_LONG,13
status_INVALIDATED,9
