venue,updates_per_sec_med,unique_levels_med,top1_raw,top1_btc,top1_usd,addv_btc_med,canv_btc_med
OKX,64.0,6156.0,1689.805,16.8981,1262676.0004,504293.8865,502762.1735
BINANCE,10.0,48658.5,12.767,12.767,991280.3096,1348844.511,1328580.7185
