date,venue,crossed_pct,median_spread_bps,updates_per_s,top1_btc,top1_usd,top20_usd
2026-05-23,okx,0.0,0.0133,1222.4,9.0187,680007.0,1708203.0
2026-05-23,binance,0.0,0.0133,1605.2,7.7748,586245.0,1445414.0
2026-05-26,okx,0.0,0.013,1158.0,9.0162,695069.0,1720677.0
2026-05-26,binance,0.0,0.013,1340.1,9.502,732529.0,1737346.0
2026-05-29,okx,0.0,0.0136,800.8,7.839,578058.0,1540042.0
2026-05-29,binance,0.0,0.0136,1043.8,5.2755,389051.0,1000153.0
