metric,value
zones_total,36
zones_triggered,16
zones_reached,8
hit_rate_among_triggered,0.5
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,14315
suppressions_active_open,9769
suppressions_active_triggered,4546
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,8
unique_reached_moves,1
duplicate_move_credits,7
raw_triggered_hit_rate,0.5
unique_move_adjusted_hit_rate,0.0625
status_RESOLVED_REACHED,8
direction_LONG,17
status_RESOLVED_FAILED,8
direction_SHORT,19
status_INVALIDATED,17
status_NO_TRIGGER,3
