metric,value
zones_total,46
zones_triggered,26
zones_reached,12
hit_rate_among_triggered,0.46153846153846156
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,10192
suppressions_active_open,6433
suppressions_active_triggered,3687
suppressions_cooldown,72
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,12
unique_reached_moves,2
duplicate_move_credits,10
raw_triggered_hit_rate,0.46153846153846156
unique_move_adjusted_hit_rate,0.07692307692307693
status_RESOLVED_REACHED,12
direction_SHORT,23
status_RESOLVED_FAILED,14
direction_LONG,23
status_INVALIDATED,18
status_EXPIRED,1
status_NO_TRIGGER,1
