metric,value
zones_total,32
zones_triggered,23
zones_reached,8
hit_rate_among_triggered,0.34782608695652173
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,10751
suppressions_active_open,6256
suppressions_active_triggered,4495
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,8
unique_reached_moves,1
duplicate_move_credits,7
raw_triggered_hit_rate,0.34782608695652173
unique_move_adjusted_hit_rate,0.043478260869565216
status_INVALIDATED,7
direction_LONG,21
status_RESOLVED_FAILED,15
direction_SHORT,11
status_RESOLVED_REACHED,8
status_NO_TRIGGER,2
