metric,value
zones_total,28
zones_triggered,17
zones_reached,7
hit_rate_among_triggered,0.4117647058823529
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,9469
suppressions_active_open,5052
suppressions_active_triggered,4415
suppressions_cooldown,2
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,7
unique_reached_moves,1
duplicate_move_credits,6
raw_triggered_hit_rate,0.4117647058823529
unique_move_adjusted_hit_rate,0.058823529411764705
status_RESOLVED_REACHED,7
direction_SHORT,14
status_INVALIDATED,11
status_RESOLVED_FAILED,10
direction_LONG,14
