metric,value
zones_total,38
zones_triggered,23
zones_reached,5
hit_rate_among_triggered,0.21739130434782608
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,14990
suppressions_active_open,7285
suppressions_cooldown,4
suppressions_active_triggered,7701
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,5
unique_reached_moves,2
duplicate_move_credits,3
raw_triggered_hit_rate,0.21739130434782608
unique_move_adjusted_hit_rate,0.08695652173913043
status_RESOLVED_REACHED,5
direction_LONG,22
status_RESOLVED_FAILED,18
status_INVALIDATED,12
direction_SHORT,16
status_NO_TRIGGER,3
