symbol,date,id,direction,zone_type,status,zone_start,zone_confirmed,trigger_time,resolved_time,zone_low,zone_high,trigger_price,target_price,absorption_score,liquidity_void_score,ofi_score,trigger_score,horizons,outcome_summary,time_to_target_min,mfe_pct,mae_pct,quality_flags,reasons
BTCUSDT,2026-02-01,BTCUSDT-SHORT-1769904037000-1,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T00:00:37.000Z,2026-02-01T00:18:54.000Z,2026-02-01T01:07:10.000Z,2026-02-01T15:26:10.637Z,78606.75,79375.45,78566.05,76994.729,0.6011,0.5322,-0.0289,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,859.01,3.719,0.799,,candidate@2026-02-01T00:00:37.000Z|confirmed@2026-02-01T00:18:54.000Z|trigger@2026-02-01T01:07:10.000Z|expire@2026-02-01T15:26:10.637Z
BTCUSDT,2026-02-01,BTCUSDT-SHORT-1769911034000-3,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T01:57:14.000Z,2026-02-01T02:26:02.000Z,2026-02-01T06:48:08.000Z,2026-02-01T20:28:31.921Z,78343.25,78871.75,78273.45,76707.981,0.6010,0.4738,0.0834,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,820.40,3.359,1.176,,candidate@2026-02-01T01:57:14.000Z|confirmed@2026-02-01T02:26:02.000Z|trigger@2026-02-01T06:48:08.000Z|expire@2026-02-01T20:28:31.921Z
BTCUSDT,2026-02-01,BTCUSDT-LONG-1769908353000-2,LONG,ACCUMULATION,INVALIDATED,2026-02-01T01:12:33.000Z,2026-02-01T01:15:55.000Z,,2026-02-01T07:04:52.000Z,78512.55,78683.45,,,0.6151,0.2618,0.0536,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,candidate@2026-02-01T01:12:33.000Z|confirmed@2026-02-01T01:15:55.000Z|invalidate@2026-02-01T07:04:52.000Z
BTCUSDT,2026-02-01,BTCUSDT-SHORT-1769929070000-4,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T06:57:50.000Z,2026-02-01T07:00:50.000Z,2026-02-01T07:04:52.000Z,2026-02-01T21:09:27.819Z,78262.95,78366.913875,78082.25,76520.605,0.7088,0.5042,0.0023,0.9748,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,844.60,3.123,1.424,,candidate@2026-02-01T06:57:50.000Z|confirmed@2026-02-01T07:00:50.000Z|trigger@2026-02-01T07:04:52.000Z|expire@2026-02-01T21:09:27.819Z
BTCUSDT,2026-02-01,BTCUSDT-SHORT-1769931922000-6,SHORT,DISTRIBUTION,INVALIDATED,2026-02-01T07:45:22.000Z,2026-02-01T07:55:37.000Z,,2026-02-01T09:58:07.000Z,78373.65,78547.65,,,0.6045,0.4120,-0.0415,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,candidate@2026-02-01T07:45:22.000Z|confirmed@2026-02-01T07:55:37.000Z|invalidate@2026-02-01T09:58:07.000Z
BTCUSDT,2026-02-01,BTCUSDT-SHORT-1769940184000-7,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T10:03:04.000Z,2026-02-01T10:16:44.000Z,2026-02-01T10:36:21.000Z,2026-02-01T15:27:02.143Z,78840.65,79193.85,78500.35,76930.34300000001,0.6006,0.5262,-0.1558,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:reached|24h:reached,290.69,3.639,0.431,,candidate@2026-02-01T10:03:04.000Z|confirmed@2026-02-01T10:16:44.000Z|trigger@2026-02-01T10:36:21.000Z|expire@2026-02-01T15:27:02.143Z
BTCUSDT,2026-02-01,BTCUSDT-SHORT-1769942488000-8,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T10:41:28.000Z,2026-02-01T11:12:01.000Z,2026-02-01T14:28:51.000Z,2026-02-01T23:06:38.230Z,78099.85,78482.55,77816.25,76259.925,0.6022,0.4522,-0.0042,0.9667,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:reached,517.79,2.792,0.879,,candidate@2026-02-01T10:41:28.000Z|confirmed@2026-02-01T11:12:01.000Z|trigger@2026-02-01T14:28:51.000Z|expire@2026-02-01T23:06:38.230Z
BTCUSDT,2026-02-01,BTCUSDT-LONG-1769929781000-5,LONG,ACCUMULATION,INVALIDATED,2026-02-01T07:09:41.000Z,2026-02-01T07:12:41.000Z,,2026-02-01T14:31:19.000Z,78158.251325,78327.95,,,0.6146,0.4758,-0.0114,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,candidate@2026-02-01T07:09:41.000Z|confirmed@2026-02-01T07:12:41.000Z|invalidate@2026-02-01T14:31:19.000Z
BTCUSDT,2026-02-01,BTCUSDT-SHORT-1769958085000-9,SHORT,DISTRIBUTION,RESOLVED_REACHED,2026-02-01T15:01:25.000Z,2026-02-01T15:09:06.000Z,2026-02-01T15:17:03.000Z,2026-02-01T23:09:32.974Z,77841.65,78241.251075,77288.35,75742.583,0.6040,0.4814,0.0802,0.9735,4h|8h|24h,4h:failed_by_timeout|8h:reached|24h:reached,472.50,2.128,1.466,,candidate@2026-02-01T15:01:25.000Z|confirmed@2026-02-01T15:09:06.000Z|trigger@2026-02-01T15:17:03.000Z|expire@2026-02-01T23:09:32.974Z
BTCUSDT,2026-02-01,BTCUSDT-SHORT-1769962684000-11,SHORT,DISTRIBUTION,INVALIDATED,2026-02-01T16:18:04.000Z,2026-02-01T17:03:12.000Z,,2026-02-01T18:08:40.000Z,77100.65,77810.85,,,0.6141,0.2440,-0.0047,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,candidate@2026-02-01T16:18:04.000Z|confirmed@2026-02-01T17:03:12.000Z|invalidate@2026-02-01T18:08:40.000Z
