symbol,date,id,direction,zone_type,status,zone_start,zone_confirmed,trigger_time,resolved_time,zone_low,zone_high,trigger_price,target_price,absorption_score,liquidity_void_score,ofi_score,trigger_score,horizons,outcome_summary,time_to_target_min,mfe_pct,mae_pct,quality_flags,reasons
BTCUSDT,2026-01-01,BTCUSDT-LONG-1767289745000-13,LONG,ACCUMULATION,RESOLVED_FAILED,2026-01-01T17:49:05.000Z,2026-01-01T18:00:37.000Z,2026-01-01T22:08:35.000Z,2026-01-02T22:08:35.000Z,88250.35,88420.85,88541.15,90311.973,0.6085,0.0785,-0.0402,0.9914,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.384,0.185,,candidate@2026-01-01T17:49:05.000Z|confirmed@2026-01-01T18:00:37.000Z|trigger@2026-01-01T22:08:35.000Z|expire@2026-01-02T22:08:35.000Z
BTCUSDT,2026-01-01,BTCUSDT-SHORT-1767292821000-16,SHORT,DISTRIBUTION,INVALIDATED,2026-01-01T18:40:21.000Z,2026-01-01T19:32:47.000Z,,2026-01-01T22:54:31.000Z,88037.15,88186.65,,,0.6005,0.2000,-0.0341,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,candidate@2026-01-01T18:40:21.000Z|confirmed@2026-01-01T19:32:47.000Z|invalidate@2026-01-01T22:54:31.000Z
BTCUSDT,2026-01-01,BTCUSDT-SHORT-1767291126000-15,SHORT,DISTRIBUTION,INVALIDATED,2026-01-01T18:12:06.000Z,2026-01-01T18:40:21.000Z,,2026-01-01T23:00:19.000Z,88066.65,88228.842375,,,0.6678,0.1973,-0.0496,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,candidate@2026-01-01T18:12:06.000Z|confirmed@2026-01-01T18:40:21.000Z|invalidate@2026-01-01T23:00:19.000Z
BTCUSDT,2026-01-01,BTCUSDT-LONG-1767310213000-21,LONG,ACCUMULATION,RESOLVED_FAILED,2026-01-01T23:30:13.000Z,2026-01-01T23:37:55.000Z,2026-01-01T23:44:36.000Z,2026-01-02T23:44:36.000Z,88681.886875,88785.95,88832.45,90609.099,0.6103,0.2692,-0.1949,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,0.055,0.137,,candidate@2026-01-01T23:30:13.000Z|confirmed@2026-01-01T23:37:55.000Z|trigger@2026-01-01T23:44:36.000Z|expire@2026-01-02T23:44:36.000Z
BTCUSDT,2026-01-01,BTCUSDT-LONG-1767289135000-11,LONG,ACCUMULATION,NO_TRIGGER,2026-01-01T17:38:55.000Z,2026-01-01T17:49:05.000Z,,,88037.15,88881.35,,,0.6557,0.0210,-0.0621,,4h|8h|24h,4h:no_trigger|8h:no_trigger|24h:no_trigger,,,,,candidate@2026-01-01T17:38:55.000Z|confirmed@2026-01-01T17:49:05.000Z|expire@2026-01-01T23:59:59.991Z
BTCUSDT,2026-01-01,BTCUSDT-SHORT-1767306634000-18,SHORT,DISTRIBUTION,NO_TRIGGER,2026-01-01T22:30:34.000Z,2026-01-01T22:59:27.000Z,,,88382.35,88881.35,,,0.6258,0.2354,-0.1170,,4h|8h|24h,4h:no_trigger|8h:no_trigger|24h:no_trigger,,,,,candidate@2026-01-01T22:30:34.000Z|confirmed@2026-01-01T22:59:27.000Z|expire@2026-01-01T23:59:59.991Z
BTCUSDT,2026-01-01,BTCUSDT-SHORT-1767308367000-19,SHORT,DISTRIBUTION,NO_TRIGGER,2026-01-01T22:59:27.000Z,2026-01-01T23:48:18.000Z,,,88433.25,88881.35,,,0.6415,0.3931,-0.2123,,4h|8h|24h,4h:no_trigger|8h:no_trigger|24h:no_trigger,,,,,candidate@2026-01-01T22:59:27.000Z|confirmed@2026-01-01T23:48:18.000Z|expire@2026-01-01T23:59:59.991Z
BTCUSDT,2026-01-01,BTCUSDT-LONG-1767308858000-20,LONG,ACCUMULATION,NO_TRIGGER,2026-01-01T23:07:38.000Z,2026-01-01T23:11:20.000Z,,,88505.675025,88881.35,,,0.6002,0.0000,-0.0633,,4h|8h|24h,4h:no_trigger|8h:no_trigger|24h:no_trigger,,,,,candidate@2026-01-01T23:07:38.000Z|confirmed@2026-01-01T23:11:20.000Z|expire@2026-01-01T23:59:59.991Z
BTCUSDT,2026-01-01,BTCUSDT-SHORT-1767311298000-22,SHORT,DISTRIBUTION,NO_TRIGGER,2026-01-01T23:48:18.000Z,,,,88710.85,88832.55,,,0.6415,0.3931,-0.2202,,4h|8h|24h,4h:no_trigger|8h:no_trigger|24h:no_trigger,,,,,candidate@2026-01-01T23:48:18.000Z|expire@2026-01-01T23:59:59.991Z
BTCUSDT,2026-01-01,BTCUSDT-LONG-1767311583000-23,LONG,ACCUMULATION,NO_TRIGGER,2026-01-01T23:53:03.000Z,2026-01-01T23:56:03.000Z,,,88769.64297500001,88858.457025,,,0.6651,0.2445,-0.1826,,4h|8h|24h,4h:no_trigger|8h:no_trigger|24h:no_trigger,,,,,candidate@2026-01-01T23:53:03.000Z|confirmed@2026-01-01T23:56:03.000Z|expire@2026-01-01T23:59:59.991Z
