metric,value
zones_total,34
zones_triggered,21
zones_reached,8
hit_rate_among_triggered,0.38095238095238093
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,13680
suppressions_active_open,6337
suppressions_active_triggered,7343
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,8
unique_reached_moves,1
duplicate_move_credits,7
raw_triggered_hit_rate,0.38095238095238093
unique_move_adjusted_hit_rate,0.047619047619047616
status_RESOLVED_REACHED,8
direction_SHORT,21
status_RESOLVED_FAILED,13
direction_LONG,13
status_INVALIDATED,8
status_NO_TRIGGER,5
