metric,value
zones_total,43
zones_triggered,23
zones_reached,13
hit_rate_among_triggered,0.5652173913043478
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,15210
suppressions_active_open,10857
suppressions_active_triggered,4353
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,13
unique_reached_moves,1
duplicate_move_credits,12
raw_triggered_hit_rate,0.5652173913043478
unique_move_adjusted_hit_rate,0.043478260869565216
status_RESOLVED_REACHED,13
direction_LONG,21
status_INVALIDATED,17
direction_SHORT,22
status_RESOLVED_FAILED,10
status_NO_TRIGGER,3
