zone_id,direction,state,createdTs,confirmedTs,triggerTs,resolvedTs,priceLow,priceHigh,triggerPrice,reachedTs,mfePct,maePct,timeToTargetMs,reachedHorizon,suppressionReason,uniqueMoveId,isPrimaryMoveZone,duplicateMoveCredit
,SHORT,,,1774570817000,1774571847000,1774607849168,,,68592.15,,,,,,,1,true,false
,LONG,,,1774571673000,1774574744000,1774661144000,,,68921.95,,,,,,,,,
,LONG,,,1774571281000,1774576710000,1774663110000,,,68995.15,,,,,,,,,
,SHORT,,,1774578885000,1774579496000,1774607824850,,,68866.95,,,,,,,1,false,true
,SHORT,,,1774577719000,1774580848000,1774607848327,,,68709.95,,,,,,,1,false,true
,LONG,,,1774577090000,,1774580928000,,,,,,,,,,,,
,SHORT,,,1774574137000,1774584058000,1774607849167,,,68638.95,,,,,,,1,false,true
,LONG,,,1774578324000,,1774584074000,,,,,,,,,,,,
,SHORT,,,1774573301000,1774584088000,1774607919174,,,68453.4,,,,,,,1,false,true
,LONG,,,1774587316000,1774588153000,1774674553000,,,68659.95,,,,,,,,,
,LONG,,,1774585702000,1774588339000,1774674739000,,,68694.35,,,,,,,,,
,LONG,,,1774594599000,1774595519000,1774681919000,,,68764.55,,,,,,,,,
,SHORT,,,1774586360000,1774599460000,1774607919199,,,68402.95,,,,,,,1,false,true
,SHORT,,,1774599172000,1774600548000,1774608921524,,,67869.55,,,,,,,1,false,true
,SHORT,,,1774600974000,1774607844000,1774619801404,,,67407.45,,,,,,,1,false,true
,SHORT,,,1774600974000,1774607846000,1774619801407,,,67399.95,,,,,,,1,false,true
,LONG,,,1774601403000,,1774607918000,,,,,,,,,,,,
,LONG,,,1774610734000,,1774618589000,,,,,,,,,,,,
,LONG,,,1774613186000,,1774618589000,,,,,,,,,,,,
,LONG,,,1774610486000,,1774621345000,,,,,,,,,,,,
,LONG,,,1774621123000,,1774621689000,,,,,,,,,,,,
,LONG,,,1774624122000,1774625032000,1774711432000,,,66407.25,,,,,,,,,
,LONG,,,1774626678000,,1774627298000,,,,,,,,,,,,
,LONG,,,1774626678000,,1774627303000,,,,,,,,,,,,
,LONG,,,1774628883000,1774631229000,1774717629000,,,66237.35,,,,,,,,,
,LONG,,,1774628883000,1774631233000,1774717633000,,,66247.25,,,,,,,,,
,SHORT,,,1774622317000,1774633496000,1774719896000,,,65590.75,,,,,,,,,
,SHORT,,,1774635128000,1774635264000,1774721664000,,,65569.05,,,,,,,,,
,LONG,,,1774636435000,1774641505000,1774727905000,,,65995.05,,,,,,,,,
,SHORT,,,1774637111000,,1774653886000,,,,,,,,,,,,
,SHORT,,,1774609239000,,,,,,,,,,,,,,
,LONG,,,1774633969000,,,,,,,,,,,,,,
,LONG,,,1774655409000,,,,,,,,,,,,,,
