zone_id,direction,state,createdTs,confirmedTs,triggerTs,resolvedTs,priceLow,priceHigh,triggerPrice,reachedTs,mfePct,maePct,timeToTargetMs,reachedHorizon,suppressionReason,uniqueMoveId,isPrimaryMoveZone,duplicateMoveCredit
,LONG,,,1774657217000,1774657872000,1774744272000,,,66398.55,,,,,,,,,
,SHORT,,,1774658441000,1774660308000,1774746708000,,,66159.85,,,,,,,,,
,SHORT,,,1774658441000,1774660411000,1774746811000,,,66081.85,,,,,,,,,
,SHORT,,,1774662867000,1774664346000,1774750746000,,,66018.35,,,,,,,,,
,LONG,,,1774659961000,,1774665031000,,,,,,,,,,,,
,LONG,,,1774665331000,1774669202000,1774755602000,,,66141.45,,,,,,,,,
,LONG,,,1774662452000,1774675466000,1774761866000,,,66353.15,,,,,,,,,
,SHORT,,,1774667677000,,1774678713000,,,,,,,,,,,,
,LONG,,,1774679945000,1774684523000,1774770923000,,,66482.25,,,,,,,,,
,LONG,,,1774661063000,1774684804000,1774771204000,,,66534.35,,,,,,,,,
,SHORT,,,1774686784000,1774688634000,1774775034000,,,66316.75,,,,,,,,,
,LONG,,,1774690967000,1774692390000,1774778790000,,,66363.05,,,,,,,,,
,SHORT,,,1774673389000,1774693630000,1774780030000,,,66145.55,,,,,,,,,
,LONG,,,1774685686000,,1774693803000,,,,,,,,,,,,
,LONG,,,1774661063000,1774704736000,1774791136000,,,66605.05,,,,,,,,,
,SHORT,,,1774665979000,,1774704736000,,,,,,,,,,,,
,LONG,,,1774706649000,1774711025000,1774797425000,,,67003.25,,,,,,,,,
,LONG,,,1774706432000,1774711143000,1774797543000,,,67016.85,,,,,,,,,
,LONG,,,1774713320000,,1774734808000,,,,,,,,,,,,
,LONG,,,1774716654000,,1774739426000,,,,,,,,,,,,
,SHORT,,,1774706991000,1774739476000,1774825876000,,,66378.05,,,,,,,,,
,LONG,,,1774736087000,,,,,,,,,,,,,,
,LONG,,,1774737283000,,,,,,,,,,,,,,
