metric,value
zones_total,45
zones_triggered,24
zones_reached,3
hit_rate_among_triggered,0.125
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,11140
suppressions_active_open,9130
suppressions_active_triggered,1822
suppressions_cooldown,188
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,3
unique_reached_moves,1
duplicate_move_credits,2
raw_triggered_hit_rate,0.125
unique_move_adjusted_hit_rate,0.041666666666666664
status_INVALIDATED,15
direction_LONG,25
status_RESOLVED_FAILED,21
direction_SHORT,20
status_RESOLVED_REACHED,3
status_EXPIRED,1
status_NO_TRIGGER,5
