metric,value
zones_total,42
zones_triggered,20
zones_reached,11
hit_rate_among_triggered,0.55
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,10829
suppressions_active_open,8337
suppressions_active_triggered,2478
suppressions_cooldown,14
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,11
unique_reached_moves,1
duplicate_move_credits,10
raw_triggered_hit_rate,0.55
unique_move_adjusted_hit_rate,0.05
status_RESOLVED_REACHED,11
direction_SHORT,21
status_INVALIDATED,20
direction_LONG,21
status_RESOLVED_FAILED,9
status_NO_TRIGGER,2
