metric,value
zones_total,38
zones_triggered,22
zones_reached,14
hit_rate_among_triggered,0.6363636363636364
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,13178
suppressions_active_open,11195
suppressions_active_triggered,1983
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,14
unique_reached_moves,1
duplicate_move_credits,13
raw_triggered_hit_rate,0.6363636363636364
unique_move_adjusted_hit_rate,0.045454545454545456
status_RESOLVED_REACHED,14
direction_SHORT,24
status_INVALIDATED,15
direction_LONG,14
status_RESOLVED_FAILED,8
status_NO_TRIGGER,1
