window_id,intended_regime,source,dates,net_pct,median_daily_range_pct,rv_hourly_proxy_pct,max_down_leg_pct,max_bounce_pct,regime_label_auto,agrees
DOWN_NOV,TREND_DOWN,v2okx:W1_NOVEMBER,2025-11-19..2025-11-22,-8.82,6.21,0.764,-13.45,15.54,TREND_DOWN,True
DOWN_JAN,TREND_DOWN,v2okx:W3_JANUARY,2026-01-28..2026-01-31,-11.79,5.52,0.741,-16.43,19.67,TREND_DOWN,True
DOWN_APR,TREND_DOWN,v2okx:W4_APRIL,2024-04-12..2024-04-17,-12.46,7.26,0.927,-16.23,19.37,TREND_DOWN,True
DOWN_0327,TREND_DOWN,okxhist,2026-03-27..2026-03-30,-2.86,3.49,0.447,-6.12,6.52,TREND_DOWN,True
UP_0310,TREND_UP,okxhist,2026-03-10..2026-03-16,9.43,3.37,0.545,-8.72,9.55,TREND_UP,True
RANGE_0508,RANGE_CHOP,okxhist,2026-05-08..2026-05-11,1.98,1.75,0.301,-4.06,4.23,RANGE_CHOP,True
RANGE_0303,RANGE_CHOP,okxhist,2026-03-03..2026-03-06,-1.04,4.91,0.688,-10.75,12.04,RANGE_CHOP,True
BOUNCE_0512,REVERSAL_BOUNCE,okxhist,2026-05-12..2026-05-15,-2.77,3.23,0.34,-4.28,4.47,TREND_DOWN,True
