variant,window_id,regime,n,pf,total_pnl,winrate
8B+GATE_6E,DOWN_0327,TREND_DOWN,18,0.847,-1.37,16.7
8B+GATE_6E,UP_0310,TREND_UP,18,0.062,-11.28,0.0
8B+GATE_6E,RANGE_0508,RANGE_CHOP,4,0.0,-2.97,0.0
8B+GATE_6E,RANGE_0303,RANGE_CHOP,15,0.948,-0.43,26.7
8B+GATE_6E,BOUNCE_0512,REVERSAL_BOUNCE,11,4.275,5.96,27.3
8C+GATE_6A,DOWN_NOV,TREND_DOWN,77,1.71,29.44,46.8
8C+GATE_6A,DOWN_JAN,TREND_DOWN,119,5.307,113.55,50.4
8C+GATE_6A,DOWN_APR,TREND_DOWN,151,2.485,113.65,65.6
8C+GATE_6A,DOWN_0327,TREND_DOWN,95,1.752,21.5,18.9
8C+GATE_6A,UP_0310,TREND_UP,129,0.264,-58.23,0.0
8C+GATE_6A,RANGE_0508,RANGE_CHOP,50,0.0,-33.57,0.0
8C+GATE_6A,RANGE_0303,RANGE_CHOP,72,0.632,-17.79,18.1
8C+GATE_6A,BOUNCE_0512,REVERSAL_BOUNCE,135,1.99,35.76,11.9
8C+GATE_6E,DOWN_NOV,TREND_DOWN,27,1.195,3.69,44.4
8C+GATE_6E,DOWN_JAN,TREND_DOWN,57,7.18,60.23,54.4
8C+GATE_6E,DOWN_APR,TREND_DOWN,54,3.946,57.99,75.9
8C+GATE_6E,DOWN_0327,TREND_DOWN,32,1.533,7.42,21.9
8C+GATE_6E,UP_0310,TREND_UP,61,0.196,-35.41,0.0
8C+GATE_6E,RANGE_0508,RANGE_CHOP,28,0.0,-19.07,0.0
8C+GATE_6E,RANGE_0303,RANGE_CHOP,30,1.36,4.78,30.0
8C+GATE_6E,BOUNCE_0512,REVERSAL_BOUNCE,61,7.879,35.88,16.4
8D+GATE_6A,DOWN_NOV,TREND_DOWN,8,1.219,1.0,37.5
8D+GATE_6A,DOWN_JAN,TREND_DOWN,3,999,2.26,0.0
8D+GATE_6A,DOWN_APR,TREND_DOWN,10,4.537,11.6,80.0
8D+GATE_6A,DOWN_0327,TREND_DOWN,1,999,0.26,0.0
8D+GATE_6A,UP_0310,TREND_UP,4,0.019,-3.26,0.0
8D+GATE_6A,RANGE_0508,RANGE_CHOP,3,0.0,-3.49,0.0
8D+GATE_6A,RANGE_0303,RANGE_CHOP,4,0.581,-1.37,25.0
8D+GATE_6A,BOUNCE_0512,REVERSAL_BOUNCE,2,999,0.95,0.0
8D+GATE_6E,DOWN_NOV,TREND_DOWN,3,4.218,2.84,66.7
8D+GATE_6E,DOWN_JAN,TREND_DOWN,2,999,1.99,0.0
8D+GATE_6E,DOWN_APR,TREND_DOWN,1,0.0,-1.64,0.0
8D+GATE_6E,UP_0310,TREND_UP,2,1.4,0.02,0.0
8D+GATE_6E,BOUNCE_0512,REVERSAL_BOUNCE,2,999,0.95,0.0
