metric,value
zones_total,29
zones_triggered,17
zones_reached,3
hit_rate_among_triggered,0.17647058823529413
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,8359
suppressions_active_open,6772
suppressions_active_triggered,1363
suppressions_cooldown,224
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,3
unique_reached_moves,1
duplicate_move_credits,2
raw_triggered_hit_rate,0.17647058823529413
unique_move_adjusted_hit_rate,0.058823529411764705
status_RESOLVED_FAILED,14
direction_LONG,16
status_INVALIDATED,9
direction_SHORT,13
status_EXPIRED,3
status_RESOLVED_REACHED,3
