metric,value
zones_total,21
zones_triggered,13
zones_reached,9
hit_rate_among_triggered,0.6923076923076923
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,8392
suppressions_active_open,5980
suppressions_active_triggered,2412
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,9
unique_reached_moves,1
duplicate_move_credits,8
raw_triggered_hit_rate,0.6923076923076923
unique_move_adjusted_hit_rate,0.07692307692307693
status_RESOLVED_FAILED,4
direction_LONG,9
status_RESOLVED_REACHED,9
direction_SHORT,12
status_INVALIDATED,5
status_NO_TRIGGER,3
