metric,value
zones_total,33
zones_triggered,20
zones_reached,9
hit_rate_among_triggered,0.45
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,13062
suppressions_active_open,8162
suppressions_active_triggered,4900
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,9
unique_reached_moves,1
duplicate_move_credits,8
raw_triggered_hit_rate,0.45
unique_move_adjusted_hit_rate,0.05
status_RESOLVED_REACHED,9
direction_SHORT,13
status_RESOLVED_FAILED,11
direction_LONG,20
status_INVALIDATED,10
status_NO_TRIGGER,3
