metric,value
zones_total,27
zones_triggered,18
zones_reached,5
hit_rate_among_triggered,0.2777777777777778
deduplication_enabled,1
cooldown_minutes_after_resolve,30
duplicate_suppression_count,9019
suppressions_active_open,7562
suppressions_active_triggered,1457
move_clustering_enabled,1
move_cluster_gap_minutes,120
reached_zones_raw,5
unique_reached_moves,1
duplicate_move_credits,4
raw_triggered_hit_rate,0.2777777777777778
unique_move_adjusted_hit_rate,0.05555555555555555
status_RESOLVED_REACHED,5
direction_SHORT,16
status_RESOLVED_FAILED,13
direction_LONG,11
status_INVALIDATED,9
