date,direction,zone_id,confirmed_iso,entry_price,exit_reason,outcome,pnl_after_cost,mfe_pct,mae_pct
2026-05-21,SHORT,BTCUSDT-SHORT-1779326244000-6,2026-05-21T01:27:46+00:00,77834.0,timeout,TIMEOUT,0.371,1.461187,0.444536
2026-05-22,SHORT,BTCUSDT-SHORT-1779416443000-4,2026-05-22T02:23:43+00:00,77630.5,target_2pct,WIN,1.86,2.019052,0.299109
2026-05-23,LONG,BTCUSDT-LONG-1779494431000-1,2026-05-23T00:07:23+00:00,75497.2,stop,LOSS,-1.64,0.180801,1.519527
2026-05-24,SHORT,BTCUSDT-SHORT-1779580831000-1,2026-05-24T00:11:31+00:00,76649.1,timeout,TIMEOUT,-0.76,0.773786,1.240589
2026-05-25,SHORT,BTCUSDT-SHORT-1779667293000-1,2026-05-25T00:04:33+00:00,77137.2,timeout,TIMEOUT,-0.2715,0.344581,0.973201
2026-05-26,LONG,BTCUSDT-LONG-1779755026000-3,2026-05-26T00:26:46+00:00,77096.8,stop,LOSS,-1.64,1.271518,1.509531
2026-05-27,LONG,BTCUSDT-LONG-1779847386000-3,2026-05-27T02:06:06+00:00,75794.4,stop,LOSS,-1.64,0.47642,1.503277
2026-05-28,LONG,BTCUSDT-LONG-1779926431000-1,2026-05-28T00:19:31+00:00,74498.8,stop,LOSS,-1.64,0.089263,1.501769
