symbol,date,id,direction,zone_type,status,zone_start,zone_confirmed,trigger_time,resolved_time,zone_low,zone_high,trigger_price,target_price,absorption_score,liquidity_void_score,ofi_score,trigger_score,horizons,outcome_summary,time_to_target_min,mfe_pct,mae_pct,quality_flags,uniqueMoveId,moveClusterSize,isPrimaryMoveZone,duplicateMoveCredit,reasons
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764578976000-23,LONG,ACCUMULATION,INVALIDATED,2025-12-01T08:49:36.000Z,2025-12-01T09:15:20.000Z,,2025-12-01T11:59:30.000Z,86555.05,86885.95,,,0.6460,0.6823,-0.0390,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T08:49:36.000Z|confirmed@2025-12-01T09:15:20.000Z|invalidate@2025-12-01T11:59:30.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764562737000-12,LONG,ACCUMULATION,INVALIDATED,2025-12-01T04:18:57.000Z,2025-12-01T04:30:55.000Z,,2025-12-01T12:48:27.000Z,85666.05,86025.25,,,0.6286,0.6731,0.1570,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T04:18:57.000Z|confirmed@2025-12-01T04:30:55.000Z|invalidate@2025-12-01T12:48:27.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764551226000-2,SHORT,DISTRIBUTION,RESOLVED_FAILED,2025-12-01T01:07:06.000Z,2025-12-01T01:12:31.000Z,2025-12-01T12:48:37.000Z,2025-12-02T12:48:37.000Z,87158.25,87660.15,85066.05,83364.729,0.6019,0.5947,0.0195,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.505,2.058,,,,,,candidate@2025-12-01T01:07:06.000Z|confirmed@2025-12-01T01:12:31.000Z|trigger@2025-12-01T12:48:37.000Z|expire@2025-12-02T12:48:37.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764592804000-24,SHORT,DISTRIBUTION,INVALIDATED,2025-12-01T12:40:04.000Z,2025-12-01T13:07:26.000Z,,2025-12-01T14:36:13.000Z,84721.3,86107.85,,,0.6079,0.5494,0.0799,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T12:40:04.000Z|confirmed@2025-12-01T13:07:26.000Z|invalidate@2025-12-01T14:36:13.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764592840000-25,SHORT,DISTRIBUTION,INVALIDATED,2025-12-01T12:40:40.000Z,2025-12-01T13:07:26.000Z,,2025-12-01T14:36:13.000Z,84721.3,86107.85,,,0.6079,0.5494,0.0871,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T12:40:40.000Z|confirmed@2025-12-01T13:07:26.000Z|invalidate@2025-12-01T14:36:13.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764603588000-26,SHORT,DISTRIBUTION,INVALIDATED,2025-12-01T15:39:48.000Z,2025-12-01T16:14:19.000Z,,2025-12-01T16:39:31.000Z,83789.45,84857.85,,,0.6473,0.3971,0.0849,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T15:39:48.000Z|confirmed@2025-12-01T16:14:19.000Z|invalidate@2025-12-01T16:39:31.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764611626000-31,LONG,ACCUMULATION,RESOLVED_FAILED,2025-12-01T17:53:46.000Z,2025-12-01T18:00:51.000Z,2025-12-01T18:12:56.000Z,2025-12-02T18:12:56.000Z,84877.54999999999,85151.05,85406.75,87114.885,0.7021,0.4585,0.0211,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.651,0.984,,,,,,candidate@2025-12-01T17:53:46.000Z|confirmed@2025-12-01T18:00:51.000Z|trigger@2025-12-01T18:12:56.000Z|expire@2025-12-02T18:12:56.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764610602000-30,LONG,ACCUMULATION,RESOLVED_FAILED,2025-12-01T17:36:42.000Z,2025-12-01T17:53:46.000Z,2025-12-01T18:13:13.000Z,2025-12-02T18:13:13.000Z,84805.126225,85235.35,85348.45,87055.419,0.6256,0.4624,0.0792,0.9655,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.721,0.916,,,,,,candidate@2025-12-01T17:36:42.000Z|confirmed@2025-12-01T17:53:46.000Z|trigger@2025-12-01T18:13:13.000Z|expire@2025-12-02T18:13:13.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764608358000-27,LONG,ACCUMULATION,RESOLVED_FAILED,2025-12-01T16:59:18.000Z,2025-12-01T17:06:34.000Z,2025-12-01T18:13:59.000Z,2025-12-02T18:13:59.000Z,84457.700025,84822.75,85380.85,87088.467,0.6004,0.5039,0.1166,0.9658,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.682,0.954,,,,,,candidate@2025-12-01T16:59:18.000Z|confirmed@2025-12-01T17:06:34.000Z|trigger@2025-12-01T18:13:59.000Z|expire@2025-12-02T18:13:59.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764613554000-36,LONG,ACCUMULATION,RESOLVED_FAILED,2025-12-01T18:25:54.000Z,2025-12-01T19:17:04.000Z,2025-12-01T20:05:19.000Z,2025-12-02T20:05:19.000Z,84677.85,85422.740025,85465.85,87175.167,0.6249,0.4675,0.0044,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.581,0.390,,,,,,candidate@2025-12-01T18:25:54.000Z|confirmed@2025-12-01T19:17:04.000Z|trigger@2025-12-01T20:05:19.000Z|expire@2025-12-02T20:05:19.000Z
BTCUSDT,2025-12-01,BTCUSDT-LONG-1764613508000-35,LONG,ACCUMULATION,RESOLVED_FAILED,2025-12-01T18:25:08.000Z,2025-12-01T19:17:04.000Z,2025-12-01T20:05:27.000Z,2025-12-02T20:05:27.000Z,84677.85,85489.773525,85558.65,87269.82299999999,0.6249,0.4675,0.0583,1.0000,4h|8h|24h,4h:failed_by_timeout|8h:failed_by_timeout|24h:failed_by_timeout,,1.471,0.498,,,,,,candidate@2025-12-01T18:25:08.000Z|confirmed@2025-12-01T19:17:04.000Z|trigger@2025-12-01T20:05:27.000Z|expire@2025-12-02T20:05:27.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764609496000-28,SHORT,DISTRIBUTION,INVALIDATED,2025-12-01T17:18:16.000Z,2025-12-01T17:49:56.000Z,,2025-12-01T20:05:36.000Z,84580.25,85235.35,,,0.6044,0.3519,0.0417,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T17:18:16.000Z|confirmed@2025-12-01T17:49:56.000Z|invalidate@2025-12-01T20:05:36.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764609534000-29,SHORT,DISTRIBUTION,INVALIDATED,2025-12-01T17:18:54.000Z,2025-12-01T17:49:56.000Z,,2025-12-01T20:05:36.000Z,84580.25,85235.35,,,0.6044,0.3519,0.0038,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T17:18:54.000Z|confirmed@2025-12-01T17:49:56.000Z|invalidate@2025-12-01T20:05:36.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764613074000-32,SHORT,DISTRIBUTION,INVALIDATED,2025-12-01T18:17:54.000Z,2025-12-01T18:20:54.000Z,,2025-12-01T21:20:56.000Z,85282.85,85496.65,,,0.9092,0.4447,0.0296,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T18:17:54.000Z|confirmed@2025-12-01T18:20:54.000Z|invalidate@2025-12-01T21:20:56.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764613084000-33,SHORT,DISTRIBUTION,INVALIDATED,2025-12-01T18:18:04.000Z,2025-12-01T18:21:04.000Z,,2025-12-01T21:20:56.000Z,85258.299525,85496.65,,,0.9020,0.4575,0.0198,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T18:18:04.000Z|confirmed@2025-12-01T18:21:04.000Z|invalidate@2025-12-01T21:20:56.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764613181000-34,SHORT,DISTRIBUTION,INVALIDATED,2025-12-01T18:19:41.000Z,2025-12-01T18:22:41.000Z,,2025-12-01T21:20:56.000Z,85230.05,85496.65,,,0.9085,0.4008,0.0164,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T18:19:41.000Z|confirmed@2025-12-01T18:22:41.000Z|invalidate@2025-12-01T21:20:56.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764620042000-38,SHORT,DISTRIBUTION,INVALIDATED,2025-12-01T20:14:02.000Z,2025-12-01T20:30:47.000Z,,2025-12-01T21:21:30.000Z,85164.45,85575.016125,,,0.6037,0.3583,-0.1970,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T20:14:02.000Z|confirmed@2025-12-01T20:30:47.000Z|invalidate@2025-12-01T21:21:30.000Z
BTCUSDT,2025-12-01,BTCUSDT-SHORT-1764619907000-37,SHORT,DISTRIBUTION,INVALIDATED,2025-12-01T20:11:47.000Z,2025-12-01T20:14:47.000Z,,2025-12-01T21:25:01.000Z,85465.25,85762.35,,,0.6072,0.4138,-0.2107,,4h|8h|24h,4h:invalidated_before_trigger|8h:invalidated_before_trigger|24h:invalidated_before_trigger,,,,,,,,,candidate@2025-12-01T20:11:47.000Z|confirmed@2025-12-01T20:14:47.000Z|invalidate@2025-12-01T21:25:01.000Z
