mode,date,zone_id,direction,triggerTs_iso,entry_price,target_price,stop_price,exit_reason,exit_iso,exit_price,pnl_pct,mfe_pct,mae_pct,time_in_trade_h
mode1,2025-01-01,BTCUSDT-LONG-1735689631000-1,LONG,2025-01-01T00:16:58.000+00:00,93763.15,95638.413,(implicit),stop_1pct,2025-01-01T09:26:30.000+00:00,92825.51849999999,-1.0,0.7317,1.0309,9.1589
mode1,2025-01-01,BTCUSDT-LONG-1735689868000-2,LONG,2025-01-01T00:16:58.000+00:00,93763.15,95638.413,(implicit),stop_1pct,2025-01-01T09:26:30.000+00:00,92825.51849999999,-1.0,0.7317,1.0309,9.1589
mode1,2025-01-01,BTCUSDT-LONG-1735724562000-15,LONG,2025-01-01T09:52:03.000+00:00,93373.85,95241.327,(implicit),timeout,2025-01-01T23:59:59.000+00:00,94580.9,1.2927,1.9142,0.229,14.1322
mode1,2025-01-01,BTCUSDT-LONG-1735744747000-19,LONG,2025-01-01T15:46:47.000+00:00,94314.95,96201.249,(implicit),timeout,2025-01-01T23:59:59.000+00:00,94580.9,0.282,0.8973,0.6211,8.22
mode1,2025-01-01,BTCUSDT-LONG-1735762404000-23,LONG,2025-01-01T21:02:05.000+00:00,94884.25,96781.935,(implicit),timeout,2025-01-01T23:59:59.000+00:00,94580.9,-0.3197,0.2919,0.3817,2.965
mode1,2025-01-01,BTCUSDT-LONG-1735762572000-24,LONG,2025-01-01T21:02:05.000+00:00,94884.25,96781.935,(implicit),timeout,2025-01-01T23:59:59.000+00:00,94580.9,-0.3197,0.2919,0.3817,2.965
mode1,2025-02-01,BTCUSDT-SHORT-1738373960000-7,SHORT,2025-02-01T02:01:01.000+00:00,102377.75,100330.19499999999,(implicit),target_2pct,2025-02-01T23:14:41.000+00:00,100330.19499999999,2.0,2.0002,0.3489,21.2278
mode1,2025-02-01,BTCUSDT-LONG-1738383182000-12,LONG,2025-02-01T04:39:11.000+00:00,102412.95,104461.209,(implicit),stop_1pct,2025-02-01T09:53:26.000+00:00,101388.8205,-1.0,0.127,1.0233,5.2375
mode1,2025-02-01,BTCUSDT-LONG-1738451924000-33,LONG,2025-02-01T23:39:17.000+00:00,100699.15,102713.133,(implicit),timeout,2025-02-01T23:59:59.000+00:00,100603.6,-0.0949,0.1101,0.1414,0.345
mode1,2025-03-01,BTCUSDT-SHORT-1740787249000-1,SHORT,2025-03-01T00:50:08.000+00:00,84015.75,82335.435,(implicit),stop_1pct,2025-03-01T02:27:24.000+00:00,84855.9075,-1.0,0.2818,1.0382,1.6211
mode1,2025-03-01,BTCUSDT-LONG-1740791653000-4,LONG,2025-03-01T01:41:18.000+00:00,84129.95,85812.549,(implicit),target_2pct,2025-03-01T04:12:17.000+00:00,85812.549,2.0,2.0211,0.0078,2.5164
mode1,2025-03-01,BTCUSDT-SHORT-1740804402000-14,SHORT,2025-03-01T06:34:00.000+00:00,84950.05,83251.049,(implicit),stop_1pct,2025-03-01T21:52:54.000+00:00,85799.5505,-1.0,0.7829,1.0004,15.315
mode1,2025-03-01,BTCUSDT-SHORT-1740810423000-18,SHORT,2025-03-01T07:38:34.000+00:00,84720.05,83025.649,(implicit),stop_1pct,2025-03-01T19:32:21.000+00:00,85567.25050000001,-1.0,0.5135,1.0545,11.8964
mode1,2025-03-01,BTCUSDT-SHORT-1740820467000-21,SHORT,2025-03-01T10:22:44.000+00:00,84921.55,83223.119,(implicit),stop_1pct,2025-03-01T21:52:21.000+00:00,85770.76550000001,-1.0,0.7496,1.0124,11.4936
mode1,2025-03-01,BTCUSDT-LONG-1740865702000-27,LONG,2025-03-01T21:52:53.000+00:00,85786.95,87502.689,(implicit),timeout,2025-03-01T23:59:59.000+00:00,86007.7,0.2573,0.5044,0.2001,2.1183
mode1,2025-04-01,BTCUSDT-LONG-1743480611000-9,LONG,2025-04-01T04:26:35.000+00:00,82994.95,84654.849,(implicit),target_2pct,2025-04-01T15:13:27.000+00:00,84654.849,2.0,2.0626,0.5903,10.7811
mode1,2025-04-01,BTCUSDT-SHORT-1743485307000-12,SHORT,2025-04-01T05:57:34.000+00:00,82993.75,81333.875,(implicit),stop_1pct,2025-04-01T08:23:12.000+00:00,83823.6875,-1.0,0.1698,1.0089,2.4272
mode1,2025-04-01,BTCUSDT-SHORT-1743512726000-28,SHORT,2025-04-01T13:30:54.000+00:00,83467.15,81797.80699999999,(implicit),stop_1pct,2025-04-01T14:54:58.000+00:00,84301.82149999999,-1.0,1.1527,1.019,1.4011
mode1,2025-04-01,BTCUSDT-LONG-1743518984000-30,LONG,2025-04-01T15:03:12.000+00:00,84377.35,86064.89700000001,(implicit),timeout,2025-04-01T23:59:59.000+00:00,85120.9,0.8812,1.4437,0.1704,8.9464
mode1,2025-04-01,BTCUSDT-SHORT-1743524434000-36,SHORT,2025-04-01T16:26:23.000+00:00,84881.65,83184.01699999999,(implicit),timeout,2025-04-01T23:59:59.000+00:00,85120.9,-0.2819,0.2537,0.841,7.56
mode1,2025-04-01,BTCUSDT-LONG-1743541907000-40,LONG,2025-04-01T21:38:28.000+00:00,85399.95,87107.949,(implicit),timeout,2025-04-01T23:59:59.000+00:00,85120.9,-0.3268,0.229,0.5584,2.3586
mode1,2025-05-01,BTCUSDT-LONG-1746057935000-2,LONG,2025-05-01T01:06:41.000+00:00,94469.0,96358.38,(implicit),target_2pct,2025-05-01T12:41:44.000+00:00,96358.38,2.0,2.0056,0.0348,11.5842
mode1,2025-05-01,BTCUSDT-LONG-1746060724000-4,LONG,2025-05-01T01:06:41.000+00:00,94469.0,96358.38,(implicit),target_2pct,2025-05-01T12:41:44.000+00:00,96358.38,2.0,2.0056,0.0348,11.5842
mode1,2025-05-01,BTCUSDT-SHORT-1746067208000-10,SHORT,2025-05-01T03:18:13.000+00:00,94653.55,92760.479,(implicit),stop_1pct,2025-05-01T09:50:33.000+00:00,95600.0855,-1.0,0.0238,1.0686,6.5389
mode1,2025-05-01,BTCUSDT-LONG-1746098601000-23,LONG,2025-05-01T12:24:30.000+00:00,96315.45,98241.759,(implicit),timeout,2025-05-01T23:59:59.000+00:00,96423.3,0.112,1.1136,0.5953,11.5914
mode1,2025-05-01,BTCUSDT-LONG-1746110575000-31,LONG,2025-05-01T14:58:52.000+00:00,96803.0,98739.06,(implicit),timeout,2025-05-01T23:59:59.000+00:00,96423.3,-0.3922,0.6043,0.7031,9.0186
mode1,2025-05-01,BTCUSDT-SHORT-1746122666000-35,SHORT,2025-05-01T18:23:18.000+00:00,96525.75,94595.235,(implicit),timeout,2025-05-01T23:59:59.000+00:00,96423.3,0.1061,0.4179,0.4464,5.6114
mode1,2025-05-01,BTCUSDT-SHORT-1746126785000-37,SHORT,2025-05-01T20:02:27.000+00:00,96327.35,94400.803,(implicit),timeout,2025-05-01T23:59:59.000+00:00,96423.3,-0.0996,0.2128,0.5264,3.9589
mode1,2025-06-01,BTCUSDT-SHORT-1748796274000-23,SHORT,2025-06-01T18:03:34.000+00:00,104848.25,102751.285,(implicit),timeout,2025-06-01T23:59:59.000+00:00,105583.3,-0.7011,0.5419,0.9302,5.9403
mode1,2025-06-01,BTCUSDT-LONG-1748808011000-28,LONG,2025-06-01T20:40:20.000+00:00,105215.95,107320.269,(implicit),timeout,2025-06-01T23:59:59.000+00:00,105583.3,0.3491,0.5775,0.3639,3.3275
mode1,2025-06-01,BTCUSDT-LONG-1748813941000-29,LONG,2025-06-01T22:01:13.000+00:00,105537.65,107648.40299999999,(implicit),timeout,2025-06-01T23:59:59.000+00:00,105583.3,0.0433,0.2709,0.1655,1.9794
mode1,2025-06-01,BTCUSDT-LONG-1748817312000-34,LONG,2025-06-01T23:07:02.000+00:00,105718.95,107833.329,(implicit),timeout,2025-06-01T23:59:59.000+00:00,105583.3,-0.1283,0.099,0.1746,0.8825
mode1,2025-07-01,BTCUSDT-SHORT-1751333102000-4,SHORT,2025-07-01T01:55:55.000+00:00,107184.75,105041.055,(implicit),timeout,2025-07-01T23:59:59.000+00:00,105637.9,1.4432,1.8679,0.1689,22.0678
mode1,2025-07-01,BTCUSDT-SHORT-1751388787000-17,SHORT,2025-07-01T17:04:08.000+00:00,105869.35,103751.963,(implicit),timeout,2025-07-01T23:59:59.000+00:00,105637.9,0.2186,0.6487,0.3582,6.9308
mode1,2025-07-01,BTCUSDT-SHORT-1751392315000-18,SHORT,2025-07-01T18:17:59.000+00:00,106009.05,103888.869,(implicit),timeout,2025-07-01T23:59:59.000+00:00,105637.9,0.3501,0.7796,0.0538,5.7
mode1,2025-08-01,BTCUSDT-SHORT-1754006470000-1,SHORT,2025-08-01T00:12:09.000+00:00,115430.9,113122.28199999999,(implicit),target_2pct,2025-08-01T20:08:01.000+00:00,113122.28199999999,2.0,2.0045,0.493,19.9311
mode1,2025-08-01,BTCUSDT-SHORT-1754017211000-10,SHORT,2025-08-01T03:50:40.000+00:00,115634.65,113321.957,(implicit),target_2pct,2025-08-01T19:23:57.000+00:00,113321.957,2.0,2.0058,0.2779,15.5547
mode1,2025-08-01,BTCUSDT-SHORT-1754031047000-11,SHORT,2025-08-01T07:11:28.000+00:00,114950.45,112651.44099999999,(implicit),timeout,2025-08-01T23:59:59.000+00:00,113244.8,1.4838,1.9926,0.8748,16.8086
mode1,2025-08-01,BTCUSDT-SHORT-1754040792000-18,SHORT,2025-08-01T10:39:23.000+00:00,114748.65,112453.677,(implicit),stop_1pct,2025-08-01T13:10:57.000+00:00,115896.1365,-1.0,0.179,1.004,2.5261
mode1,2025-08-01,BTCUSDT-SHORT-1754073705000-25,SHORT,2025-08-01T18:52:05.000+00:00,113753.75,111478.675,(implicit),timeout,2025-08-01T23:59:59.000+00:00,113244.8,0.4474,0.9615,0.2508,5.1317
mode1,2025-08-01,BTCUSDT-LONG-1754076028000-27,LONG,2025-08-01T19:34:42.000+00:00,113741.35,116016.17700000001,(implicit),timeout,2025-08-01T23:59:59.000+00:00,113244.8,-0.4366,0.2617,0.9507,4.4214
mode1,2025-08-01,BTCUSDT-SHORT-1754074626000-26,SHORT,2025-08-01T20:08:00.000+00:00,113150.9,110887.882,(implicit),timeout,2025-08-01T23:59:59.000+00:00,113244.8,-0.083,0.4338,0.7849,3.8664
mode1,2025-09-01,BTCUSDT-LONG-1756685756000-3,LONG,2025-09-01T00:42:47.000+00:00,108126.9,110289.438,(implicit),timeout,2025-09-01T23:59:59.000+00:00,109187.9,0.9813,1.6165,0.8466,23.2867
mode1,2025-09-01,BTCUSDT-LONG-1756705921000-13,LONG,2025-09-01T06:24:43.000+00:00,107979.95,110139.549,(implicit),timeout,2025-09-01T23:59:59.000+00:00,109187.9,1.1187,1.7548,0.5371,17.5878
mode1,2025-09-01,BTCUSDT-SHORT-1756717725000-16,SHORT,2025-09-01T09:59:14.000+00:00,109461.15,107271.927,(implicit),timeout,2025-09-01T23:59:59.000+00:00,109187.9,0.2496,1.883,0.0394,14.0125
